Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Hong_Kong            : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    18.1    12.9    18.0    22.9    25.6    27.4    28.2    27.6    26.8    24.7    20.4    16.0    22.2    27.7    24.0    16.0    22.4
 1902    16.9    15.0    20.4    23.2    26.5    26.9    28.0    28.2    27.0    24.4    21.9    17.7    23.4    27.7    24.4    15.7    23.0
 1903    14.7    14.6    19.8    22.8    24.8    27.6    27.9    27.6    26.4    24.4    19.5    15.7    22.5    27.7    23.4    15.8    22.2
 1904    15.2    16.6    17.8    22.2    24.9    26.7    27.6    27.5    27.0    24.6    20.0    15.4    21.6    27.3    23.9    15.6    22.1
 1905    17.8    13.6    16.0    20.8    26.2    27.4    28.1    28.0    27.1    24.5    20.3    18.1    21.0    27.8    24.0    16.3    22.3
 1906    15.0    15.9    17.1    21.8    25.6    28.2    28.4    28.8    27.6    24.0    19.6    17.1    21.5    28.5    23.7    16.1    22.4
 1907    16.2    15.0    18.2    21.3    25.0    26.6    28.0    28.3    27.2    26.0    21.8    16.3    21.5    27.6    25.0    15.9    22.5
 1908    16.5    14.8    16.8    21.1    25.0    27.0    28.2    28.1    27.5    25.0    20.8    17.3    21.0    27.8    24.4    16.4    22.3
 1909    16.0    16.0    18.3    22.1    24.4    28.0    28.2    28.6    28.1    25.4    21.0    17.0    21.6    28.3    24.8    16.3    22.8
 1910    16.4    15.5    18.1    21.5    26.2    28.2    28.1    28.2    26.9    23.9    20.3    15.5    21.9    28.2    23.7    15.4    22.4
 1911    15.0    15.6    18.9    21.6    24.9    28.5    27.9    27.9    27.3    23.3    20.4    17.7    21.8    28.1    23.7    16.0    22.4
 1912    14.5    15.8    18.7    22.0    26.4    27.5    28.3    28.0    26.5    24.2    20.3    16.1    22.4    27.9    23.7    15.7    22.4
 1913    15.1    15.9    16.8    22.4    25.2    27.4    28.2    28.0    27.0    24.3    20.8    15.8    21.5    27.9    24.0    16.5    22.2
 1914    16.7    16.9    19.8    22.5    26.0    27.5    28.2    28.2    26.9    25.0    20.6    17.4    22.8    28.0    24.2    16.8    23.0
 1915    15.7    17.3    18.4    23.7    24.5    27.7    28.4    28.9    27.5    26.2    21.5    17.2    22.2    28.3    25.1    16.3    23.1
 1916    16.1    15.5    16.0    22.3    26.3    27.0    28.6    28.3    27.3    24.2    20.0    16.8    21.5    28.0    23.8    15.1    22.4
