Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Isl_Glorieuses       : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    28.7    27.5    28.8    27.9    27.5    26.4    25.3    24.9    26.3    28.0    29.7    27.9    28.1    25.5    28.0    28.1    27.4
 1902    28.7    27.8    28.3    28.9    28.2    26.2    26.0    25.4    28.3    28.6    29.3    28.2    28.5    25.9    28.7    28.0    27.8
 1903    28.2    27.5    28.7    28.5    28.4    27.1    25.4    26.0    26.0    27.7    28.9    28.0    28.5    26.2    27.5    27.7    27.5
 1904    27.5    27.5    28.2    28.2    28.7    25.7    24.8    25.8    26.1    28.7    29.4    28.4    28.4    25.4    28.1    28.2    27.4
 1905    28.4    27.8    28.1    27.5    28.3    27.2    25.3    26.1    26.0    29.1    28.8    28.1    28.0    26.2    28.0    28.3    27.6
 1906    28.8    27.9    28.7    28.5    27.9    26.0    25.3    25.3    26.6    28.1    28.7    27.9    28.4    25.5    27.8    27.8    27.5
 1907    27.9    27.6    28.1    28.1    27.9    26.1    24.5    25.6    27.0    29.5    29.2    27.9    28.0    25.4    28.6    27.9    27.4
 1908    28.5    27.3    28.7    28.5    27.6    26.7    25.4    26.3    27.6    29.5    29.5    28.1    28.3    26.1    28.9    27.9    27.8
 1909    27.9    27.7    28.4    28.6    27.4    25.3    26.0    25.6    27.7    27.8    29.1    28.9    28.1    25.6    28.2    28.2    27.5
 1910    27.9    27.8    28.4    29.0    27.8    25.4    25.0    25.8    27.1    28.6    27.8    27.5    28.4    25.4    27.8    27.6    27.3
 1911    28.0    27.2    28.1    27.2    27.6    26.0    25.9    25.5    27.7    28.6    28.7    29.0    27.6    25.8    28.3    28.4    27.5
 1912    28.7    27.4    29.0    28.6    28.5    26.5    25.5    26.2    28.2    28.9    29.9    28.0    28.7    26.1    29.0    27.7    27.9
 1913    27.7    27.5    29.4    27.7    29.3    26.2    25.1    27.1    28.0    30.2    29.2    27.9    28.8    26.1    29.1    28.1    27.9
 1914    27.9    28.5    28.8    29.0    28.5    27.2    25.4    26.7    28.2    29.2    28.6    29.4    28.8    26.4    28.7    28.7    28.1
 1915    28.6    28.2    28.9    29.5    28.7    26.4    26.4    25.5    27.2    30.3    29.5    28.4    29.0    26.1    29.0    28.2    28.1
 1916    28.5    27.6    29.0    28.9    28.0    26.3    24.2    26.4    27.4    29.1    28.1    26.9    28.6    25.6    28.2    27.0    27.5
