Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = La_Tortuga_Isl       : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    25.7    25.6    26.6    27.6    27.9    26.8    27.0    27.4    27.0    26.4    25.6    24.8    27.4    27.1    26.3    24.6    26.5
 1902    24.4    24.7    25.0    26.3    27.0    26.7    26.5    27.3    26.6    26.4    26.4    25.4    26.1    26.8    26.5    25.1    26.1
 1903    24.5    25.4    25.3    26.3    27.1    26.9    27.0    27.0    27.0    26.5    25.7    24.7    26.2    27.0    26.4    24.4    26.1
 1904    24.0    24.6    24.6    25.7    26.3    26.6    26.4    26.5    26.7    26.1    26.2    24.9    25.5    26.5    26.3    24.3    25.7
 1905    24.0    24.0    24.5    26.5    26.2    26.5    26.9    27.3    27.2    26.7    26.2    24.5    25.7    26.9    26.7    24.2    25.9
 1906    24.0    24.1    24.9    26.1    26.7    26.6    26.5    27.0    26.7    26.9    26.2    24.0    25.9    26.7    26.6    24.0    25.8
 1907    23.9    24.1    24.6    25.7    26.0    26.2    26.6    26.7    26.8    26.3    25.7    24.9    25.4    26.5    26.3    24.5    25.6
 1908    24.4    24.1    24.5    25.4    26.3    26.4    26.8    27.0    27.0    26.2    25.6    24.7    25.4    26.7    26.3    24.4    25.7
 1909    24.2    24.4    25.7    25.8    26.5    26.1    26.4    26.5    26.8    26.2    25.7    24.2    26.0    26.3    26.2    23.9    25.7
 1910    23.5    24.1    24.1    25.6    27.1    26.7    26.7    26.9    26.7    26.8    26.2    24.9    25.6    26.8    26.6    24.4    25.8
 1911    24.1    24.1    24.7    25.7    25.9    27.0    26.1    26.9    27.1    26.6    26.0    24.9    25.4    26.7    26.6    24.6    25.8
 1912    24.3    24.6    24.6    25.6    27.1    26.7    26.8    26.9    26.9    26.2    25.6    24.8    25.8    26.8    26.2    24.2    25.8
 1913    23.9    24.0    24.8    25.4    26.9    26.1    25.8    26.2    26.7    26.0    25.5    24.2    25.7    26.0    26.1    24.1    25.5
 1914    23.9    24.2    25.0    25.8    26.0    26.3    26.1    26.2    26.7    26.1    26.0    25.8    25.6    26.2    26.3    25.1    25.7
 1915    24.7    24.8    25.9    26.2    27.2    27.0    26.6    28.0    26.9    26.9    26.4    25.3    26.4    27.2    26.7    24.8    26.3
 1916    24.1    25.1    25.0    26.1    26.9    26.7    27.1    27.1    27.4    26.9    26.2    24.8    26.0    27.0    26.8    24.5    26.1
 1917    24.3    24.5    25.1    26.3    27.4    27.3    27.1    26.9    27.3    26.8    26.6    25.3    26.3    27.1    26.9    24.8    26.2
 1918    24.5    24.5    25.3    26.1    26.7    27.1    26.8    27.6    27.8    27.4    26.2    24.8    26.0    27.2    27.1    24.3    26.2
 1919    23.6    24.4    25.2    25.8    26.8    27.1    26.4    26.8    26.7    26.1    25.4    24.9    25.9    26.8    26.1    24.2    25.8
 1920    23.6    24.2    25.3    26.0    26.3    26.2    26.1    26.3    26.5    26.3    25.4    24.1    25.9    26.2    26.1    24.6    25.5
 1921    24.3    25.3    25.5    25.8    27.0    26.7    26.3    26.8    27.3    26.5    26.4    24.7    26.1    26.6    26.7    24.4    26.1
 1922    24.2    24.3    24.6    25.7    26.6    26.5    26.5    26.8    27.1    27.0    26.0    24.3    25.6    26.6    26.7    24.3    25.8
 1923    24.2    24.3    24.5    26.1    27.4    26.8    26.7    27.2    27.6    27.1    26.8    25.3    26.0    26.9    27.2    24.9    26.2
 1924    24.2    25.3    25.9    26.5    27.1    26.6    26.4    27.3    27.2    26.8    25.7    24.5    26.5    26.8    26.6    24.3    26.1
 1925    24.0    24.3    24.9    26.5    27.1    26.6    26.3    27.0    27.2    26.8    26.4    25.8    26.2    26.6    26.8    25.4    26.1
 1926    25.1    25.4    25.9    26.9    27.7    27.7    27.3    27.1    27.1    26.9    26.6    25.1    26.8    27.4    26.9    24.6    26.6
 1927    24.5    24.1    25.5    25.8    26.7    26.7    26.3    27.0    27.3    26.6    26.6    25.2    26.0    26.7    26.8    24.9    26.0
 1928    24.4    25.0    25.3    27.1    27.0    26.7    26.7    26.9    27.2    26.5    26.2    25.0    26.5    26.8    26.6    24.8    26.2
 1929    24.1    25.2    24.7    26.0    26.0    26.6    26.7    26.9    27.2    26.9    26.3    24.9    25.6    26.7    26.8    24.6    26.0
 1930    24.3    24.5    24.8    26.2    27.1    26.8    26.4    26.8    27.0    27.1    26.0    25.1    26.0    26.7    26.7    25.0    26.0
 1931    25.0    24.9    26.7    27.0    27.5    27.0    26.5    27.3    26.9    27.0    26.6    25.5    27.1    26.9    26.8    25.2    26.5
 1932    24.8    25.3    26.5    28.1    27.8    27.8    27.2    27.6    28.5    27.6    27.3    25.9    27.5    27.5    27.8    25.1    27.0
 1933    24.9    24.4    25.9    27.0    27.5    27.1    27.0    27.0    27.2    26.9    26.4    25.1    26.8    27.0    26.8    24.9    26.4
 1934    24.6    24.9    25.1    27.6    27.9    28.1    27.2    27.5    27.7    27.2    26.7    25.7    26.9    27.6    27.2    25.2    26.7
 1935    24.9    24.9    25.2    26.5    26.8    27.2    26.9    27.1    27.3    27.2    26.5    25.4    26.2    27.1    27.0    25.0    26.3
 1936    24.8    24.8    26.1    26.9    27.6    27.2    26.7    27.5    27.6    27.1    26.4    25.1    26.9    27.1    27.0    24.9    26.5
 1937    24.6    24.9    26.3    26.9    27.6    27.4    26.9    27.5    27.5    27.8    27.2    26.0    26.9    27.3    27.5    25.4    26.7
 1938    25.1    25.2    25.3    26.1    26.9    27.2    27.0    27.7    27.9    27.6    26.9    26.0    26.1    27.3    27.5    25.1    26.6
 1939    24.7    24.6    25.0    26.3    27.4    27.3    27.3    27.9    28.3    27.7    27.2    26.6    26.2    27.5    27.7    26.1    26.7
 1940    25.6    26.2    26.7    27.7    28.7    28.2    28.0    28.0    28.7    28.0    27.3    26.3    27.7    28.1    28.0    26.4    27.4
 1941    26.1    26.9    27.3    28.2    28.6    27.8    27.5    28.1    28.4    28.3    27.6    26.5    28.0    27.8    28.1    26.6    27.6
 1942    26.5    26.8    27.2    28.0    27.7    27.7    27.4    27.8    28.2    27.8    27.6    26.1    27.6    27.6    27.9    25.7    27.4
 1943    25.5    25.5    25.7    27.1    26.8    27.3    27.0    27.6    28.4    27.8    27.2    26.2    26.5    27.3    27.8    25.8    26.8
 1944    25.7    25.6    26.0    27.3    27.5    27.4    27.6    28.1    28.0    28.0    27.2    26.1    26.9    27.7    27.7    25.2    27.0
 1945    24.7    24.9    25.9    26.7    27.1    27.1    27.1    27.7    27.9    27.3    26.8    25.8    26.6    27.3    27.3    25.4    26.6
 1946    25.1    25.3    26.0    26.6    27.1    27.3    27.1    27.3    27.8    27.5    26.9    26.4    26.6    27.2    27.4    26.0    26.7
 1947    25.4    26.2    26.5    27.2    28.1    27.9    27.0    27.7    28.0    27.7    27.2    26.1    27.3    27.5    27.6    25.6    27.1
 1948    25.5    25.2    25.8    26.4    28.1    27.5    26.7    27.0    27.5    27.5    26.9    25.4    26.8    27.1    27.3    24.8    26.6
 1949    24.2    24.7    26.0    27.1    27.9    27.1    26.7    27.1    27.6    27.3    26.5    25.2    27.0    27.0    27.1    24.6    26.5
 1950    23.8    24.8    25.0    26.2    26.6    26.3    26.3    26.8    27.6    26.7    26.5    25.4    25.9    26.5    26.9    25.1    26.0
 1951    24.9    24.9    25.6    27.2    27.8    27.5    27.2    28.1    28.4    28.1    27.4    26.4    26.9    27.6    28.0    25.9    27.0
 1952    25.5    25.9    26.8    27.4    28.4    27.8    27.5    27.9    28.2    28.1    27.0    26.2    27.5    27.7    27.8    25.6    27.2
 1953    25.4    25.2    26.1    27.7    27.5    28.0    27.4    27.7    28.0    27.7    27.7    26.3    27.1    27.7    27.8    25.8    27.1
 1954    25.4    25.6    26.7    26.7    27.6    27.5    27.2    27.7    27.9    26.6    26.3    25.2    27.0    27.5    26.9    25.1    26.7
 1955    25.0    25.2    25.2    26.1    27.2    27.2    27.0    27.5    27.3    27.2    26.8    25.4    26.2    27.2    27.1    25.1    26.4
 1956    24.9    25.1    25.5    26.9    27.1    27.2    26.9    27.2    27.4    27.2    26.8    25.3    26.5    27.1    27.1    24.9    26.5
 1957    24.5    25.0    26.1    26.6    27.3    27.7    27.4    27.9    28.3    27.9    26.8    26.0    26.7    27.7    27.7    25.9    26.8
 1958    25.8    26.0    27.4    28.0    28.6    28.1    27.6    28.0    28.4    28.0    27.0    26.1    28.0    27.9    27.8    25.6    27.4
 1959    25.3    25.3    26.1    27.4    27.5    27.1    27.3    27.4    27.9    27.4    26.8    26.8    27.0    27.3    27.4    26.2    26.9
 1960    25.6    26.3    26.6    27.5    28.0    27.8    27.5    27.3    27.9    27.6    27.0    25.6    27.4    27.5    27.5    25.5    27.1
 1961    25.5    25.3    26.1    27.2    27.9    27.6    27.1    27.4    27.6    27.6    26.4    25.6    27.1    27.4    27.2    25.2    26.8
 1962    25.1    24.9    26.3    27.0    27.8    27.3    27.4    27.5    27.9    27.7    27.1    26.0    27.0    27.4    27.6    25.6    26.8
 1963    25.3    25.5    25.9    26.8    26.9    27.4    27.2    28.1    28.0    28.3    27.0    26.2    26.5    27.6    27.8    25.6    26.9
 1964    25.0    25.7    26.3    27.0    27.8    27.1    26.9    27.5    27.6    27.2    26.7    25.0    27.0    27.2    27.2    25.0    26.7
 1965    25.0    24.9    25.8    26.3    27.4    26.8    27.2    27.2    27.9    27.6    27.0    26.4    26.5    27.1    27.5    26.1    26.6
 1966    26.1    25.7    26.4    27.3    27.7    27.3    27.4    27.6    27.6    27.3    26.5    25.5    27.1    27.4    27.1    25.2    26.9
 1967    24.9    25.1    25.4    26.4    27.1    27.4    26.7    27.1    27.6    27.3    26.6    25.7    26.3    27.1    27.2    25.3    26.4
 1968    24.8    25.3    25.9    26.7    27.3    27.2    27.3    27.6    27.8    27.6    26.9    26.0    26.6    27.4    27.4    25.8    26.7
 1969    25.4    25.9    27.2    27.9    28.6    28.5    27.7    27.7    28.4    27.3    27.1    26.5    27.9    28.0    27.6    26.0    27.3
 1970    25.8    25.8    26.4    27.4    28.0    27.7    27.3    27.7    27.7    27.6    26.6    26.2    27.3    27.6    27.3    25.4    27.0
 1971    24.8    25.3    25.9    26.8    27.2    27.1    26.9    27.2    27.3    26.8    26.4    25.6    26.6    27.1    26.8    25.2    26.4
 1972    24.8    25.3    26.3    26.6    27.4    28.1    27.4    27.6    28.3    27.9    27.1    26.5    26.8    27.7    27.8    26.3    26.9
 1973    26.4    26.1    27.0    27.4    27.8    28.2    28.1    27.9    27.8    27.7    26.6    24.9    27.4    28.1    27.4    25.0    27.2
 1974    24.8    25.4    25.9    26.2    27.0    27.7    27.2    27.1    27.5    27.2    26.8    25.3    26.4    27.3    27.2    25.3    26.5
 1975    25.0    25.5    26.5    26.7    27.6    27.9    27.3    27.7    27.5    26.5    26.2    24.5    26.9    27.6    26.7    24.3    26.6
 1976    23.9    24.4    24.8    26.3    27.3    26.9    26.3    27.3    27.6    27.2    26.8    25.7    26.1    26.8    27.2    25.5    26.2
 1977    25.5    25.4    26.2    26.9    27.8    27.1    27.3    27.7    28.1    27.7    27.1    25.7    27.0    27.4    27.6    25.6    26.9
 1978    25.1    25.9    26.8    27.3    27.9    27.3    27.3    27.3    28.1    27.6    27.3    25.7    27.3    27.3    27.7    25.5    27.0
 1979    25.1    25.7    26.8    27.6    28.4    28.0    27.9    27.9    27.6    28.1    27.5    26.8    27.6    27.9    27.7    26.3    27.3
 1980    26.2    26.0    26.7    28.2    28.3    28.2    27.9    27.9    28.2    27.8    26.9    26.3    27.7    28.0    27.6    26.3    27.4
 1981    26.1    26.6    26.9    26.7    27.5    27.3    27.3    27.5    27.6    27.8    27.7    27.0    27.0    27.4    27.7    26.2    27.2
 1982    25.7    26.0    26.1    26.9    27.6    27.5    27.2    27.4    27.8    27.4    27.0    26.4    26.9    27.4    27.4    26.4    26.9
 1983    26.2    26.5    27.8    28.1    28.1    28.3    28.0    28.3    28.5    27.8    27.6    26.6    28.0    28.2    28.0    26.4    27.7
 1984    26.1    26.5    26.5    27.3    27.5    27.8    27.1    27.4    27.5    27.3    26.5    25.4    27.1    27.4    27.1    25.0    26.9
 1985    24.5    25.0    26.0    26.8    27.5    27.3    26.9    27.0    27.4    26.9    26.0    25.0    26.8    27.1    26.8    25.1    26.4
 1986    25.1    25.3    26.1    27.4    27.5    27.4    27.1    27.6    27.3    26.9    26.2    25.5    27.0    27.4    26.8    25.6    26.6
 1987    25.1    26.2    27.1    28.3    28.1    28.2    27.8    28.2    28.7    28.4    28.0    27.2    27.8    28.1    28.4    26.3    27.6
 1988    25.8    26.0    26.4    27.8    28.6    28.1    27.7    27.5    27.8    27.2    26.8    25.2    27.6    27.8    27.3    25.0    27.1
 1989    24.7    25.1    25.6    26.6    27.3    27.2    27.4    28.6    28.0    27.7    26.9    26.0    26.5    27.7    27.5    25.7    26.8
 1990    25.7    25.3    26.2    27.4    27.5    27.9    27.3    27.7    28.3    28.1    27.3    26.1    27.0    27.6    27.9    25.9    27.1
 1991    25.6    26.1    26.5    27.0    28.0    28.0    27.8    27.8    27.9    27.7    27.0    25.6    27.2    27.9    27.5    25.8    27.1
 1992    25.6    26.2    27.0    28.0    28.5    28.1    27.5    28.0    28.1    28.2    27.4    26.3    27.8    27.9    27.9    26.2    27.4
 1993    26.1    26.3    26.9    28.1    28.7    28.1    28.1    27.9    27.9    28.0    26.8    26.1    27.9    28.0    27.6    25.6    27.4
 1994    25.2    25.5    26.5    27.3    28.1    27.8    27.2    27.6    28.2    27.9    27.3    26.4    27.3    27.5    27.8    26.1    27.1
 1995    26.0    25.9    26.7    27.6    28.4    27.9    28.0    27.6    28.1    27.6    27.2    26.8    27.6    27.8    27.6    26.5    27.3
 1996    25.9    26.7    26.8    27.6    27.7    27.4    27.5    27.9    28.4    27.7    26.9    26.2    27.4    27.6    27.7    25.8    27.2
 1997    25.6    25.6    25.6    27.4    28.2    28.3    27.8    28.0    28.8    28.6    27.6    26.8    27.1    28.0    28.3    26.8    27.4
 1998    26.6    27.1    27.5    28.4    28.6    28.5    28.2    29.4    28.8    28.3    27.6    27.0    28.2    28.7    28.2    26.1    28.0
