Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Maldives             : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    27.4    27.8    27.5    28.2    28.0    27.4    27.2    27.5    27.6    27.6    26.9    27.2    27.9    27.4    27.4    27.0    27.5
 1902    26.7    27.1    27.9    28.6    28.4    28.2    27.0    27.5    26.8    26.9    27.3    27.5    28.3    27.6    27.0    27.7    27.5
 1903    27.6    28.0    27.6    28.6    27.8    27.8    27.3    27.0    26.9    27.3    27.0    26.7    28.0    27.4    27.1    26.6    27.5
 1904    26.3    26.7    27.2    28.3    27.8    26.4    26.5    26.9    26.9    27.2    27.2    26.7    27.7    26.6    27.1    26.9    27.0
 1905    26.8    27.3    28.0    27.7    27.5    27.4    27.7    27.4    27.1    27.2    27.5    27.2    27.7    27.5    27.3    27.5    27.4
 1906    27.3    28.1    28.0    29.2    28.2    27.7    27.2    26.7    27.2    27.0    26.8    26.9    28.5    27.2    27.0    26.9    27.5
 1907    26.7    27.1    27.8    27.8    28.0    27.3    27.1    26.4    27.2    27.1    26.9    26.8    27.9    26.9    27.1    26.8    27.2
 1908    26.9    26.8    27.3    28.6    27.8    27.2    26.9    26.8    26.7    27.0    26.9    26.8    27.9    27.0    26.9    26.9    27.1
 1909    26.6    27.1    27.4    28.3    27.7    27.3    27.1    26.4    26.5    27.2    27.1    27.0    27.8    27.0    26.9    27.1    27.2
 1910    27.1    27.3    27.5    28.1    28.3    27.5    27.2    26.9    26.6    27.0    26.6    26.5    28.0    27.2    26.8    26.9    27.2
 1911    27.0    27.2    28.1    28.7    28.5    27.5    27.4    27.6    27.6    27.3    27.7    27.3    28.4    27.5    27.5    27.3    27.6
 1912    26.4    28.1    28.5    28.7    28.3    27.4    27.6    27.4    27.4    27.1    27.2    26.7    28.5    27.5    27.2    26.9    27.6
 1913    26.4    27.7    27.9    28.4    28.3    27.8    27.2    27.2    27.4    27.1    27.2    27.2    28.2    27.4    27.2    27.3    27.5
 1914    27.2    27.5    28.1    28.7    28.3    27.8    27.4    26.9    27.5    27.3    27.7    27.2    28.4    27.4    27.5    27.5    27.6
 1915    27.4    27.8    28.0    28.5    28.7    28.2    27.0    27.7    27.1    27.6    27.5    27.2    28.4    27.6    27.4    27.2    27.7
 1916    26.9    27.5    28.2    28.9    28.1    27.1    27.1    27.1    26.7    27.2    27.1    26.4    28.4    27.1    27.0    26.7    27.4
 1917    26.5    27.0    27.1    28.3    27.8    26.9    27.4    27.0    26.6    26.8    27.1    26.5    27.7    27.1    26.8    26.3    27.1
