Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Mexico               : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    16.2    16.0    18.4    20.0    22.8    24.3    24.9    25.0    23.8    22.1    18.8    15.2    20.4    24.7    21.6    15.3    20.6
 1902    15.0    15.8    18.4    22.2    24.3    25.7    24.7    25.0    24.1    21.8    19.1    16.0    21.6    25.1    21.7    15.5    21.0
 1903    15.3    15.3    17.6    20.7    22.4    23.6    24.8    24.7    23.3    20.4    18.0    15.2    20.3    24.4    20.6    15.8    20.1
 1904    14.5    17.8    20.5    21.7    22.8    24.6    24.1    24.2    23.4    20.8    17.4    15.8    21.7    24.3    20.5    15.3    20.6
 1905    15.4    14.6    18.7    20.3    23.7    24.8    24.7    25.5    24.2    21.2    18.5    13.6    20.9    25.0    21.3    14.8    20.4
 1906    14.8    16.0    17.9    20.8    23.3    25.5    24.7    23.9    23.9    20.6    17.8    16.5    20.7    24.7    20.7    17.1    20.5
 1907    17.3    17.7    20.2    21.2    22.2    24.6    24.7    24.7    24.2    21.6    16.8    16.3    21.2    24.7    20.8    16.2    20.9
 1908    16.0    16.3    20.1    21.8    23.5    25.4    24.5    24.6    23.4    20.3    17.7    16.0    21.8    24.8    20.5    16.6    20.8
 1909    17.2    16.7    19.4    21.0    23.5    25.1    25.0    24.7    23.1    21.2    19.2    13.7    21.3    25.0    21.1    14.8    20.8
 1910    15.4    15.2    19.1    20.8    23.6    24.8    25.2    25.2    24.1    20.7    18.2    15.7    21.2    25.1    21.0    16.7    20.7
 1911    17.5    17.0    19.6    21.0    22.3    24.8    24.1    25.3    24.9    21.2    16.7    14.2    21.0    24.7    21.0    14.8    20.7
 1912    15.2    15.1    17.3    20.6    23.6    23.7    24.5    25.1    23.9    21.1    16.7    14.1    20.5    24.4    20.6    14.8    20.1
 1913    14.8    15.6    17.4    19.8    22.8    23.3    24.6    25.1    22.8    20.7    19.4    15.2    20.0    24.3    21.0    16.2    20.1
 1914    17.3    16.3    17.3    20.8    23.1    24.4    25.0    25.0    24.0    21.4    18.2    13.6    20.4    24.8    21.2    14.9    20.5
 1915    14.4    16.7    15.0    20.0    23.3    25.9    25.6    25.3    24.1    21.9    18.8    16.6    19.4    25.6    21.6    17.6    20.6
 1916    18.0    18.3    20.7    21.0    24.0    26.2    24.8    24.1    23.3    21.0    16.9    15.5    21.9    25.0    20.4    16.1    21.1
 1917    15.8    17.0    17.9    20.5    22.1    25.0    25.3    25.3    23.8    21.2    18.7    15.8    20.1    25.2    21.3    15.8    20.7
 1918    14.3    17.3    19.3    21.1    22.8    25.4    25.2    24.8    23.5    22.1    17.0    15.0    21.1    25.1    20.9    14.6    20.7
 1919    13.4    15.4    17.5    20.5    23.1    24.3    24.0    25.1    23.5    21.8    18.1    15.7    20.4    24.4    21.1    15.9    20.2
 1920    14.7    17.4    17.7    20.9    23.3    23.9    25.3    24.6    24.3    21.0    17.3    15.2    20.6    24.6    20.9    15.8    20.5
 1921    16.0    16.3    19.4    20.2    22.4    24.8    24.6    24.8    24.6    21.7    19.0    17.2    20.7    24.7    21.8    16.4    20.9
 1922    14.9    17.2    17.6    21.3    23.9    24.8    25.1    25.4    24.0    21.2    17.3    17.1    20.9    25.1    20.9    16.7    20.8
 1923    17.2    15.6    17.3    21.0    24.2    24.9    25.0    24.8    23.9    20.4    17.3    15.6    20.8    24.9    20.6    15.4    20.6
 1924    14.3    16.2    17.4    20.4    22.7    25.4    25.0    25.6    23.7    21.2    18.6    14.8    20.2    25.3    21.2    15.7    20.4
 1925    14.6    17.7    19.1    21.7    23.4    24.6    25.4    24.8    23.6    21.1    17.6    14.3    21.4    24.9    20.8    15.4    20.7
 1926    14.1    17.6    18.3    20.3    22.7    25.1    24.8    25.1    24.8    22.7    17.6    15.8    20.4    25.0    21.7    16.7    20.7
 1927    16.3    18.0    18.4    21.7    24.9    24.7    24.9    25.0    24.1    21.6    19.8    14.8    21.6    24.8    21.8    15.6    21.2
 1928    15.4    16.7    19.6    20.7    23.5    25.9    25.4    25.0    23.7    22.3    17.6    15.1    21.2    25.4    21.2    15.6    20.9
 1929    15.7    15.9    18.6    22.0    23.5    25.2    24.8    24.8    24.1    21.4    16.8    15.7    21.3    24.9    20.7    16.1    20.7
 1930    14.7    17.8    17.7    21.5    22.8    24.5    24.7    25.2    24.7    21.4    17.4    14.6    20.7    24.8    21.2    15.3    20.6
 1931    14.7    16.6    17.3    20.0    22.7    24.9    25.0    24.5    24.8    22.8    18.5    15.5    20.0    24.8    22.0    16.4    20.6
 1932    15.4    18.2    17.4    21.0    23.2    25.4    25.3    25.4    23.8    21.1    17.1    15.0    20.5    25.4    20.7    15.7    20.7
 1933    16.0    16.2    19.1    21.1    23.9    24.6    25.5    24.7    24.4    22.3    18.5    17.1    21.4    24.9    21.7    16.6    21.1
 1934    15.5    17.2    18.8    21.2    23.6    25.0    25.2    25.0    24.2    22.5    19.0    16.9    21.2    25.1    21.9    16.5    21.2
 1935    16.5    15.9    19.3    21.7    22.9    24.7    24.9    25.0    23.6    21.9    18.3    15.7    21.3    24.8    21.3    16.2    20.9
 1936    15.8    17.1    19.5    21.1    23.3    25.6    25.0    25.1    23.6    21.0    17.8    16.3    21.3    25.2    20.8    16.3    20.9
 1937    15.7    17.0    17.8    21.4    23.4    25.1    25.1    25.7    24.4    22.2    18.2    15.9    20.8    25.3    21.6    16.6    21.0
 1938    16.3    17.5    19.7    20.7    23.6    25.0    25.1    25.0    23.8    21.8    17.6    15.9    21.3    25.0    21.1    15.6    21.0
 1939    15.5    15.5    19.1    21.4    23.8    25.1    25.6    25.0    23.8    21.6    17.6    16.9    21.4    25.2    21.0    16.0    20.9
