Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = New_Siberian_Isl     : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901   -43.9   -36.0   -28.2   -20.4    -7.9     4.9     6.4     4.2    -1.2   -19.0   -32.8   -29.3   -18.8     5.1   -17.7   -36.1   -16.9
 1902   -42.9   -36.1   -34.7   -24.9   -12.1     5.5     7.3     2.5    -3.4   -18.2   -34.3   -40.9   -23.9     5.1   -18.6   -37.5   -19.3
 1903   -36.8   -34.7   -29.7   -26.0    -6.2     6.1    11.3     4.3    -2.4   -16.8   -27.5   -45.3   -20.6     7.2   -15.6   -41.9   -17.0
 1904   -39.3   -41.0   -29.4   -22.0   -12.0     1.4     7.1     4.2    -3.7   -19.8   -27.1   -35.7   -21.1     4.2   -16.9   -40.1   -18.1
 1905   -42.5   -42.0   -33.6   -24.3    -9.2     2.6     3.8     3.7    -2.9   -21.2   -36.4   -36.9   -22.3     3.3   -20.2   -38.3   -19.9
 1906   -39.6   -38.4   -32.5   -22.0    -7.5     4.2     7.6     6.2     0.0   -14.0   -32.4   -36.3   -20.6     6.0   -15.5   -38.1   -17.1
 1907   -40.5   -37.4   -34.7   -19.3    -7.2     3.9     8.4     3.3    -1.3   -10.9   -28.1   -44.8   -20.4     5.2   -13.4   -43.7   -17.4
 1908   -47.5   -38.7   -37.3   -22.3    -5.7     6.4    10.4     3.8     1.5   -11.6   -32.0   -43.5   -21.7     6.8   -14.0   -44.0   -18.0
 1909   -45.1   -43.4   -36.0   -18.5    -6.8     3.1     9.7     8.0    -1.6   -10.8   -33.1   -36.2   -20.4     6.9   -15.2   -37.5   -17.6
 1910   -37.2   -39.0   -35.0   -19.5    -8.4     5.7     7.8     7.5    -1.5   -11.7   -30.7   -44.2   -20.9     7.0   -14.6   -41.0   -17.2
 1911   -46.4   -32.3   -31.0   -19.6   -10.6     3.4     9.3     6.7    -4.3   -15.1   -26.1   -36.2   -20.4     6.4   -15.2   -40.0   -16.8
 1912   -41.7   -42.0   -38.5   -21.0    -7.2     4.2     5.2     4.2    -3.4   -18.8   -31.8   -42.3   -22.2     4.5   -18.0   -42.7   -19.4
 1913   -42.2   -43.6   -31.7   -24.9    -8.2     3.2     7.5     6.6    -1.3   -16.6   -34.5   -36.5   -21.6     5.7   -17.5   -38.4   -18.5
 1914   -44.2   -34.6   -36.8   -23.8    -9.4     6.4    11.2     4.3     0.7   -16.0   -34.1   -35.0   -23.3     7.3   -16.5   -41.0   -17.6
 1915   -45.3   -42.8   -30.1   -21.7    -5.1     2.2     5.9     1.0    -2.8   -19.7   -35.3   -43.6   -18.9     3.0   -19.3   -41.9   -19.8
 1916   -39.1   -43.1   -32.0   -23.0    -9.5     3.3     7.9     6.9    -2.5   -10.3   -28.1   -41.7   -21.5     6.0   -13.6   -39.1   -17.6
 1917   -37.6   -38.1   -32.6   -19.7    -4.8     6.1    11.0     7.6    -1.9   -18.4   -32.1   -37.2   -19.0     8.2   -17.5   -40.4   -16.5
 1918   -41.5   -42.5   -30.1   -22.0    -8.6     4.4     5.2     5.1    -1.5   -12.7   -31.4   -42.0   -20.2     4.9   -15.2   -43.3   -18.1
 1919   -41.5   -46.5   -35.5   -18.2    -7.6     4.3     6.7     7.3     1.5   -12.5   -29.3   -34.2   -20.4     6.1   -13.4   -34.8   -17.1
 1920   -34.7   -35.6   -28.4   -14.4    -7.8     2.6     7.9     6.6    -1.3   -17.9   -34.7   -38.8   -16.8     5.7   -18.0   -37.5   -16.4
