Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Phoenix_Isl          : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    27.6    27.5    27.7    28.1    28.0    27.5    27.8    27.5    27.8    27.6    27.8    27.8    28.0    27.6    27.7    27.6    27.7
 1902    27.5    27.7    27.8    27.9    28.0    27.4    27.7    27.5    27.7    27.8    28.0    27.9    27.9    27.5    27.8    27.5    27.7
 1903    27.1    27.5    27.9    27.8    27.9    27.8    27.6    27.7    27.6    27.7    27.5    27.4    27.9    27.7    27.6    27.1    27.6
 1904    26.9    27.1    27.3    27.5    27.7    27.5    27.3    27.4    27.6    27.9    27.9    27.8    27.5    27.4    27.8    27.7    27.5
 1905    27.5    27.7    27.8    27.8    27.6    27.2    27.4    27.3    27.5    27.7    27.6    27.4    27.7    27.3    27.6    27.7    27.5
 1906    27.9    27.7    27.9    28.1    27.9    27.5    27.5    27.7    27.9    27.8    27.6    27.6    28.0    27.6    27.7    27.4    27.7
 1907    27.3    27.4    27.4    27.6    27.5    27.8    27.6    27.2    27.6    27.9    27.6    27.5    27.5    27.5    27.7    27.3    27.5
 1908    27.3    27.3    27.5    27.7    27.8    27.8    27.2    27.8    27.4    27.7    27.5    27.6    27.6    27.6    27.5    27.2    27.5
 1909    26.9    27.2    27.5    27.3    27.5    27.4    27.3    27.8    27.7    27.7    27.5    27.3    27.4    27.5    27.6    27.2    27.4
 1910    27.2    27.2    27.3    27.6    27.6    27.2    27.6    27.7    27.8    27.5    27.6    27.4    27.5    27.5    27.6    27.5    27.5
 1911    27.3    27.7    27.6    27.9    27.7    27.6    27.5    27.9    27.8    27.9    27.8    28.2    27.7    27.7    27.9    28.1    27.7
 1912    28.2    27.8    28.1    28.0    28.1    27.7    27.7    27.8    27.9    27.9    27.9    27.8    28.1    27.7    27.9    27.6    27.9
 1913    27.6    27.4    27.9    28.0    27.9    27.9    27.9    27.9    28.2    27.8    27.9    27.7    28.0    27.9    28.0    27.8    27.8
 1914    27.7    28.0    28.1    28.2    28.5    28.0    27.7    27.9    27.9    27.9    27.8    27.8    28.3    27.8    27.9    27.7    28.0
 1915    27.6    27.6    28.0    28.0    27.9    27.6    27.2    27.5    27.9    27.9    27.6    27.4    28.0    27.4    27.8    27.4    27.7
 1916    27.3    27.4    27.5    27.6    27.6    27.4    27.7    27.9    27.8    27.7    27.5    27.4    27.5    27.7    27.6    27.2    27.5
 1917    27.0    27.1    28.0    27.2    27.4    27.4    27.6    27.4    27.6    28.0    27.4    27.8    27.5    27.4    27.7    27.3    27.5
 1918    27.1    27.1    27.4    27.5    27.8    27.8    27.5    27.6    27.8    27.9    28.0    27.7    27.6    27.6    27.9    27.6    27.6
 1919    27.4    27.7    28.0    28.1    28.0    27.7    27.8    27.7    28.3    28.3    28.3    28.1    28.0    27.7    28.3    28.0    28.0
 1920    28.0    27.7    27.9    28.1    28.2    27.7    28.1    27.7    28.3    27.8    27.8    27.7    28.1    27.8    28.0    27.4    27.9
 1921    27.2    27.4    27.6    27.8    28.0    27.7    27.5    27.7    27.9    27.9    27.5    27.5    27.8    27.6    27.8    27.4    27.7
 1922    27.1    27.4    28.2    28.2    27.5    28.0    27.3    28.1    27.8    27.8    27.3    28.1    28.0    27.8    27.7    27.8    27.8
 1923    27.8    27.5    27.6    27.9    28.1    27.7    27.2    27.0    27.6    27.4    27.3    27.0    27.9    27.3    27.4    26.9    27.5
 1924    26.4    27.3    27.3    27.8    27.4    27.3    27.1    27.8    28.1    27.9    28.0    28.1    27.5    27.4    28.0    28.2    27.6
 1925    28.4    28.1    27.8    28.4    28.4    28.3    27.9    28.2    28.8    27.9    27.8    27.6    28.2    28.1    28.2    27.6    28.1
 1926    27.4    27.7    27.4    27.9    28.5    28.4    28.1    27.7    28.0    28.0    27.8    27.9    27.9    28.1    28.0    28.3    27.9
 1927    28.3    28.8    29.1    29.3    29.1    28.9    28.5    29.0    29.3    29.3    29.1    28.4    29.2    28.8    29.2    28.1    28.9
 1928    27.6    28.3    29.2    29.1    28.5    28.2    28.9    28.9    28.7    29.6    29.4    29.4    28.9    28.7    29.2    28.9    28.8
 1929    29.1    28.2    28.7    28.7    28.2    28.3    28.2    28.0    29.2    29.4    28.4    28.1    28.6    28.2    29.0    27.8    28.6
 1930    27.5    27.8    28.2    28.6    28.7    28.6    28.3    27.7    27.6    28.4    27.9    27.7    28.5    28.2    28.0    27.9    28.1
 1931    27.9    28.1    27.9    28.4    28.0    28.1    28.3    28.4    29.0    28.7    28.6    28.7    28.1    28.3    28.7    28.5    28.3
 1932    28.3    28.5    28.4    28.2    28.2    28.1    28.4    28.5    28.1    29.0    29.1    29.1    28.3    28.3    28.7    28.7    28.5
 1933    28.4    28.8    28.9    28.6    28.5    28.3    27.9    27.8    28.3    28.8    28.7    28.2    28.7    28.0    28.6    28.1    28.4
 1934    28.4    27.6    27.8    27.7    28.8    28.4    28.4    28.5    29.1    29.3    29.2    29.0    28.1    28.4    29.2    28.6    28.5
 1935    28.1    28.7    29.2    28.9    28.2    28.1    28.1    28.3    28.7    28.8    28.4    28.2    28.7    28.2    28.6    28.4    28.5
