Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Belize               : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    17.8    18.1    19.2    19.5    21.6    22.8    21.2    22.0    22.2    21.8    17.7    17.7    20.1    22.0    20.6    17.6    20.1
 1902    17.0    18.1    20.8    21.1    22.8    22.8    23.0    21.7    23.7    22.4    20.8    19.2    21.6    22.5    22.3    19.6    21.1
 1903    19.0    20.5    20.7    20.6    21.7    23.8    23.1    22.8    23.4    21.3    18.9    17.4    21.0    23.3    21.2    18.2    21.1
 1904    18.0    19.1    20.1    21.0    21.9    22.6    21.5    21.8    22.2    21.1    18.7    18.7    21.0    22.0    20.7    18.0    20.6
 1905    16.0    19.2    20.2    20.6    23.7    23.6    22.1    22.7    22.8    22.3    20.3    19.0    21.5    22.8    21.8    18.0    21.0
 1906    17.4    17.5    19.3    20.4    22.3    22.6    22.9    22.4    23.0    21.7    20.1    18.4    20.6    22.6    21.6    18.6    20.7
 1907    19.1    18.3    20.1    21.0    22.6    22.7    21.9    21.8    22.1    21.5    20.4    18.7    21.2    22.1    21.4    17.9    20.9
 1908    17.5    17.6    20.3    22.5    23.2    23.0    22.5    22.2    22.3    20.7    18.9    19.2    22.0    22.5    20.7    18.6    20.8
 1909    18.2    18.6    20.9    21.6    23.5    22.7    23.0    22.5    22.1    21.2    18.9    18.6    22.0    22.8    20.7    17.7    21.0
 1910    16.8    17.5    17.7    19.4    21.7    22.3    22.1    22.3    22.1    21.1    18.2    16.7    19.6    22.3    20.5    17.9    19.8
 1911    18.3    18.7    20.1    21.8    20.5    21.8    20.9    22.3    22.6    22.5    20.9    19.6    20.8    21.7    22.0    18.3    20.8
 1912    18.7    16.7    20.9    23.0    22.9    22.6    22.3    22.5    22.4    22.0    18.8    19.8    22.2    22.4    21.0    20.0    21.0
 1913    19.7    20.4    20.8    19.1    20.6    21.3    22.1    22.2    21.8    21.0    19.0    18.7    20.2    21.9    20.6    18.4    20.6
 1914    17.7    18.7    17.6    20.7    21.3    22.1    22.9    23.0    22.1    21.2    19.1    19.7    19.9    22.7    20.8    18.6    20.5
 1915    18.2    17.7    17.1    18.8    23.3    23.7    23.3    23.1    22.7    21.8    20.0    19.1    19.7    23.4    21.5    19.0    20.7
 1916    20.2    17.6    18.7    20.0    22.0    22.4    23.2    22.1    22.0    21.1    18.9    19.2    20.2    22.6    20.7    18.8    20.6
 1917    19.2    18.1    20.3    20.3    22.1    22.2    21.9    22.3    22.1    21.2    17.7    17.0    20.9    22.1    20.3    18.1    20.4
 1918    17.6    19.6    20.3    21.4    22.0    22.4    22.8    22.6    22.5    22.6    20.1    19.0    21.2    22.6    21.7    18.4    21.1
 1919    17.3    18.9    20.3    20.2    21.9    22.1    22.3    22.6    22.4    22.2    20.9    19.2    20.8    22.3    21.8    18.7    20.9
 1920    18.9    18.0    19.8    22.7    22.5    22.0    22.3    22.2    22.4    21.2    19.4    18.8    21.7    22.2    21.0    18.5    20.8
 1921    18.2    18.5    20.4    21.0    20.4    22.3    22.1    22.4    22.3    21.5    20.6    19.7    20.6    22.3    21.5    19.3    20.8
 1922    19.1    19.2    20.8    22.3    22.2    22.7    22.4    22.8    22.6    21.9    20.4    19.4    21.8    22.6    21.6    19.0    21.3
 1923    18.8    18.9    20.4    21.5    22.6    22.6    22.5    22.4    22.6    21.4    18.9    19.7    21.5    22.5    21.0    18.5    21.0
 1924    18.7    17.1    19.4    21.6    22.5    23.2    22.8    22.7    22.5    21.6    19.1    19.8    21.2    22.9    21.0    19.4    20.9
 1925    19.7    18.7    19.2    19.9    21.0    22.2    22.3    22.7    22.4    22.6    20.3    19.2    20.1    22.4    21.7    18.7    20.9
 1926    18.4    18.4    20.0    21.2    21.5    22.7    23.1    22.6    23.0    22.2    19.1    19.9    20.9    22.8    21.4    19.1    21.0
 1927    17.6    19.8    19.7    21.2    23.1    23.4    22.3    23.0    22.7    21.6    19.7    19.2    21.3    22.9    21.3    18.7    21.1
 1928    17.5    19.3    20.1    20.6    21.3    23.6    22.7    22.8    23.0    22.3    19.7    18.5    20.7    23.0    21.7    19.3    20.9
 1929    19.3    20.2    21.1    22.4    22.3    22.1    22.0    22.2    22.3    21.6    20.7    18.5    21.9    22.1    21.6    18.7    21.2
 1930    19.1    18.7    19.5    20.1    22.4    22.1    22.0    22.7    22.7    22.0    19.4    18.0    20.7    22.3    21.4    18.2    20.7
 1931    18.0    18.7    19.0    20.3    21.6    22.6    22.6    22.8    22.8    21.8    19.4    20.3    20.3    22.7    21.3    20.1    20.8
 1932    20.0    20.0    19.6    20.5    21.9    22.5    22.5    22.7    23.4    22.1    18.6    19.5    20.7    22.6    21.3    19.5    21.1
 1933    19.2    20.0    20.1    22.2    22.6    22.5    22.5    22.3    22.4    21.8    19.0    18.9    21.6    22.4    21.1    18.7    21.1
 1934    19.0    18.4    18.7    21.0    21.6    22.2    22.4    22.8    22.7    22.0    20.0    19.4    20.4    22.5    21.5    18.4    20.8
 1935    18.1    17.6    20.1    21.5    22.8    23.0    22.6    22.4    23.0    21.7    19.5    18.8    21.5    22.7    21.4    19.5    20.9
 1936    19.7    19.9    20.5    21.1    21.8    22.8    22.6    23.0    22.7    22.4    20.3    19.0    21.1    22.8    21.8    19.8    21.3
