Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bermuda              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    13.2     9.1    12.3    11.0    14.5    18.6    22.0    21.9    21.5    18.4    11.9    12.7    12.6    20.8    17.3    11.4    15.6
 1902    11.7     9.9    13.1    12.5    15.6    18.1    20.2    20.1    20.6    19.4    17.8    12.9    13.7    19.5    19.3    13.4    16.0
 1903    13.3    13.9    15.4    13.3    16.2    16.7    20.8    20.3    20.4    18.6    12.9    10.6    15.0    19.3    17.3     9.8    16.0
 1904     9.9     8.9    11.1    11.4    16.5    18.1    20.0    20.4    20.5    16.8    12.6    10.4    13.0    19.5    16.6     9.7    14.7
 1905    10.8     8.0    11.9    12.5    16.4    18.2    20.8    20.5    21.0    18.9    14.5    14.1    13.6    19.8    18.1    14.1    15.6
 1906    16.1    12.0    10.4    13.4    16.4    19.4    20.2    22.7    22.9    19.0    14.7    13.3    13.4    20.8    18.9    12.7    16.7
 1907    15.1     9.6    13.4    10.2    13.9    16.6    20.9    20.9    22.1    16.2    14.7    14.6    12.5    19.5    17.7    13.0    15.7
 1908    13.5    11.0    13.7    14.1    16.7    19.0    21.7    20.9    20.6    19.5    15.3    14.5    14.8    20.5    18.5    15.1    16.7
 1909    15.5    15.4    11.6    13.3    15.9    19.7    19.9    20.6    20.3    17.0    16.6    11.0    13.6    20.1    18.0    12.5    16.4
 1910    13.8    12.7    14.7    14.8    15.6    18.2    21.2    20.7    21.6    20.0    12.7    10.0    15.0    20.0    18.1    12.6    16.3
 1911    15.0    12.8    10.8    11.6    16.9    19.4    21.7    21.9    21.9    18.8    14.4    16.1    13.1    21.0    18.4    12.1    16.8
 1912     9.8    10.3    11.5    14.3    16.6    18.5    20.7    21.1    22.1    19.6    15.0    15.4    14.1    20.1    18.9    15.5    16.2
 1913    18.5    12.6    14.8    13.3    16.2    18.4    21.3    21.0    20.2    19.3    15.3    14.6    14.8    20.2    18.3    13.1    17.1
 1914    14.1    10.7     9.5    12.3    16.7    19.3    20.1    21.7    19.6    19.5    14.2    12.1    12.8    20.4    17.8    13.3    15.8
 1915    14.1    13.7     8.8    13.6    15.7    17.3    20.4    21.2    22.1    19.3    15.2    11.6    12.7    19.6    18.9    13.0    16.1
 1916    15.6    11.8     9.3    11.8    16.5    17.6    20.3    21.2    20.1    18.5    14.7    12.5    12.5    19.7    17.8    12.3    15.8
 1917    13.8    10.7    11.4    12.0    13.5    18.3    20.8    21.4    19.0    16.8    12.5     8.8    12.3    20.2    16.1     9.8    14.9
 1918     8.1    12.6    13.1    12.5    17.8    17.6    19.7    22.2    19.5    20.1    15.0    15.3    14.5    19.8    18.2    14.0    16.1
 1919    14.2    12.4    12.9    12.5    16.7    18.5    21.0    20.9    21.1    22.0    15.2    11.4    14.0    20.1    19.4    11.0    16.6
 1920    10.9    10.7    11.7    12.4    13.6    18.1    20.0    21.4    21.9    20.0    15.1    14.5    12.6    19.8    19.0    14.3    15.9
 1921    14.5    13.8    16.8    15.0    14.8    19.1    21.3    20.4    23.4    18.5    16.5    13.3    15.5    20.3    19.5    13.1    17.3
 1922    12.1    13.9    13.3    13.8    16.8    19.6    20.5    20.2    21.1    19.4    15.2    14.3    14.6    20.1    18.6    12.9    16.7
 1923    14.0    10.4    12.5    13.1    15.6    20.1    20.1    21.3    21.8    17.8    14.5    16.9    13.7    20.5    18.0    14.1    16.5
 1924    14.0    11.3    11.1    12.8    15.4    18.9    20.3    21.7    20.1    17.9    15.5    13.6    13.1    20.3    17.8    14.4    16.1
 1925    13.3    16.3    13.8    14.3    15.3    20.8    21.1    20.9    22.6    17.3    14.6    13.1    14.5    20.9    18.2    13.2    17.0
 1926    13.4    13.0     9.7    11.9    15.3    17.8    20.8    22.6    21.6    18.9    15.3    12.4    12.3    20.4    18.6    13.9    16.1
 1927    13.0    16.3    13.2    12.3    16.0    17.3    20.2    19.7    21.4    20.2    17.4    14.4    13.8    19.1    19.7    13.7    16.8
 1928    13.7    13.1    12.0    12.3    14.6    18.6    20.9    22.5    20.3    19.7    15.4    13.9    13.0    20.7    18.5    13.5    16.4
 1929    14.1    12.5    14.7    14.4    16.3    18.9    20.5    20.8    21.2    18.0    16.0    14.1    15.1    20.1    18.4    14.7    16.8
 1930    15.2    14.9    12.1    12.7    17.8    19.9    21.9    21.1    23.5    17.6    15.3    12.6    14.2    21.0    18.8    11.9    17.1
 1931    11.6    11.4    11.4    13.4    16.3    17.9    20.7    22.5    22.2    18.4    15.9    14.2    13.7    20.4    18.8    13.4    16.3
 1932    14.0    12.1    11.5    13.1    15.6    18.6    20.9    21.7    20.2    17.9    15.9    14.9    13.4    20.4    18.0    13.9    16.4
 1933    14.4    12.5    12.0    13.5    16.6    19.0    20.9    21.2    21.4    19.1    15.4    13.8    14.0    20.4    18.6    12.2    16.6
 1934    12.9    10.0    13.3    14.4    16.6    19.2    20.6    21.3    21.9    18.4    16.1    13.0    14.8    20.4    18.8    12.2    16.5
 1935    11.6    11.9    12.4    13.4    15.7    18.8    20.7    20.8    21.3    18.2    16.5    11.9    13.8    20.1    18.7    11.5    16.1
 1936    12.0    10.7    13.2    13.8    15.8    18.6    21.1    21.9    21.3    19.3    15.7    14.5    14.3    20.5    18.8    14.0    16.5
 1937    15.8    11.6    12.1    12.7    15.5    18.9    21.7    23.1    21.3    18.8    15.7    13.6    13.4    21.2    18.6    12.7    16.7
 1938    12.7    11.9    12.4    13.9    16.9    19.2    20.8    22.1    21.3    18.8    17.2    14.2    14.4    20.7    19.1    13.3    16.8
 1939    12.6    13.0    12.7    14.1    16.6    19.1    20.1    21.5    21.2    18.6    15.2    12.9    14.5    20.2    18.3    11.2    16.5
 1940    10.2    10.4    11.0    12.1    15.3    18.5    20.6    20.7    20.5    17.3    15.0    13.9    12.8    19.9    17.6    12.2    15.5
 1941    11.7    10.9    10.4    12.7    14.9    18.0    21.7    21.3    21.0    18.8    17.0    14.0    12.7    20.3    18.9    12.5    16.0
 1942    12.9    10.5    12.9    12.9    15.6    18.7    21.1    22.2    21.9    19.3    16.4    13.3    13.8    20.7    19.2    13.0    16.5
 1943    13.3    12.3    12.7    12.7    15.8    20.1    21.2    21.4    20.6    18.5    15.9    13.8    13.7    20.9    18.3    12.8    16.5
 1944    12.8    11.9    12.8    13.9    16.7    19.4    21.1    21.1    21.8    18.1    14.3    12.9    14.5    20.5    18.1    12.4    16.4
 1945    12.2    12.1    13.9    15.6    15.6    18.3    21.2    21.9    21.9    18.8    16.4    13.1    15.0    20.5    19.0    12.8    16.8
 1946    13.8    11.6    14.5    12.9    17.1    17.6    20.3    20.8    21.2    19.3    17.2    14.8    14.8    19.6    19.2    13.9    16.8
 1947    15.3    11.6    11.3    14.9    16.7    18.3    21.5    21.9    21.8    18.8    15.6    13.3    14.3    20.6    18.7    12.8    16.8
 1948    12.3    12.9    12.6    14.0    16.7    18.8    20.4    21.3    20.1    18.2    17.6    14.7    14.4    20.2    18.6    14.2    16.6
 1949    14.2    13.6    12.9    14.0    16.5    18.4    20.9    21.5    21.2    19.7    16.1    14.5    14.5    20.3    19.0    13.9    17.0
 1950    14.2    12.9    12.5    13.0    15.8    18.6    21.1    21.4    20.8    19.1    16.8    14.3    13.8    20.4    18.9    13.6    16.7
 1951    13.2    13.4    11.8    13.9    16.4    18.8    21.3    22.0    21.8    20.5    16.8    14.8    14.0    20.7    19.7    13.9    17.1
 1952    13.9    12.9    12.8    14.7    16.2    19.7    21.6    22.7    21.8    19.5    15.9    13.7    14.6    21.3    19.1    13.9    17.1
 1953    14.3    13.6    13.2    14.1    16.9    18.5    21.7    21.9    21.9    19.3    17.3    15.8    14.7    20.7    19.5    14.2    17.4
 1954    13.6    13.2    13.8    14.8    16.6    17.4    21.3    22.2    22.4    19.8    16.9    14.3    15.1    20.3    19.7    12.9    17.2
 1955    12.2    12.2    13.6    14.2    16.2    18.9    21.0    22.1    21.7    18.9    15.8    12.7    14.7    20.7    18.8    12.7    16.6
 1956    11.7    13.7    13.2    13.6    16.4    19.0    22.4    21.6    21.7    19.3    16.5    16.3    14.4    21.0    19.2    14.9    17.1
 1957    13.7    14.8    13.1    14.0    16.4    18.8    20.1    20.5    21.4    18.1    16.6    14.6    14.5    19.8    18.7    12.5    16.8
 1958    12.4    10.5    11.8    13.3    16.1    18.4    21.7    22.5    21.4    18.9    17.6    14.3    13.7    20.9    19.3    13.5    16.6
 1959    13.0    13.2    13.6    14.0    16.4    19.0    21.1    21.9    20.4    21.3    17.8    15.5    14.7    20.7    19.8    14.1    17.3
 1960    13.3    13.5    10.8    14.9    16.7    19.4    21.1    22.4    21.5    19.2    16.8    13.2    14.1    21.0    19.2    13.1    16.9
 1961    12.9    13.2    13.3    13.6    15.4    18.7    21.6    22.1    22.4    19.5    16.5    14.8    14.1    20.8    19.5    14.5    17.0
 1962    14.8    13.9    11.9    13.9    16.0    18.5    20.6    22.0    21.1    19.6    16.2    13.9    13.9    20.4    19.0    13.1    16.9
 1963    12.8    12.6    13.6    12.7    15.9    19.4    21.5    22.2    21.6    18.3    15.8    12.6    14.1    21.0    18.6    12.4    16.6
 1964    12.6    11.9    13.1    13.3    16.6    18.5    20.8    21.4    21.7    19.3    16.4    14.8    14.3    20.2    19.1    13.4    16.7
 1965    13.1    12.3    12.1    12.8    16.0    18.8    21.4    22.3    21.2    18.4    15.7    13.7    13.6    20.8    18.4    12.6    16.5
 1966    12.2    12.0    12.6    13.1    16.8    19.1    21.2    22.8    21.7    19.3    16.3    14.0    14.2    21.0    19.1    13.6    16.8
 1967    14.0    12.9    12.3    12.7    15.3    17.7    21.1    22.4    21.2    19.0    15.8    14.5    13.4    20.4    18.7    12.6    16.6
 1968    12.2    11.2    12.0    13.8    15.6    19.2    21.8    22.8    21.2    18.8    16.2    13.2    13.8    21.3    18.7    12.4    16.5
 1969    12.2    11.9    11.1    14.7    16.3    19.4    21.9    22.5    22.4    18.7    15.7    12.9    14.0    21.3    18.9    12.2    16.6
 1970    11.0    12.6    12.6    13.9    16.5    18.6    20.0    21.3    21.2    18.0    15.5    14.1    14.3    20.0    18.2    13.4    16.3
 1971    12.3    13.8    13.4    12.0    15.8    19.2    21.5    21.7    22.5    20.8    15.2    13.9    13.7    20.8    19.5    13.3    16.8
 1972    13.4    12.7    12.7    13.6    16.0    18.5    21.4    21.4    21.6    21.0    15.9    16.8    14.1    20.4    19.5    13.8    17.1
 1973    12.9    11.6    13.5    13.5    16.1    20.2    20.5    22.4    21.5    17.8    16.5    13.8    14.4    21.0    18.6    14.9    16.7
 1974    18.1    12.7    13.5    13.8    16.1    19.5    22.2    22.2    21.8    17.1    16.6    15.1    14.5    21.3    18.5    14.9    17.4
 1975    15.0    14.5    13.5    11.3    16.9    19.1    22.0    23.3    22.2    20.6    18.1    15.0    13.9    21.5    20.3    13.9    17.6
 1976    13.5    13.2    13.8    13.6    17.0    20.3    20.9    20.3    20.6    18.8    15.6    13.8    14.8    20.5    18.3    12.0    16.8
 1977    10.3    11.9    14.8    15.3    16.8    18.7    22.4    22.7    22.4    18.0    17.5    13.2    15.6    21.3    19.3    10.8    17.0
 1978    11.3     7.8    11.4    13.9    15.6    19.2    20.9    23.1    22.0    18.2    17.9    14.9    13.6    21.1    19.4    12.2    16.3
 1979    13.2     8.6    12.3    13.8    16.3    17.6    20.9    22.1    22.1    18.4    17.7    14.6    14.1    20.2    19.4    12.6    16.5
 1980    13.5     9.6    11.5    14.9    17.1    18.6    21.4    22.7    23.0    17.7    14.0    12.7    14.5    20.9    18.2    11.9    16.4
 1981    10.8    12.3    10.1    13.3    15.3    18.9    21.0    21.4    20.5    17.4    15.3    12.3    12.9    20.4    17.7    12.2    15.7
 1982    10.9    13.5    13.8    14.4    16.4    19.9    21.8    22.4    21.3    18.3    16.7    14.8    14.9    21.4    18.8    13.4    17.0
 1983    13.3    12.0    13.2    13.3    16.3    18.4    20.6    21.5    21.2    18.5    15.2    14.1    14.3    20.2    18.3    13.8    16.5
 1984    14.0    13.3    12.1    12.3    16.0    18.2    21.4    21.6    20.3    18.6    15.3    15.0    13.5    20.4    18.1    12.6    16.5
 1985    10.8    11.9    12.1    13.5    16.5    18.8    20.6    20.4    21.0    19.0    16.5    14.3    14.0    19.9    18.8    13.2    16.3
