Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Botswana             : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    20.1    19.5    17.6    14.8     8.7     5.3     4.3     7.9    10.9    15.8    17.8    18.5    13.7     5.8    14.8    18.7    13.4
 1902    18.7    19.0    17.0    14.7     8.9     5.0     5.6     7.6    12.2    15.0    17.9    19.8    13.6     6.1    15.0    19.7    13.5
 1903    19.8    19.5    17.9    14.9     9.8     5.0     4.9     7.8    11.2    15.7    17.8    18.7    14.2     5.9    14.9    18.3    13.6
 1904    18.3    17.8    16.2    14.2     8.2     6.0     4.4     7.1    10.6    15.9    18.9    17.6    12.9     5.8    15.1    18.7    12.9
 1905    19.6    18.7    16.3    14.2     8.4     5.6     4.4     7.5    12.5    17.6    18.5    19.8    13.0     5.8    16.2    19.3    13.6
 1906    20.3    17.9    16.8    13.3     9.0     5.5     4.2     6.3    11.6    14.9    16.9    18.2    13.0     5.3    14.5    18.3    12.9
 1907    18.6    18.1    17.1    13.2     8.1     4.9     3.3     6.2    11.3    15.3    17.3    17.8    12.8     4.8    14.6    18.4    12.6
 1908    18.6    18.7    17.0    12.9     8.1     5.9     4.6     8.1    12.8    16.7    17.8    19.1    12.7     6.2    15.8    18.7    13.4
 1909    18.9    18.2    16.2    13.0     8.4     4.8     4.9     7.9    11.6    15.8    18.0    19.0    12.5     5.9    15.1    18.7    13.1
 1910    18.9    18.3    16.9    13.4     7.7     4.7     4.2     7.3    11.3    14.9    16.0    18.6    12.7     5.4    14.1    18.6    12.7
 1911    18.5    18.5    15.9    12.9     7.7     3.7     3.5     6.5    10.6    17.0    18.4    20.9    12.2     4.5    15.3    20.0    12.8
 1912    19.7    19.4    16.6    14.8    10.2     4.6     4.0     6.8    10.7    15.8    20.0    19.2    13.9     5.2    15.5    19.6    13.5
 1913    20.1    19.4    16.9    14.2     8.7     5.0     5.0     8.0    11.8    16.2    18.3    20.6    13.3     6.0    15.4    20.0    13.7
 1914    20.7    18.8    17.8    15.2     9.5     5.6     4.2     6.7    13.4    17.4    18.2    19.0    14.2     5.5    16.3    19.2    13.9
 1915    19.9    18.7    16.9    14.1     8.1     5.3     4.9     7.4    11.7    16.1    18.3    19.2    13.0     5.9    15.3    19.5    13.4
 1916    19.1    20.2    17.6    13.9     7.4     5.4     5.2     6.3    12.0    17.4    18.1    18.8    13.0     5.6    15.8    18.9    13.4
 1917    19.0    19.1    17.1    13.6     8.8     5.6     4.3     6.5    11.4    16.8    18.2    17.8    13.2     5.5    15.5    18.0    13.2
 1918    17.7    18.5    16.4    12.3     7.0     4.9     5.1     5.7    12.1    16.7    17.6    18.5    11.9     5.2    15.5    18.7    12.7
 1919    19.1    18.6    16.8    14.8     7.2     5.4     5.3     6.9    11.5    15.9    17.7    18.9    12.9     5.9    15.0    19.4    13.2
 1920    20.5    18.8    16.4    13.1     8.7     4.7     5.1     7.1    12.4    15.8    18.9    19.6    12.7     5.6    15.7    19.4    13.4
 1921    19.6    19.0    17.4    13.7     8.2     5.7     3.4     6.2    11.1    16.4    17.4    18.3    13.1     5.1    14.9    19.5    13.0
