Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Brunei               : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.7    23.0
 1902    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.5    23.0
 1903    22.7    22.0    22.2    22.6    23.2    23.0    22.0    22.7    22.0    21.9    21.8    21.7    22.7    22.6    21.9    21.5    22.3
 1904    21.6    21.1    21.6    21.3    21.4    21.9    22.2    21.5    23.0    21.4    21.0    21.2    21.5    21.9    21.8    21.5    21.6
 1905    22.0    21.2    22.4    23.0    23.2    22.5    21.3    21.9    21.8    21.9    21.2    22.1    22.9    21.9    21.7    22.4    22.1
 1906    22.3    22.7    22.6    23.3    23.4    22.2    22.1    22.3    21.7    21.7    21.5    22.4    23.1    22.2    21.7    22.5    22.4
 1907    22.2    22.8    22.5    22.9    22.3    22.5    21.7    21.7    21.6    22.7    22.2    22.1    22.6    22.0    22.2    22.1    22.3
 1908    22.1    21.9    22.0    23.1    22.6    22.2    22.5    22.6    22.1    22.3    21.6    22.0    22.6    22.4    22.0    22.2    22.3
 1909    22.3    22.2    22.4    23.3    22.5    22.8    22.0    22.7    21.8    22.2    22.2    21.8    22.7    22.5    22.1    22.3    22.4
 1910    22.5    22.5    22.1    22.3    22.5    22.7    22.6    23.1    22.2    22.2    21.8    22.0    22.3    22.8    22.1    21.9    22.4
 1911    22.3    21.4    21.6    22.1    22.1    22.3    22.8    22.7    22.3    22.6    21.9    22.1    22.0    22.6    22.3    22.2    22.2
 1912    22.0    22.4    22.9    23.5    23.2    24.3    22.0    23.0    23.0    22.3    21.9    22.0    23.2    23.1    22.4    22.1    22.7
 1913    22.3    22.0    22.4    22.1    22.0    22.7    22.7    22.6    22.8    21.9    21.9    22.0    22.2    22.7    22.2    21.9    22.3
 1914    22.0    21.7    22.7    23.1    22.8    22.7    22.7    22.7    22.3    22.6    22.7    22.5    22.9    22.7    22.6    22.4    22.6
 1915    22.5    22.3    23.2    23.8    23.4    24.2    23.1    23.4    22.6    22.8    22.3    22.2    23.5    23.6    22.6    21.8    23.0
 1916    21.6    21.5    22.0    21.7    21.5    22.4    23.3    23.3    22.5    22.3    21.4    22.1    21.8    23.0    22.1    21.9    22.2
 1917    21.9    21.6    22.3    22.8    21.9    22.5    22.4    23.0    22.1    21.9    21.4    21.8    22.4    22.6    21.8    21.2    22.2
 1918    20.8    20.9    21.3    21.7    22.7    22.2    22.6    22.0    22.6    22.2    22.0    21.6    21.9    22.3    22.3    22.2    21.9
 1919    22.3    22.8    22.8    23.4    23.5    23.1    23.3    22.9    22.6    22.7    22.5    22.5    23.3    23.1    22.6    22.6    22.9
 1920    22.5    22.6    22.5    23.6    22.6    23.1    22.6    22.7    22.3    22.0    22.8    22.2    22.9    22.8    22.4    22.4    22.7
 1921    22.5    22.6    22.6    22.8    22.2    23.1    22.5    23.4    22.4    22.9    22.1    22.1    22.6    23.0    22.5    22.2    22.6
 1922    22.5    22.1    23.0    23.8    22.3    22.8    22.2    23.4    23.0    22.5    22.8    22.3    23.0    22.8    22.8    22.3    22.7
 1923    22.2    22.3    22.2    22.6    22.3    23.3    22.6    23.0    22.5    23.0    22.4    22.7    22.4    23.0    22.6    22.6    22.6
 1924    22.5    22.7    23.0    23.3    23.4    23.0    23.5    23.9    23.2    23.0    22.1    21.5    23.3    23.5    22.8    22.2    23.0
 1925    22.9    22.2    22.9    23.1    22.3    23.2    22.6    22.9    22.5    22.6    22.8    22.3    22.8    22.9    22.7    22.4    22.7
 1926    22.6    22.4    22.3    23.6    23.5    23.9    22.3    22.7    22.6    23.1    22.5    22.1    23.1    23.0    22.8    22.4    22.8
 1927    22.1    22.8    23.5    23.7    22.7    22.9    22.5    23.3    23.3    22.6    22.4    22.4    23.3    22.9    22.8    22.6    22.9
 1928    22.9    22.5    23.0    23.2    22.8    23.5    22.3    23.9    23.2    22.7    23.1    22.4    23.0    23.2    23.0    22.0    23.0
 1929    21.1    22.3    22.3    22.8    22.5    23.5    23.0    23.0    23.1    23.1    22.3    21.4    22.5    23.2    22.8    21.8    22.6
 1930    22.3    21.7    22.6    23.2    23.2    23.7    23.4    23.4    24.0    23.6    22.9    22.5    23.0    23.5    23.5    22.8    23.1
 1931    22.9    22.9    23.6    23.9    24.0    24.7    23.2    23.7    22.9    23.3    22.7    22.3    23.8    23.9    23.0    22.1    23.4
 1932    22.1    21.9    22.5    23.1    22.6    23.3    22.7    23.4    23.3    23.3    22.6    22.8    22.8    23.1    23.1    22.9    22.8
 1933    22.7    23.0    23.4    23.3    23.6    23.4    23.8    23.1    23.5    22.9    22.1    21.5    23.5    23.5    22.9    21.8    23.1
 1934    22.3    21.4    22.5    23.1    22.9    23.5    22.9    22.7    22.6    23.1    22.9    21.8    22.9    23.1    22.9    22.1    22.7
 1935    21.8    22.8    23.4    23.0    23.2    23.1    22.9    24.1    22.9    23.5    22.8    22.0    23.2    23.4    23.1    22.4    23.0
 1936    22.3    22.8    23.0    23.6    23.1    23.7    22.7    22.6    23.5    23.5    22.8    23.5    23.3    23.0    23.3    23.3    23.1
 1937    23.2    23.2    23.1    23.9    22.7    24.5    23.6    23.8    22.8    22.6    23.0    23.4    23.3    24.0    22.8    23.2    23.3
 1938    23.3    22.9    23.9    22.4    22.6    22.3    22.7    23.8    23.2    23.1    22.9    23.0    23.0    22.9    23.1    22.8    23.0
 1939    22.9    22.5    23.1    23.4    22.2    23.5    23.3    23.4    23.9    23.7    23.1    22.5    22.9    23.4    23.6    22.6    23.2
 1940    22.9    22.3    23.3    23.6    23.7    23.6    23.6    23.2    23.5    23.6    23.2    23.1    23.6    23.5    23.4    23.3    23.3
 1941    23.5    23.3    23.9    24.4    24.4    23.7    23.6    23.9    23.5    23.6    22.7    22.8    24.3    23.8    23.3    22.7    23.6
 1942    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.7    23.0
 1943    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.7    23.0
 1944    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.7    23.0
 1945    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    22.7    23.0
 1946    22.7    22.7    22.9    23.3    23.4    23.2    22.9    23.0    23.0    22.9    22.7    22.8    23.2    23.0    22.9    23.2    23.0
 1947    23.7    23.0    23.3    23.9    23.5    24.1    24.2    24.1    24.1    23.4    22.6    23.0    23.6    24.1    23.4    22.4    23.6
 1948    22.3    22.0    21.6    23.0    22.9    23.0    22.7    22.4    22.1    22.5    21.4    22.3    22.5    22.7    22.0    22.1    22.4
 1949    21.8    22.2    22.1    22.5    22.7    22.8    22.6    22.6    22.6    22.4    21.5    21.8    22.5    22.7    22.2    22.7    22.3
 1950    23.3    22.8    23.3    23.6    23.6    23.7    23.5    23.2    23.2    23.0    22.9    22.8    23.5    23.5    23.0    23.1    23.3
 1951    23.3    23.1    22.9    23.7    23.8    23.6    23.1    23.4    23.4    23.3    23.5    23.4    23.5    23.4    23.4    23.5    23.4
 1952    23.5    23.5    23.0    23.9    23.8    23.6    23.5    23.4    23.1    23.3    22.9    23.1    23.6    23.5    23.1    23.2    23.4
 1953    23.2    23.1    23.5    23.8    23.5    23.7    22.9    23.0    23.1    23.2    23.1    23.2    23.6    23.2    23.1    23.2    23.3
 1954    23.2    23.0    23.2    23.6    23.6    23.2    22.9    23.2    23.0    22.8    22.9    23.1    23.5    23.1    22.9    23.1    23.1
 1955    23.3    22.9    22.3    23.4    23.6    23.0    22.9    23.0    23.1    23.2    22.9    22.9    23.1    23.0    23.1    22.9    23.1
 1956    22.7    23.0    22.9    23.4    23.4    22.9    22.7    22.9    22.9    22.8    22.8    22.8    23.3    22.9    22.8    22.7    23.0
 1957    22.6    22.6    23.3    23.4    23.8    23.5    23.4    23.4    23.3    23.3    23.2    23.7    23.5    23.5    23.3    23.5    23.3
 1958    23.6    23.3    23.5    23.5    23.9    23.6    23.5    23.3    23.4    23.5    23.1    23.3    23.6    23.5    23.3    23.2    23.5
 1959    23.2    23.0    23.1    23.6    23.7    23.4    23.2    23.0    23.0    23.2    23.0    23.2    23.5    23.2    23.1    23.2    23.2
 1960    23.3    23.0    22.9    23.6    23.7    23.4    23.3    23.8    23.2    23.2    23.0    23.1    23.4    23.5    23.1    22.8    23.3
 1961    22.4    22.9    23.2    23.4    23.8    23.1    22.8    23.0    22.6    22.5    22.8    22.8    23.5    23.0    22.7    22.8    23.0
 1962    22.8    22.7    22.8    23.4    23.6    22.8    23.2    22.5    23.0    23.2    22.7    22.8    23.3    22.8    23.0    22.6    23.0
 1963    22.5    22.5    22.8    23.0    23.8    23.4    23.1    22.9    23.3    22.9    23.0    22.9    23.2    23.2    23.1    23.1    23.0
 1964    23.3    23.1    23.1    23.7    23.6    22.9    22.8    22.6    22.7    22.3    22.3    22.0    23.5    22.8    22.5    21.9    22.9
 1965    21.5    22.2    22.6    23.0    23.0    22.9    22.7    22.5    22.7    22.9    23.1    22.9    22.9    22.7    22.9    22.9    22.7
 1966    22.9    22.7    23.0    23.6    23.5    23.0    22.9    22.9    23.0    22.7    22.7    22.6    23.4    22.9    22.8    22.4    23.0
 1967    22.4    22.3    22.6    22.7    23.1    23.0    22.7    22.9    22.7    22.4    22.5    22.5    22.8    22.9    22.5    22.1    22.7
 1968    22.2    21.7    22.7    22.7    22.8    22.9    22.5    22.8    22.7    22.5    22.3    22.8    22.8    22.7    22.5    22.7    22.6
 1969    22.7    22.4    22.8    23.5    23.7    23.3    22.8    22.5    23.0    22.8    22.5    22.7    23.3    22.9    22.8    22.7    22.9
 1970    22.8    22.4    22.9    23.3    23.3    23.2    22.8    22.7    22.7    22.8    22.5    22.5    23.2    22.9    22.7    22.6    22.9
 1971    22.6    22.6    22.7    23.0    23.3    23.1    22.9    22.6    22.9    22.8    22.3    22.7    23.0    22.9    22.7    22.5    22.8
 1972    22.3    22.5    22.5    23.0    23.4    23.1    23.4    22.9    23.3    23.3    23.2    23.4    23.0    23.1    23.3    23.3    23.1
 1973    23.2    23.2    23.7    24.1    23.6    23.7    23.3    23.2    23.0    23.4    22.9    22.7    23.8    23.4    23.1    22.6    23.4
 1974    22.4    22.6    22.6    23.2    23.4    23.0    22.9    23.2    23.0    22.8    22.9    22.7    23.1    23.1    22.9    22.6    22.9
 1975    22.6    22.5    22.7    23.6    23.2    23.1    22.7    23.1    22.7    22.7    22.6    22.9    23.2    23.0    22.7    22.3    22.9
 1976    22.2    21.9    22.4    22.6    22.9    22.4    22.6    22.6    22.8    22.8    22.7    22.7    22.6    22.6    22.8    22.7    22.6
 1977    22.7    22.5    22.8    23.4    23.1    22.9    23.0    22.9    23.3    22.9    22.6    22.8    23.1    22.9    23.0    22.7    22.9
 1978    22.6    22.6    23.1    23.0    23.6    22.9    22.8    23.1    22.6    22.9    22.5    22.9    23.3    23.0    22.7    22.8    22.9
 1979    22.6    22.9    22.8    23.4    23.6    23.1    23.0    23.2    22.9    22.9    22.7    22.5    23.3    23.1    22.9    22.6    23.0
 1980    22.9    22.2    22.4    23.1    23.7    23.0    23.0    22.6    23.0    23.1    22.5    22.5    23.1    22.9    22.9    22.6    22.9
 1981    22.5    22.6    23.0    23.5    23.6    23.2    22.9    23.3    23.3    23.0    22.7    22.8    23.4    23.1    23.0    22.9    23.1
 1982    23.0    22.8    22.9    23.4    23.4    23.2    23.0    22.9    23.1    22.6    23.0    23.4    23.3    23.0    22.9    23.4    23.1
 1983    23.2    23.5    23.7    24.2    24.0    23.7    23.4    23.6    23.4    23.3    22.8    22.8    24.0    23.6    23.2    22.8    23.5
 1984    22.8    22.8    22.9    23.2    23.0    23.1    22.8    23.2    22.6    22.7    22.6    22.7    23.1    23.0    22.6    22.8    22.9
 1985    22.5    23.2    23.0    23.2    23.4    23.2    22.4    22.9    22.7    22.8    22.9    22.9    23.2    22.8    22.8    22.8    22.9
 1986    23.1    22.5    22.8    23.2    23.5    23.1    22.9    23.1    23.2    23.1    22.9    22.9    23.2    23.1    23.1    22.8    23.0
 1987    22.9    22.6    23.4    24.0    23.7    23.9    23.3    23.5    23.6    23.5    23.4    23.4    23.7    23.6    23.5    23.5    23.4
 1988    23.6    23.3    23.8    23.9    23.7    23.3    23.2    23.2    23.3    23.1    22.7    22.3    23.8    23.3    23.0    22.7    23.3
 1989    23.1    22.6    22.5    22.9    23.2    23.0    23.2    23.1    23.0    23.1    22.9    22.9    22.9    23.1    23.0    22.9    23.0
 1990    22.8    23.1    23.0    23.8    23.8    23.4    22.8    23.3    23.1    23.3    22.9    23.0    23.5    23.2    23.1    23.3    23.2
 1991    23.6    23.3    23.5    23.7    24.0    24.3    23.6    23.2    23.4    22.9    22.8    23.2    23.8    23.7    23.1    22.9    23.5
 1992    22.8    22.8    23.3    23.9    23.6    23.3    23.0    23.4    23.1    23.0    22.7    22.9    23.6    23.3    22.9    22.8    23.2
 1993    22.6    22.9    22.9    23.4    23.6    23.6    23.1    23.4    23.1    23.0    23.2    23.2    23.3    23.4    23.1    23.3    23.2
 1994    23.5    23.1    23.0    23.3    23.5    23.1    23.3    23.0    23.6    22.9    23.2    23.2    23.3    23.2    23.2    23.2    23.2
 1995    23.4    23.1    23.2    23.8    23.7    23.7    23.1    23.5    23.5    23.3    23.0    23.0    23.6    23.5    23.3    22.9    23.4
 1996    22.8    22.9    23.4    23.5    23.6    23.3    23.7    23.3    23.5    23.2    22.8    22.8    23.5    23.5    23.2    22.7    23.3
 1997    22.6    22.7    23.3    23.7    23.7    23.7    23.6    24.2    23.9    23.4    23.1    23.7    23.6    23.8    23.5    23.9    23.5
 1998    24.0    24.0    23.8    24.7    24.9    24.0    23.7    23.8    23.8    23.8    23.4    23.5    24.5    23.9    23.7    23.5    24.0
 1999    23.6    23.3    23.4    23.7    23.3    23.5    23.3    23.5    23.4    23.1    23.0    23.4    23.5    23.5    23.2    23.2    23.4
 2000    23.2    23.0    23.2    23.4    23.8    23.2    23.7    23.2    23.2    23.5    23.3    23.6    23.5    23.4    23.3    23.4    23.4
 2001    23.2    23.3    23.2    23.7    23.9    23.3    23.5    23.9    23.3    23.3    23.3    23.0    23.6    23.6    23.3    23.1    23.4
 2002    23.2    22.9    23.2    23.7    24.0    23.4    23.9    23.3    23.3    23.2    23.3    23.7    23.6    23.6    23.3    23.5    23.4
 2003    23.3    23.4    23.3    23.7    23.9    23.6    23.3    23.6    23.4    23.2    23.0    23.2    23.7    23.5    23.2    23.2    23.4
 2004    23.4    23.0    23.3    23.8    23.6    23.4    23.0    23.7    22.9    23.1    23.2    23.1    23.6    23.4    23.1    23.1    23.3
 2005    22.7    23.3    23.3    23.7    23.7    23.4    23.2    23.6    23.5    23.2    23.0    23.0    23.6    23.4    23.2    23.2    23.3
 2006    23.3    23.3    23.2    23.0    23.3    23.1    23.8    23.3    23.3    23.2    23.2    23.6    23.2    23.4    23.3    23.3    23.3
 2007    23.4    23.0    23.2    23.7    23.8    23.5    23.2    23.2    23.4    23.4    22.8    23.1    23.6    23.3    23.2    23.0    23.3
 2008    23.0    22.8    22.6    23.1    23.2    22.9    22.9    23.1    23.3    23.0    23.1    23.3    23.0    23.0    23.1    23.2    23.0
 2009    23.1    23.2    22.8    23.9    23.4    23.5    23.3    23.6    23.9    23.3    23.2    23.3    23.4    23.5    23.5    23.5    23.4
 2010    23.3    23.7    23.9    24.0    24.1    23.4    22.6    23.4    23.3    23.2    22.9    22.8    24.0    23.2    23.2    22.8    23.4
 2011    22.8    22.7    22.6    23.2    23.4    23.5    23.5    23.6    23.5    23.3    23.3    23.5    23.1    23.5    23.4    23.2    23.3
 2012    23.2    23.0    23.1    23.1    23.4    23.2    23.1    23.4    23.4    23.4    23.3    23.8    23.2    23.3    23.4    23.5    23.3
 2013    23.5    23.3    23.8    23.7    23.7    23.9    23.1    23.4    23.3    22.8    23.1    23.3    23.8    23.5    23.1    22.7    23.4
 2014    22.2    22.5    23.1    23.7    23.5    24.1    23.4    23.0    23.6    23.1    23.4    23.3    23.4    23.5    23.4    23.1    23.3
 2015    22.9    23.1    23.2    23.9    24.0    24.3    23.7    23.7    23.7    23.8    23.7    23.8    23.7    23.9    23.7    24.2    23.7
 2016    24.2    24.4    24.5    24.7    24.5    23.7    23.5    23.9    23.5    23.6    23.7    23.6    24.6    23.7    23.6  -999.0    24.0
