Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Comoros              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.1    23.0    23.6    22.4    21.3    20.5    19.0    18.7    19.7    21.6    23.8    23.4    22.4    19.4    21.7    23.6    21.7
 1902    24.1    23.4    23.3    23.2    22.0    20.1    19.8    19.3    21.5    22.2    23.6    23.3    22.9    19.7    22.4    23.3    22.2
 1903    23.7    23.1    23.5    22.7    22.1    20.8    19.3    19.6    19.6    21.4    23.5    23.2    22.8    19.9    21.5    23.2    21.9
 1904    23.1    23.2    23.0    22.9    22.8    19.5    18.6    19.4    19.5    22.1    23.3    23.4    22.9    19.1    21.6    23.6    21.7
 1905    23.9    23.6    23.0    22.0    22.0    20.8    19.1    19.7    19.6    22.5    23.6    23.4    22.3    19.9    21.9    23.6    21.9
 1906    24.0    23.5    23.1    22.7    21.6    19.9    19.1    18.9    19.9    21.7    23.1    23.0    22.5    19.3    21.6    23.2    21.7
 1907    23.3    23.2    23.1    22.4    21.6    19.9    18.5    19.2    20.2    22.8    23.6    23.4    22.4    19.2    22.2    23.4    21.8
 1908    24.1    22.8    23.5    23.0    21.7    20.5    19.2    19.8    20.8    22.8    23.7    23.5    22.7    19.8    22.4    23.4    22.1
 1909    23.4    23.4    23.3    23.3    21.2    19.4    19.6    19.1    20.8    21.6    23.4    23.7    22.6    19.4    22.0    23.4    21.9
 1910    23.1    23.3    23.4    23.7    21.9    19.4    18.7    19.3    20.2    22.0    22.5    23.0    23.0    19.1    21.6    23.2    21.7
 1911    23.6    23.0    23.1    21.8    21.7    20.1    19.8    19.1    21.3    21.9    23.0    24.1    22.2    19.7    22.1    23.7    21.9
 1912    24.1    23.0    23.6    22.9    22.3    20.5    19.3    19.8    21.2    22.4    24.1    23.0    23.0    19.9    22.6    23.2    22.2
 1913    23.3    23.2    24.4    22.4    23.4    20.3    19.0    21.0    21.6    24.1    23.9    23.3    23.4    20.1    23.2    23.7    22.5
 1914    23.5    24.2    23.8    23.7    22.6    21.3    19.3    20.6    21.8    23.1    23.3    24.8    23.4    20.4    22.7    24.3    22.7
 1915    24.2    23.9    23.9    24.2    22.8    20.5    20.3    19.4    20.8    24.2    24.2    23.8    23.6    20.1    23.1    23.7    22.7
 1916    24.1    23.3    24.0    23.6    22.1    20.4    18.1    20.3    21.0    23.0    22.8    22.3    23.2    19.6    22.3    22.6    22.1
 1917    23.2    22.2    23.0    23.0    23.2    21.0    20.2    20.1    20.6    21.0    23.5    22.5    23.1    20.4    21.7    23.2    22.0
 1918    24.2    23.0    23.4    22.6    22.0    20.9    19.1    19.6    21.1    23.5    24.0    24.0    22.7    19.9    22.9    24.0    22.3
 1919    24.1    23.8    24.0    22.4    21.1    20.4    18.5    21.3    22.6    23.0    25.0    24.4    22.5    20.1    23.5    23.8    22.6
 1920    23.8    23.3    23.5    22.3    22.5    19.4    18.3    20.3    22.6    24.2    23.6    23.1    22.8    19.3    23.5    23.3    22.2
 1921    23.5    23.3    23.0    22.4    22.1    20.3    19.4    20.1    21.4    23.7    23.8    23.0    22.5    19.9    23.0    23.1    22.2
 1922    23.0    23.2    23.6    21.5    21.9    19.8    18.4    20.0    20.4    22.5    24.1    24.2    22.3    19.4    22.3    24.2    21.9
 1923    24.5    23.8    24.3    23.9    23.1    20.6    20.3    19.5    22.0    23.4    24.8    24.0    23.8    20.1    23.4    23.9    22.9
 1924    24.1    23.5    24.5    23.0    22.9    20.7    20.1    20.6    21.6    22.8    23.9    23.4    23.5    20.5    22.8    23.5    22.6
 1925    23.7    23.5    23.4    23.8    21.7    22.0    20.7    19.8    20.0    23.6    23.9    24.0    23.0    20.8    22.5    24.3    22.5
 1926    24.3    24.5    24.7    24.0    22.6    21.4    19.9    20.2    21.6    23.2    24.7    24.0    23.8    20.5    23.2    23.8    22.9
 1927    23.7    23.8    23.2    23.2    22.0    20.3    19.1    20.0    20.9    22.9    23.9    24.3    22.8    19.8    22.6    24.1    22.3
 1928    24.0    23.9    24.1    23.9    22.6    20.6    19.3    19.9    21.2    23.2    24.3    23.7    23.5    20.0    22.9    23.5    22.6
 1929    24.2    22.7    24.2    23.4    22.2    21.2    20.3    19.9    21.5    24.2    24.8    23.5    23.3    20.5    23.5    23.3    22.7
 1930    23.0    23.6    23.6    23.2    21.1    19.8    19.2    19.3    22.8    22.1    24.2    24.2    22.7    19.4    23.0    23.6    22.2
 1931    23.4    23.3    23.7    23.2    23.3    20.3    19.9    20.7    20.8    23.1    23.2    23.6    23.4    20.3    22.4    23.6    22.4
 1932    23.9    23.5    23.6    22.6    21.1    20.3    19.4    19.6    20.7    22.2    23.8    23.5    22.5    19.8    22.3    23.4    22.0
 1933    23.6    23.1    23.1    22.8    21.8    20.4    19.5    19.6    19.5    22.6    24.3    23.3    22.6    19.9    22.1    23.3    22.0
 1934    23.5    23.2    23.7    23.3    22.4    19.6    19.5    19.1    19.8    22.1    23.3    22.8    23.1    19.4    21.8    23.0    21.9
 1935    23.4    22.8    23.6    22.3    22.5    20.0    18.3    19.3    21.3    22.9    22.9    23.1    22.8    19.2    22.4    23.6    21.9
 1936    23.4    24.3    23.9    23.0    22.4    20.0    19.3    19.2    20.4    23.3    23.9    23.2    23.1    19.5    22.5    23.4    22.2
 1937    23.4    23.7    23.3    23.1    21.9    20.7    19.2    19.4    21.6    22.2    24.7    23.7    22.8    19.8    22.8    23.7    22.3
 1938    23.8    23.5    23.7    23.6    22.4    20.2    19.9    20.0    20.9    22.8    23.0    24.0    23.3    20.0    22.2    23.9    22.3
 1939    23.6    24.1    23.2    22.9    22.3    20.1    19.4    19.5    20.5    22.6    23.5    23.0    22.8    19.7    22.2    23.0    22.1
 1940    22.9    23.0    23.7    23.1    21.6    20.4    18.6    19.1    20.8    20.5    23.3    24.5    22.8    19.4    21.6    23.7    21.8
 1941    22.6    23.9    23.7    23.6    22.3    20.4    19.2    19.7    20.8    22.2    23.2    23.8    23.2    19.8    22.1    24.0    22.1
 1942    23.7    24.3    24.3    23.5    22.1    20.3    18.9    19.5    20.1    21.2    23.0    23.6    23.3    19.6    21.4    23.3    22.1
 1943    23.2    23.1    23.2    23.5    22.1    19.7    18.5    19.3    19.1    20.9    22.4    22.9    22.9    19.2    20.8    23.3    21.5
 1944    23.1    23.7    23.4    22.9    22.1    20.7    19.0    19.4    20.5    22.0    24.1    23.9    22.8    19.7    22.2    23.6    22.1
 1945    23.5    23.3    23.9    23.6    22.1    19.4    19.3    19.4    20.0    22.6    23.4    23.2    23.2    19.4    22.0    23.3    22.0
 1946    23.0    23.7    23.0    23.3    22.1    20.1    19.3    19.5    19.6    22.1    23.1    23.0    22.8    19.7    21.6    23.3    21.8
 1947    23.3    23.6    23.2    23.2    22.0    20.4    20.0    19.6    20.1    21.7    23.0    23.7    22.8    20.0    21.6    23.6    22.0
 1948    23.5    23.6    23.5    23.6    22.7    20.7    19.6    19.8    20.4    22.3    23.3    23.3    23.3    20.1    22.0    23.2    22.2
 1949    23.3    23.2    23.5    22.9    22.0    20.3    19.6    19.9    20.5    22.0    23.2    23.7    22.8    20.0    21.9    23.3    22.0
