Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Denmark              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -4.8    -6.4    -1.9     2.5     7.0    10.1    14.4    12.8     9.7     7.2     0.0    -2.4     2.5    12.4     5.6    -2.7     4.0
 1902    -0.2    -5.5    -1.3     0.7     4.1     9.3    10.0     9.5     7.1     3.9    -0.2    -3.8     1.2     9.6     3.6    -2.4     2.8
 1903    -3.2    -0.0     1.7     1.4     7.0    10.2    11.7    10.9     8.7     5.1     1.2    -2.1     3.4    11.0     5.0    -2.5     4.4
 1904    -2.0    -3.4    -1.8     2.8     5.7     9.4    11.6    11.5     8.7     5.3     1.6    -0.5     2.2    10.8     5.2    -1.8     4.1
 1905    -3.1    -1.7    -0.1     1.1     6.2    11.4    13.0    11.3     8.9     2.2     0.7    -0.6     2.4    11.9     3.9    -1.4     4.1
 1906    -1.8    -1.8    -1.1     2.3     7.2    10.9    12.3    12.0     9.5     6.2     4.3    -3.5     2.8    11.7     6.6    -3.4     4.7
 1907    -3.3    -3.6    -1.1     1.6     5.4     9.1    10.9    10.4     8.6     8.2     1.3    -2.2     2.0    10.1     6.0    -1.9     3.8
 1908    -2.5    -0.9    -1.8     1.4     6.2    10.6    13.2    11.7     9.0     5.7    -0.4    -1.6     1.9    11.8     4.8    -3.1     4.2
 1909    -2.6    -5.2    -3.3     0.7     4.0     9.2    11.5    11.4     9.1     8.0    -0.8    -1.5     0.4    10.7     5.4    -1.4     3.4
 1910    -1.9    -0.8     0.3     3.0     7.4    11.6    12.9    12.7     9.7     6.0    -0.1    -0.1     3.6    12.4     5.2    -1.1     5.1
 1911    -1.5    -1.8    -0.5     2.1     8.4    10.1    12.4    13.2    10.0     4.5     2.6     0.4     3.3    11.9     5.7    -3.3     5.0
 1912    -5.9    -4.4     0.9     1.7     6.0    10.4    13.8    11.6     7.0     4.2     0.9     1.5     2.9    11.9     4.1    -0.8     4.0
 1913    -2.8    -1.2     0.8     2.6     6.8    10.1    12.3    11.3     9.2     5.4     4.3    -0.4     3.4    11.2     6.3    -1.2     4.9
 1914    -3.7     0.5    -0.0     3.9     6.1    11.4    15.3    13.1     9.7     5.7     1.3     0.8     3.3    13.2     5.6    -1.7     5.3
 1915    -3.7    -2.2    -2.7     2.1     5.0     9.5    11.7    11.9     8.3     3.7    -0.5    -4.2     1.5    11.0     3.8    -2.2     3.3
 1916    -0.0    -2.3    -1.9     2.6     6.6     8.7    12.4    11.6     7.9     4.7     3.3    -0.7     2.4    10.9     5.3    -3.9     4.4
 1917    -5.8    -5.3    -4.5     0.2     5.3    11.9    12.8    13.6    10.3     4.9     2.7    -2.8     0.3    12.8     6.0    -3.2     3.6
 1918    -4.4    -2.3    -1.5     3.1     7.1     8.9    12.0    12.3     8.6     6.8     2.1    -0.5     2.9    11.1     5.8    -2.2     4.4
 1919    -1.6    -4.6    -2.3     2.3     6.8     9.9    12.1    10.3     9.4     3.8    -2.4    -3.6     2.3    10.8     3.6    -2.4     3.3
 1920    -3.0    -0.7     1.3     4.2     7.4    10.3    13.0    11.6     9.5     2.9     1.5    -1.5     4.3    11.6     4.6    -1.2     4.7
 1921    -0.6    -1.4     1.6     4.0     7.9     9.6    12.1    11.3     8.2     6.1    -1.4    -0.8     4.5    11.0     4.3    -3.8     4.7
 1922    -5.0    -5.7    -1.4     0.8     6.2     9.2    11.8    10.8     8.2     2.2     0.6     0.3     1.9    10.6     3.7    -1.3     3.2
 1923    -0.3    -3.9    -1.0     0.7     5.3     7.8    12.7    11.0     9.1     6.9     0.1    -4.5     1.7    10.5     5.3    -5.3     3.6
