Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Guyana               : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    21.5    21.4    21.6    22.4    22.4    22.6    22.5    22.0    21.3    21.3    21.7    21.3    22.1    22.4    21.4    21.1    21.8
 1902    21.1    21.0    21.0    22.0    22.7    22.7    22.1    22.1    21.4    21.1    22.0    21.8    21.9    22.3    21.5    21.5    21.8
 1903    21.5    21.2    21.4    21.9    21.7    22.3    22.4    21.8    21.2    22.4    21.7    21.5    21.6    22.2    21.8    20.9    21.7
 1904    20.9    20.5    20.5    21.4    22.0    21.4    22.0    21.5    21.9    21.2    21.6    21.5    21.3    21.7    21.5    21.3    21.4
 1905    22.0    20.6    21.2    21.9    21.9    21.9    21.9    22.1    21.9    21.5    22.0    20.7    21.6    22.0    21.8    21.0    21.6
 1906    21.1    21.1    21.3    21.4    22.1    21.6    21.6    21.8    21.4    21.8    22.2    21.4    21.6    21.7    21.8    20.9    21.6
 1907    20.7    20.7    20.5    21.1    21.4    21.6    21.6    21.8    21.6    21.9    21.8    21.4    21.0    21.7    21.8    21.1    21.3
 1908    20.9    20.9    20.8    21.6    21.8    21.9    21.4    21.6    21.7    21.6    21.5    22.4    21.4    21.6    21.6    21.3    21.5
 1909    21.0    20.5    21.2    21.7    21.8    21.7    21.5    21.6    21.4    21.6    22.4    21.3    21.6    21.6    21.8    21.0    21.5
 1910    20.9    20.9    21.0    21.4    22.1    22.0    21.8    22.0    21.3    20.9    22.0    22.1    21.5    21.9    21.4    21.1    21.5
 1911    20.7    20.6    21.3    21.5    21.8    21.7    21.2    21.6    21.7    21.5    21.9    21.5    21.6    21.5    21.7    21.6    21.4
 1912    21.7    21.7    21.7    22.3    22.1    21.9    21.6    21.7    21.4    21.9    21.9    21.6    22.0    21.7    21.7    21.2    21.8
 1913    20.6    21.5    20.9    21.9    22.2    21.9    21.0    21.0    21.2    20.8    21.1    20.8    21.7    21.3    21.0    21.3    21.2
 1914    21.5    21.7    21.9    21.5    21.3    21.7    21.3    20.7    20.7    20.7    20.8    21.0    21.5    21.2    20.7    21.0    21.2
 1915    21.3    20.9    21.7    22.0    22.1    21.5    21.4    21.9    21.5    21.8    21.6    21.3    21.9    21.6    21.6    20.9    21.6
 1916    20.8    20.6    21.3    22.0    21.7    21.4    21.1    20.7    20.9    20.9    21.0    20.7    21.7    21.1    20.9    20.4    21.1
 1917    20.2    20.2    20.6    20.9    21.7    21.5    21.3    20.8    20.7    20.8    21.3    21.1    21.1    21.2    20.9    20.6    20.9
 1918    20.4    20.3    20.6    20.8    21.1    21.9    21.8    21.3    21.4    21.6    21.8    21.0    20.8    21.7    21.6    21.0    21.2
 1919    20.9    21.2    21.1    21.4    21.5    22.1    21.7    21.3    21.3    21.3    21.0    21.2    21.4    21.7    21.2    20.8    21.3
 1920    20.8    20.4    20.8    21.6    21.6    21.5    21.2    21.3    20.9    21.4    21.6    21.1    21.4    21.3    21.3    20.9    21.2
