Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Hungary              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901   -10.5    -8.1     0.1     4.1     8.8    13.2    14.5    13.3     9.0     6.0    -1.1    -0.4     4.3    13.7     4.6    -1.6     4.1
 1902    -1.9    -2.5    -1.0     3.2     5.9    11.2    12.3    13.2     8.7     4.8    -3.3    -8.0     2.7    12.2     3.4    -5.6     3.6
 1903    -7.0    -1.7     1.4     2.2     8.2    11.1    13.1    12.4     9.3     4.9     2.0    -2.0     3.9    12.2     5.4    -3.3     4.5
 1904    -6.4    -1.4    -0.2     4.5     8.1    12.2    14.7    13.5     8.8     5.5    -1.1    -3.0     4.1    13.5     4.4    -5.4     4.6
 1905    -9.6    -3.6     0.8     3.0     8.8    12.8    14.8    14.3    11.2     1.8     2.0    -2.6     4.2    14.0     5.0    -3.9     4.5
 1906    -5.7    -3.3    -0.2     4.8     9.9    12.0    14.1    12.4     8.6     4.3     3.1    -5.1     4.9    12.8     5.3    -6.2     4.6
 1907    -7.1    -6.4    -3.1     2.3    10.7    12.6    12.9    13.0     8.9     8.7    -0.5    -2.1     3.3    12.8     5.7    -4.0     4.2
 1908    -7.5    -2.4    -0.9     3.4    11.8    14.2    13.7    12.2     8.1     3.3    -4.0    -4.6     4.8    13.4     2.5    -6.7     3.9
 1909    -7.8    -7.7    -0.6     4.6     8.4    12.3    13.4    14.5    11.0     7.4     0.3    -0.5     4.2    13.4     6.2    -1.3     4.6
 1910    -3.3    -0.0     0.6     4.4     9.5    13.4    13.3    13.4     9.3     5.0     0.3     0.3     4.8    13.4     4.9    -3.4     5.5
 1911    -4.9    -5.8     0.5     4.1     9.8    11.9    14.8    14.5    10.0     5.0     3.2    -0.7     4.8    13.7     6.1    -3.4     5.2
 1912    -7.9    -1.5     2.9     2.7     8.9    13.4    14.0    12.2     6.8     2.9    -1.0    -1.8     4.8    13.2     2.9    -4.3     4.3
 1913    -6.0    -5.1     2.0     4.7     8.6    12.3    11.8    11.8     9.9     5.2     2.7    -1.6     5.1    11.9     5.9    -5.5     4.7
