Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Nigeria              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    16.3    19.1    21.1    23.5    22.6    22.1    21.7    20.9    21.0    21.1    18.8    16.6    22.4    21.6    20.3    17.4    20.4
 1902    16.7    18.8    21.9    23.7    23.7    22.2    21.7    21.8    21.5    20.7    18.8    17.0    23.1    21.9    20.4    17.9    20.7
 1903    17.2    19.5    22.3    23.7    23.5    22.2    21.8    21.6    21.7    21.1    18.8    17.1    23.2    21.9    20.5    18.7    20.9
 1904    19.0    19.9    21.2    23.9    23.8    22.7    21.7    21.4    21.3    20.9    18.9    18.1    23.0    21.9    20.4    17.0    21.1
 1905    15.0    17.9    20.5    24.0    23.7    22.0    21.8    21.3    21.4    18.9    20.0    17.2    22.7    21.7    20.1    17.3    20.3
 1906    15.6    19.3    21.1    25.7    23.4    23.0    21.5    21.2    22.3    21.1    18.5    18.6    23.4    21.9    20.6    18.2    20.9
 1907    18.0    18.0    21.9    23.5    24.1    22.5    22.7    22.0    21.9    23.4    19.0    16.9    23.2    22.4    21.4    16.5    21.2
 1908    14.9    17.8    21.1    24.3    25.1    22.4    22.2    20.8    21.4    19.5    16.9    14.5    23.5    21.8    19.2    16.8    20.1
 1909    16.1    19.8    23.7    23.5    23.1    21.8    21.3    20.6    22.0    19.8    19.0    16.3    23.4    21.2    20.3    17.9    20.6
 1910    16.5    20.8    21.7    23.1    24.0    24.1    22.5    21.8    22.0    20.7    18.6    18.0    22.9    22.8    20.5    18.7    21.2
 1911    17.8    20.2    23.2    24.2    24.0    23.0    22.2    21.9    21.7    21.5    19.8    17.8    23.8    22.4    21.0    18.7    21.4
 1912    18.0    20.4    23.0    25.1    23.8    23.0    22.2    21.8    22.0    21.3    18.7    18.5    24.0    22.3    20.7    18.9    21.5
 1913    17.8    20.4    20.4    22.2    23.5    22.7    22.1    22.0    22.3    20.6    18.1    17.2    22.0    22.2    20.3    18.5    20.8
 1914    18.8    19.6    21.3    23.4    24.1    23.1    22.5    21.4    22.0    21.6    21.1    18.2    22.9    22.3    21.6    18.0    21.4
 1915    16.4    19.5    21.5    23.1    23.0    22.0    21.7    20.9    20.8    20.3    18.9    17.7    22.6    21.5    20.0    17.6    20.5
 1916    16.4    18.7    21.3    23.2    22.7    22.3    21.4    20.9    20.8    19.9    17.9    17.0    22.4    21.5    19.5    17.8    20.2
 1917    16.6    19.9    21.5    22.0    22.4    21.5    21.4    21.0    20.6    19.4    18.2    17.0    22.0    21.3    19.4    17.5    20.1
 1918    16.8    18.7    21.8    23.4    22.7    22.1    21.8    21.1    20.9    21.2    18.9    18.3    22.6    21.7    20.3    18.7    20.6
 1919    18.0    19.8    22.4    23.7    24.0    21.8    21.4    20.8    21.4    20.8    18.8    17.3    23.4    21.3    20.3    18.0    20.8
