Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Niue                 : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    23.6    22.6    22.8    22.5    21.7    19.9    20.4    19.3    20.7    21.1    22.1    22.5    22.3    19.8    21.3    22.9    21.6
 1902    22.8    23.4    22.6    22.4    21.4    20.3    19.7    19.1    19.5    20.9    22.6    22.9    22.1    19.7    21.0    22.7    21.4
 1903    22.5    22.8    22.3    21.9    20.8    21.0    19.1    19.7    19.1    20.7    21.4    21.9    21.7    19.9    20.4    21.9    21.1
 1904    21.9    22.1    21.5    21.8    20.4    19.9    18.7    19.5    19.6    21.4    22.3    22.4    21.2    19.3    21.1    23.0    20.9
 1905    23.3    23.4    22.6    22.4    20.2    19.7    18.9    18.9    19.3    20.7    21.5    21.7    21.7    19.1    20.5    22.9    21.0
 1906    23.9    23.1    23.6    22.9    21.0    20.3    19.9    19.7    21.0    21.2    21.7    22.5    22.5    19.9    21.3    22.7    21.7
 1907    22.5    23.2    22.4    21.6    20.8    19.9    19.9    18.8    20.4    21.0    20.9    22.3    21.6    19.5    20.7    22.4    21.1
 1908    22.5    22.3    22.2    22.0    20.8    20.2    18.7    20.3    19.3    20.8    20.9    22.0    21.6    19.7    20.3    22.3    21.0
 1909    22.3    22.5    22.6    21.7    20.8    20.9    18.8    20.3    19.8    20.8    21.2    21.5    21.7    20.0    20.6    21.6    21.1
 1910    21.9    21.5    21.3    21.6    20.2    18.9    18.9    19.0    19.2    19.2    21.7    21.1    21.0    18.9    20.0    21.8    20.4
 1911    21.7    22.6    22.0    21.1    19.8    19.5    18.4    19.8    19.9    19.6    21.3    23.2    21.0    19.2    20.2    23.5    20.7
 1912    24.0    23.4    22.5    22.9    21.3    19.6    19.6    19.0    20.4    20.9    21.3    21.7    22.2    19.4    20.8    22.0    21.3
