Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ryukyu_Isl           : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    14.4     9.3    12.4    17.5    19.4    22.6    24.6    23.8    22.1    20.6    16.4    13.5    16.4    23.7    19.7    12.2    18.1
 1902    12.6    10.6    15.0    17.4    20.3    22.4    24.2    24.3    21.7    19.2    18.6    15.2    17.6    23.6    19.9    13.0    18.5
 1903    12.4    11.5    15.8    17.8    19.3    22.0    24.2    24.0    23.3    20.6    16.2    12.9    17.6    23.4    20.0    12.2    18.3
 1904    11.8    11.9    14.0    17.8    19.2    23.0    24.4    23.5    22.2    19.7    15.4    12.9    17.0    23.6    19.1    12.8    18.0
 1905    13.9    11.6    14.0    16.3    20.4    23.3    24.5    24.3    22.8    20.3    17.1    16.0    16.9    24.0    20.1    13.8    18.7
 1906    12.3    13.0    13.2    16.9    20.9    23.7    24.9    24.7    24.2    20.3    17.2    13.9    17.0    24.4    20.6    12.7    18.8
 1907    12.9    11.4    13.9    16.4    18.4    21.9    23.7    24.0    22.9    20.9    18.2    13.8    16.3    23.2    20.7    13.0    18.2
 1908    13.4    11.9    13.6    17.2    18.7    22.8    24.7    23.8    22.9    20.4    16.2    15.2    16.5    23.7    19.8    13.8    18.4
 1909    13.5    12.6    14.2    16.4    18.3    23.6    24.6    24.2    23.6    21.1    17.5    13.6    16.3    24.1    20.8    12.6    18.6
 1910    12.9    11.4    13.9    16.4    20.0    24.0    24.9    24.1    23.2    19.7    16.7    13.7    16.8    24.4    19.8    12.9    18.4
 1911    12.2    13.0    14.8    16.5    19.9    24.0    24.2    24.1    23.4    19.1    17.0    15.0    17.0    24.1    19.8    13.5    18.6
 1912    12.4    13.0    14.8    17.5    19.3    22.2    24.6    24.0    23.1    19.6    16.6    14.8    17.2    23.6    19.8    13.1    18.5
 1913    12.2    12.4    12.8    18.5    19.4    23.6    24.2    24.9    23.1    19.7    17.7    13.6    16.9    24.2    20.2    12.8    18.5
 1914    12.0    12.9    15.6    16.9    20.4    23.4    25.0    24.3    22.8    20.0    17.8    14.8    17.6    24.2    20.2    13.7    18.8
 1915    12.7    13.6    12.7    18.2    18.4    23.8    24.9    24.8    23.0    21.9    19.5    14.7    16.4    24.5    21.5    13.9    19.0
 1916    13.6    13.3    12.4    17.7    20.5    23.8    25.0    24.1    23.7    21.0    18.6    14.8    16.9    24.3    21.1    11.8    19.0
 1917    10.1    10.5    12.7    16.1    17.7    23.4    24.3    24.4    23.6    20.7    15.8    11.9    15.5    24.0    20.0    10.7    17.6
 1918     9.4    10.9    13.4    16.7    18.7    23.3    24.7    23.8    22.1    20.4    17.5    15.7    16.2    23.9    20.0    13.5    18.1
 1919    12.7    12.1    15.5    16.8    19.1    24.3    24.6    24.5    21.9    19.1    17.1    13.6    17.1    24.5    19.3    12.5    18.4
 1920    11.2    12.8    14.4    16.8    18.8    23.3    24.6    24.3    23.4    20.2    18.0    14.9    16.7    24.1    20.5    13.1    18.6
 1921    12.7    11.6    13.6    17.5    19.5    22.8    24.2    24.3    22.4    19.3    16.0    14.1    16.8    23.8    19.2    13.2    18.1
 1922    12.2    13.3    13.8    16.5    20.5    22.6    24.4    24.2    22.8    20.1    16.3    12.9    16.9    23.7    19.7    12.1    18.3
 1923    11.6    11.8    14.1    16.9    19.9    22.7    24.3    24.5    22.8    19.9    17.4    14.1    16.9    23.8    20.0    13.0    18.3
 1924    12.8    12.2    12.6    17.3    20.3    22.0    24.5    23.9    22.1    20.8    15.3    13.3    16.7    23.5    19.4    12.2    18.1
 1925    12.3    10.9    12.7    14.8    19.6    23.0    24.2    24.1    22.5    18.7    17.1    12.8    15.7    23.8    19.4    12.2    17.7
