Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Sri_Lanka            : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    21.7    21.9    22.2    23.4    24.4    24.4    23.8    24.0    23.9    23.5    22.0    21.9    23.4    24.1    23.2    21.2    23.1
 1902    20.8    20.9    22.5    23.9    24.6    25.0    23.7    24.1    23.4    22.6    22.2    22.2    23.6    24.3    22.7    21.9    23.0
 1903    21.7    22.0    22.1    23.9    24.0    24.6    24.0    23.6    23.4    23.2    22.3    21.5    23.3    24.1    23.0    20.8    23.0
 1904    20.3    20.5    21.7    23.8    24.0    23.6    23.2    23.6    23.5    23.0    22.5    21.4    23.1    23.5    23.0    21.1    22.6
 1905    20.6    21.2    22.9    23.1    23.9    24.5    24.7    24.2    23.6    22.9    22.5    22.0    23.3    24.5    23.0    21.8    23.0
 1906    21.4    22.1    22.5    24.4    24.6    24.5    24.1    23.2    23.8    22.8    21.8    21.7    23.8    23.9    22.8    21.2    23.1
 1907    20.8    21.0    22.4    23.1    24.4    24.3    23.8    23.2    23.9    22.8    21.9    21.6    23.3    23.8    22.9    21.1    22.8
 1908    20.9    20.7    22.0    24.1    24.2    24.3    23.7    23.5    23.1    22.8    21.8    21.4    23.4    23.9    22.6    21.1    22.7
 1909    20.7    21.1    22.1    23.6    24.0    24.1    23.3    22.9    23.0    23.0    22.4    21.9    23.2    23.5    22.8    21.4    22.7
 1910    21.2    21.1    22.0    23.4    24.7    24.5    23.8    23.5    23.3    22.9    21.9    21.3    23.4    23.9    22.7    21.1    22.8
 1911    20.9    21.2    22.7    24.1    24.5    24.3    24.0    24.2    24.1    23.0    22.7    22.1    23.8    24.2    23.2    21.5    23.2
 1912    20.5    22.0    23.3    23.9    24.6    24.4    24.3    24.1    23.7    23.0    22.4    21.5    24.0    24.3    23.0    21.1    23.2
 1913    20.4    21.6    22.7    23.7    24.5    24.8    23.8    23.9    23.7    22.9    22.1    21.8    23.6    24.2    22.9    21.5    23.0
 1914    21.2    21.4    22.7    23.8    24.5    24.7    24.1    23.6    23.8    22.8    22.5    22.1    23.7    24.1    23.0    21.7    23.1
