Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = St_Kitts_and_Nevis   : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    19.3    19.5    19.2    20.0    20.9    21.3    21.0    21.7    21.4    20.8    20.1    19.1    20.0    21.3    20.8    18.8    20.4
 1902    18.3    18.9    18.5    18.9    20.1    21.0    21.2    21.6    20.9    20.3    20.1    19.5    19.2    21.3    20.4    19.1    19.9
 1903    19.0    18.8    18.4    19.2    20.8    21.6    21.2    21.2    21.0    20.6    20.0    19.2    19.5    21.3    20.5    18.6    20.1
 1904    18.5    18.1    17.8    18.2    19.7    20.7    20.5    20.5    20.5    20.1    20.5    19.4    18.6    20.6    20.4    18.5    19.5
 1905    18.5    17.5    17.9    19.8    19.9    21.1    20.8    21.3    20.9    20.8    20.8    19.3    19.2    21.1    20.8    18.6    19.9
 1906    18.3    18.3    18.2    19.0    20.1    20.6    20.8    21.3    20.8    20.7    20.5    18.4    19.1    20.9    20.7    17.8    19.8
 1907    18.0    17.1    17.4    17.2    19.0    20.7    21.2    20.9    21.0    20.8    20.7    19.8    17.9    20.9    20.8    18.8    19.5
 1908    18.4    18.2    17.5    18.0    18.3    20.3    21.2    21.3    21.2    20.5    20.8    20.3    17.9    20.9    20.8    19.3    19.7
 1909    18.8    18.8    18.3    18.3    19.9    20.2    20.8    20.7    21.0    20.7    20.8    18.6    18.8    20.6    20.8    18.3    19.7
 1910    18.4    17.9    17.9    17.8    18.9    20.8    21.1    21.7    21.1    21.1    20.4    19.8    18.2    21.2    20.9    18.7    19.7
 1911    18.5    17.8    17.3    16.9    18.7    20.4    20.4    21.2    20.9    20.8    20.4    19.6    17.6    20.7    20.7    18.8    19.4
 1912    18.8    18.1    17.6    18.7    20.0    20.7    21.0    20.9    20.7    20.6    20.3    19.5    18.8    20.9    20.5    18.5    19.7
 1913    18.4    17.5    17.6    18.2    20.1    19.5    20.0    19.7    20.3    19.5    19.8    18.4    18.6    19.7    19.9    18.2    19.1
 1914    18.2    18.0    18.2    18.2    19.0    20.0    19.8    19.8    20.6    20.1    19.9    19.6    18.5    19.9    20.2    19.0    19.3
 1915    19.0    18.3    17.9    19.6    19.5    21.2    21.4    21.7    21.5    21.0    20.8    20.2    19.0    21.4    21.1    19.3    20.2
 1916    19.1    18.5    17.8    17.9    20.1    20.5    20.7    21.0    20.9    20.6    20.0    18.0    18.6    20.7    20.5    17.6    19.6
 1917    17.7    17.2    16.8    17.7    19.1    21.1    21.0    20.8    20.7    20.7    20.6    18.5    17.9    21.0    20.7    17.7    19.3
 1918    16.9    17.8    16.8    17.6    19.4    20.5    20.7    21.0    20.5    20.1    19.4    17.9    17.9    20.7    20.0    17.4    19.0
 1919    17.2    17.0    16.9    19.1    19.7    20.8    20.3    21.0    20.4    20.2    19.0    18.7    18.6    20.7    19.9    18.3    19.2
 1920    18.0    18.1    18.0    17.8    19.0    19.5    19.7    19.9    20.1    19.8    19.5    18.2    18.3    19.7    19.8    18.1    19.0
 1921    18.4    17.8    17.7    17.4    19.5    20.5    20.0    20.6    21.1    20.3    20.0    18.8    18.2    20.4    20.5    18.6    19.3
 1922    18.1    18.8    17.4    17.7    19.0    20.3    20.1    20.2    20.8    20.4    19.9    19.3    18.0    20.2    20.4    18.3    19.3
 1923    17.9    17.7    17.7    18.0    19.8    19.9    20.2    20.8    20.5    20.5    20.0    18.5    18.5    20.3    20.3    18.5    19.3
 1924    18.5    18.4    19.2    19.5    19.9    21.0    21.2    21.6    21.5    20.9    19.9    19.1    19.5    21.3    20.8    18.2    20.1
 1925    18.1    17.3    17.0    17.4    19.8    19.4    20.5    21.3    21.3    20.8    18.9    20.0    18.1    20.4    20.3    18.7    19.3
 1926    19.0    17.2    19.1    18.5    19.7    20.7    21.4    21.3    20.9    21.3    21.4    19.7    19.1    21.1    21.2    18.4    20.0
 1927    18.1    17.3    17.6    17.9    19.6    20.4    21.0    21.0    21.3    20.7    20.9    19.1    18.4    20.8    21.0    18.4    19.6
 1928    18.7    17.3    17.3    18.7    19.5    20.9    20.9    21.4    20.7    20.4    20.5    19.8    18.5    21.1    20.5    19.0    19.7
 1929    18.6    18.6    18.3    18.0    18.8    20.5    20.5    21.1    20.7    20.0    19.5    18.3    18.4    20.7    20.1    17.7    19.4
 1930    17.7    17.2    17.5    18.0    20.0    20.9    20.5    20.9    20.8    20.8    20.4    18.9    18.5    20.8    20.7    18.5    19.5
 1931    18.4    18.2    19.4    20.4    21.8    22.2    22.0    22.2    21.8    21.4    20.9    19.8    20.5    22.1    21.4    18.5    20.7
 1932    18.6    17.2    18.7    20.0    20.8    22.0    21.4    21.8    22.1    21.3    20.9    19.5    19.8    21.7    21.4    18.4    20.4
 1933    18.2    17.5    18.6    18.9    20.8    21.3    21.7    21.7    21.1    21.0    20.7    18.8    19.4    21.6    20.9    18.2    20.0
 1934    17.9    17.9    18.0    18.8    20.2    20.9    21.0    21.2    21.2    20.6    19.3    19.6    19.0    21.0    20.4    18.6    19.7
 1935    17.8    18.5    18.2    18.9    20.0    21.3    21.2    21.4    21.1    20.7    20.3    19.7    19.0    21.3    20.7    19.2    19.9
 1936    18.9    18.9    18.9    19.4    21.2    21.7    21.3    21.8    21.4    20.6    19.7    18.7    19.8    21.6    20.6    18.6    20.2
 1937    18.9    18.1    18.9    19.5    21.2    21.9    21.4    21.9    22.4    21.3    20.7    19.7    19.9    21.7    21.5    18.9    20.5
 1938    18.7    18.3    18.8    18.6    20.4    21.2    20.9    21.8    21.3    21.0    20.4    19.6    19.3    21.3    20.9    18.3    20.1
 1939    18.0    17.3    18.7    18.7    19.7    20.7    20.9    21.3    21.6    21.8    21.1    20.0    19.0    21.0    21.5    19.5    20.0
 1940    18.8    19.6    19.5    20.1    21.8    22.0    21.9    21.9    22.0    21.7    21.0    20.1    20.5    21.9    21.6    19.7    20.9
 1941    19.1    19.8    19.6    20.1    21.5    21.7    21.5    22.0    21.5    20.9    21.1    20.8    20.4    21.7    21.2    19.9    20.8
 1942    19.7    19.3    19.9    20.6    21.1    22.0    21.8    21.9    21.9    21.1    21.6    20.3    20.5    21.9    21.5    19.4    20.9
 1943    19.2    18.8    18.4    19.5    20.1    21.1    21.5    21.7    21.8    21.6    21.1    20.5    19.3    21.4    21.5    19.3    20.4
 1944    18.8    18.6    18.6    19.3    20.4    21.5    21.6    22.0    20.9    21.2    20.8    19.5    19.4    21.7    21.0    18.7    20.3
 1945    18.2    18.5    18.4    18.7    20.3    21.3    21.3    21.6    21.0    21.0    20.2    19.1    19.1    21.4    20.7    18.8    20.0
