Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = United_Arab_Emirates : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    12.4    13.8    17.6    21.4    25.2    26.3    28.6    28.2    26.9    22.7    18.8    16.7    21.4    27.7    22.8    15.2    21.5
 1902    13.9    14.9    18.8    21.3    23.6    26.2    26.9    27.4    25.2    20.9    16.6    13.3    21.3    26.8    20.9    12.4    20.8
 1903    11.4    12.4    15.3    18.5    23.6    26.0    26.9    28.7    25.5    20.4    15.9    13.6    19.1    27.2    20.6    13.4    19.9
 1904    13.3    13.4    16.0    19.4    22.5    24.9    27.5    27.3    24.4    21.0    18.9    14.2    19.3    26.6    21.4    12.7    20.2
 1905    11.8    12.3    15.0    20.0    22.9    25.5    27.3    27.8    25.2    22.3    18.1    14.0    19.3    26.9    21.8    12.9    20.2
 1906    12.0    12.7    15.3    18.4    23.6    24.9    27.1    26.7    24.1    21.5    18.9    15.8    19.1    26.2    21.5    13.6    20.1
 1907    12.8    12.1    15.7    18.7    23.8    25.2    27.3    27.0    24.6    21.8    16.0    14.1    19.4    26.5    20.8    13.1    19.9
 1908    12.8    12.4    16.4    20.8    22.9    26.7    26.8    27.8    25.6    21.5    18.2    15.2    20.0    27.1    21.8    14.1    20.6
 1909    12.3    15.0    17.6    21.1    23.8    24.9    27.8    27.8    24.9    21.6    18.2    14.4    20.8    26.8    21.5    13.4    20.8
 1910    12.0    14.0    14.4    18.6    22.9    24.4    27.3    27.8    24.8    20.2    17.1    12.9    18.6    26.5    20.7    11.0    19.7
 1911     9.3    11.0    13.9    18.5    22.3    23.9    27.2    26.8    23.6    20.5    16.8    15.4    18.2    26.0    20.3    13.6    19.1
 1912    12.1    13.3    16.2    19.2    22.4    26.4    26.8    26.4    24.4    20.9    18.0    13.8    19.3    26.5    21.1    12.6    20.0
 1913    12.3    11.9    14.1    20.4    24.0    24.8    26.4    25.7    24.8    21.5    17.6    14.7    19.5    25.6    21.3    14.1    19.8
 1914    14.2    13.4    16.3    20.5    23.3    24.4    26.5    27.1    23.8    22.4    18.7    14.7    20.0    26.0    21.6    14.4    20.4
 1915    14.1    14.4    16.9    19.8    23.0    27.3    27.0    27.8    26.1    20.9    18.2    14.5    19.9    27.4    21.7    13.1    20.8
 1916    12.7    12.0    17.8    18.7    24.2    26.2    28.3    28.2    24.4    19.8    18.4    15.0    20.2    27.6    20.8    14.1    20.5
 1917    12.9    14.4    15.0    21.1    23.3    25.5    28.8    28.3    25.6    20.6    18.4    13.7    19.8    27.5    21.5    13.4    20.6
 1918    12.9    13.6    14.9    18.8    22.5    23.8    27.2    27.6    25.2    23.1    18.9    15.4    18.7    26.2    22.4    15.0    20.3
 1919    14.9    14.9    16.1    21.1    22.9    24.1    26.8    27.9    25.5    22.8    19.2    15.6    20.0    26.3    22.5    13.5    21.0
 1920    13.5    11.6    17.7    20.4    24.1    26.3    26.9    27.9    26.1    23.4    18.4    11.8    20.7    27.0    22.6    12.7    20.7
 1921    13.0    13.4    17.5    22.6    22.7    26.0    28.6    28.0    26.0    21.4    18.2    14.0    20.9    27.5    21.8    14.0    20.9
 1922    14.2    13.8    16.1    20.3    22.7    26.9    27.9    28.4    25.0    21.7    19.8    15.8    19.7    27.7    22.1    14.1    21.0
 1923    13.2    13.2    17.9    18.7    23.2    26.1    28.0    26.6    24.7    22.1    16.9    15.6    19.9    26.9    21.2    14.5    20.5
 1924    14.4    13.5    19.4    20.5    24.5    27.1    28.3    27.5    25.3    23.4    18.7    14.2    21.4    27.6    22.4    11.6    21.4
 1925     9.8    10.9    18.0    21.3    23.5    24.7    26.3    28.0    26.1    22.8    17.8    15.8    20.9    26.4    22.2    15.0    20.4
 1926    14.2    15.1    16.8    18.7    23.8    26.2    27.0    27.8    24.1    21.5    19.3    14.5    19.8    27.0    21.6    13.5    20.7
 1927    13.5    12.7    15.9    19.1    24.8    26.8    28.0    27.5    26.5    23.3    19.0    13.8    19.9    27.4    22.9    13.5    20.9
 1928    12.8    13.8    15.9    22.3    24.0    26.0    28.1    27.1    25.4    21.8    17.1    13.9    20.7    27.1    21.4    14.2    20.7
 1929    14.3    14.5    16.7    21.0    23.8    24.9    26.9    27.3    24.8    21.8    17.6    14.5    20.5    26.4    21.4    13.6    20.7
 1930    11.5    14.8    16.7    21.0    23.9    25.7    26.7    27.4    25.2    21.6    18.2    14.5    20.5    26.6    21.7    14.0    20.6
 1931    14.2    13.4    16.7    20.0    23.1    25.9    27.8    27.7    25.8    20.4    17.7    13.3    19.9    27.1    21.3    13.2    20.5
 1932    13.4    13.0    17.1    19.5    22.9    25.9    26.9    27.2    24.3    20.7    18.1    12.2    19.9    26.7    21.1    12.6    20.1
 1933    11.9    13.6    15.8    18.7    23.7    24.2    26.4    27.3    24.0    21.4    17.2    15.1    19.4    26.0    20.9    13.8    20.0
 1934    11.5    14.7    15.3    20.6    22.5    25.7    26.7    27.2    24.6    20.7    17.9    15.5    19.5    26.6    21.1    14.0    20.2
 1935    12.7    13.7    17.5    19.1    23.2    25.8    27.3    28.1    25.4    22.0    19.0    16.5    19.9    27.1    22.1    14.5    20.9
 1936    12.1    15.0    15.9    20.6    24.5    24.2    27.0    28.4    24.4    19.7    17.5    13.7    20.4    26.6    20.6    12.6    20.3
 1937    10.4    13.7    15.6    19.8    24.1    25.3    27.5    27.8    25.2    22.0    18.9    14.6    19.8    26.9    22.0    14.3    20.4
 1938    13.8    14.4    14.6    19.7    23.0    24.8    28.1    28.6    26.8    20.6    17.4    15.3    19.1    27.2    21.6    14.4    20.6
 1939    14.0    14.0    15.7    18.3    23.4    26.2    27.4    27.1    24.9    21.4    18.5    15.8    19.1    26.9    21.6    15.1    20.6
 1940    14.1    15.5    14.8    20.5    24.2    25.8    27.6    27.9    25.5    22.6    18.1    15.4    19.8    27.1    22.1    14.7    21.0
 1941    13.5    15.2    17.6    20.1    24.2    26.9    28.0    27.5    24.8    21.7    18.3    14.2    20.6    27.5    21.6    13.6    21.0
 1942    12.4    14.2    17.5    20.6    24.5    26.1    27.9    27.9    25.2    22.1    18.9    14.3    20.9    27.3    22.1    13.5    21.0
 1943    12.8    13.3    15.6    19.1    23.6    24.9    27.4    27.9    24.7    21.4    18.2    16.5    19.5    26.7    21.4    14.9    20.5
 1944    14.2    14.1    17.7    19.9    23.7    26.4    27.5    27.1    24.9    21.3    18.5    14.0    20.4    27.0    21.6    13.3    20.8
 1945    12.4    13.5    15.6    19.8    23.5    26.4    27.5    27.8    25.1    20.8    18.6    14.9    19.6    27.2    21.5    13.9    20.5
