Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Brunei               : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.0     3.4     3.6     3.6     3.4     3.1     3.2     3.3     3.3     3.1     3.0     3.0     3.6     3.2     3.2     3.1     3.3
 1902     3.0     3.4     3.6     3.6     3.4     3.1     3.2     3.3     3.3     3.1     3.0     3.0     3.6     3.2     3.2     3.1     3.3
 1903     3.0     3.2     3.5     3.5     3.3     3.1     3.0     3.3     3.1     2.9     2.8     2.8     3.5     3.2     3.0     2.8     3.1
 1904     2.7     3.0     3.3     3.3     3.0     2.9     3.1     3.0     3.3     2.8     2.6     2.6     3.2     3.0     2.9     2.8     3.0
 1905     2.8     3.0     3.5     3.6     3.3     3.0     3.0     3.1     3.0     2.8     2.7     2.9     3.5     3.1     2.9     3.1     3.1
 1906     2.9     3.4     3.6     3.6     3.4     3.0     3.1     3.2     3.0     2.8     2.7     2.9     3.5     3.1     2.9     2.8     3.1
 1907     2.7     2.9     3.2     3.3     3.2     3.0     3.0     3.1     3.0     2.9     2.9     2.9     3.3     3.1     2.9     3.1     3.0
 1908     3.0     3.4     3.5     3.5     3.1     3.0     2.9     3.3     3.1     3.0     2.8     2.8     3.4     3.1     3.0     3.0     3.1
 1909     3.0     3.3     3.5     3.5     3.2     3.1     3.0     3.3     3.0     2.9     2.6     2.7     3.4     3.1     2.9     3.0     3.1
 1910     2.9     3.3     3.5     3.4     3.1     3.1     3.1     3.1     2.9     2.9     2.7     2.9     3.3     3.1     2.9     3.1     3.1
 1911     3.1     3.2     3.5     3.3     3.0     2.9     2.9     3.1     3.0     2.9     2.7     2.9     3.3     3.0     2.9     3.1     3.1
 1912     2.9     3.4     3.6     3.6     3.3     3.2     3.0     3.1     3.0     2.8     2.8     2.9     3.5     3.1     2.9     3.1     3.1
 1913     3.1     3.4     3.5     3.4     3.1     3.1     3.0     3.0     3.0     2.9     2.8     3.0     3.4     3.1     2.9     3.0     3.1
 1914     2.8     3.1     3.6     3.6     3.3     3.1     3.2     3.3     3.1     3.0     3.0     3.0     3.5     3.2     3.1     3.2     3.2
 1915     3.1     3.4     3.8     3.7     3.3     3.1     3.2     3.4     3.2     2.9     3.0     2.9     3.6     3.3     3.1     3.1     3.3
 1916     3.0     3.4     3.5     3.5     3.0     2.9     3.0     3.3     3.0     2.9     2.8     2.9     3.3     3.1     2.9     3.0     3.1
 1917     3.0     3.2     3.5     3.5     3.0     2.9     3.1     3.2     3.0     2.9     2.8     2.9     3.4     3.1     2.9     2.8     3.1
 1918     2.6     3.0     3.3     3.3     3.1     2.9     3.1     3.1     3.2     2.9     2.8     2.8     3.3     3.1     3.0     3.1     3.0
 1919     3.0     3.4     3.6     3.6     3.3     3.0     3.0     3.3     3.0     2.8     2.7     2.8     3.5     3.1     2.9     3.0     3.2
 1920     2.9     3.3     3.5     3.5     3.2     3.1     3.1     3.3     3.1     2.9     2.7     2.7     3.4     3.2     2.9     2.9     3.1
 1921     2.8     3.3     3.5     3.3     3.2     2.9     3.1     3.2     3.1     2.8     2.8     2.7     3.3     3.1     2.9     3.0     3.1
 1922     2.9     3.3     3.4     3.5     3.2     3.1     3.1     3.1     3.1     3.0     2.8     2.9     3.4     3.1     3.0     3.0     3.1
 1923     2.9     3.3     3.3     3.5     3.2     3.0     3.1     3.1     3.2     2.8     2.7     2.9     3.3     3.1     2.9     3.0     3.1
 1924     2.9     3.3     3.4     3.6     3.4     3.1     3.1     3.2     3.1     2.9     2.8     2.7     3.5     3.2     2.9     3.0     3.1
 1925     3.1     3.2     3.4     3.4     3.2     2.9     3.1     3.3     3.2     2.8     2.8     2.7     3.3     3.1     3.0     2.9     3.1
 1926     2.7     3.3     3.5     3.6     3.4     3.1     3.1     3.3     3.2     2.9     2.8     2.7     3.5     3.2     3.0     3.0     3.2
 1927     2.8     3.4     3.6     3.6     3.3     3.1     3.1     3.1     3.3     2.9     2.9     3.0     3.5     3.1     3.1     3.2     3.2
 1928     3.2     3.3     3.6     3.5     3.3     3.0     3.1     3.3     3.2     2.9     2.9     2.9     3.5     3.2     3.0     3.0     3.2
 1929     2.8     3.2     3.4     3.4     3.2     3.0     3.0     3.1     3.1     2.9     2.8     2.8     3.4     3.1     2.9     3.1     3.1
 1930     3.0     3.3     3.6     3.6     3.2     3.1     3.2     3.2     3.3     3.1     2.9     3.0     3.5     3.2     3.1     3.2     3.2
