Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = China                : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     0.9     1.1     2.0     3.0     3.7     4.0     3.9     3.6     3.0     2.0     1.3     0.9     2.9     3.8     2.1     1.1     2.5
 1902     1.0     1.3     2.1     2.9     3.7     4.0     3.8     3.5     2.9     2.1     1.3     0.9     2.9     3.8     2.1     1.0     2.5
 1903     0.9     1.3     1.9     3.0     3.7     4.0     3.9     3.6     3.0     2.0     1.2     0.9     2.8     3.8     2.0     1.0     2.4
 1904     0.9     1.3     1.9     2.9     3.7     4.1     3.9     3.7     2.9     2.0     1.3     0.9     2.8     3.9     2.1     1.0     2.4
 1905     1.0     1.0     1.7     2.6     3.7     4.1     4.0     3.6     2.9     2.0     1.3     0.9     2.7     3.9     2.1     1.0     2.4
 1906     0.9     1.1     1.9     3.1     3.8     4.1     4.0     3.7     2.9     2.1     1.2     1.0     2.9     4.0     2.0     1.0     2.5
 1907     1.0     1.1     1.8     3.0     3.8     4.0     3.9     3.8     2.9     2.0     1.2     0.9     2.9     3.9     2.0     1.0     2.5
 1908     0.9     1.1     1.9     2.9     3.9     4.1     4.0     3.8     2.9     2.0     1.2     1.0     2.9     4.0     2.1     1.0     2.5
 1909     0.8     1.3     1.8     3.1     3.9     4.0     4.1     3.9     3.0     2.0     1.4     0.9     2.9     4.0     2.1     1.0     2.5
 1910     0.9     1.2     1.8     2.8     3.8     4.0     4.1     3.7     2.9     2.0     1.2     0.8     2.8     3.9     2.0     1.0     2.4
 1911     0.9     1.2     1.8     3.0     3.8     4.0     3.9     3.6     2.9     2.0     1.2     0.8     2.8     3.8     2.1     1.0     2.4
 1912     0.9     1.4     1.9     3.1     3.9     4.1     4.1     3.6     2.8     2.0     1.1     0.8     3.0     3.9     2.0     1.0     2.5
 1913     0.9     1.2     1.8     2.8     3.8     4.0     4.0     3.8     2.9     2.1     1.3     0.9     2.8     3.9     2.1     1.1     2.5
 1914     1.1     1.3     2.0     3.1     3.9     4.2     4.1     3.7     2.9     2.0     1.2     0.9     3.0     4.0     2.0     1.0     2.5
 1915     0.9     1.2     1.9     2.9     3.8     4.1     4.0     3.6     2.9     2.0     1.3     1.0     2.9     3.9     2.1     1.0     2.5
 1916     0.9     1.2     1.9     3.0     3.9     4.1     4.1     3.9     2.9     2.0     1.2     0.9     2.9     4.0     2.1     1.0     2.5
