Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Congo                : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.8     3.1     3.0     3.0     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1902     2.8     3.1     3.1     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1903     2.9     3.2     3.1     3.0     2.6     2.5     2.5     2.6     2.9     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1904     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.9     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1905     2.9     3.2     3.1     3.0     2.7     2.5     2.5     2.7     2.8     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1906     2.8     3.1     3.1     3.0     2.6     2.5     2.5     2.6     2.9     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1907     2.8     3.2     3.1     3.0     2.7     2.5     2.6     2.7     2.9     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1908     2.8     3.1     3.1     3.0     2.6     2.4     2.5     2.5     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1909     2.8     3.2     3.1     3.0     2.7     2.6     2.6     2.7     2.9     2.8     2.7     2.7     2.9     2.6     2.8     2.8     2.8
 1910     2.8     3.1     3.0     2.9     2.7     2.6     2.5     2.6     2.8     2.8     2.6     2.6     2.9     2.6     2.7     2.8     2.7
 1911     2.8     3.1     3.1     3.0     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1912     2.8     3.2     3.1     3.0     2.7     2.6     2.5     2.6     2.8     2.7     2.6     2.7     3.0     2.6     2.7     2.8     2.8
 1913     2.8     3.1     3.0     3.0     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1914     2.9     3.1     3.1     3.0     2.7     2.5     2.5     2.7     2.9     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1915     2.8     3.2     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1916     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1917     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1918     2.8     3.1     3.1     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1919     2.8     3.1     3.1     3.0     2.5     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.6     2.8     2.9     2.8
 1920     2.8     3.2     3.1     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1921     2.8     3.2     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1922     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1923     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1924     2.8     3.2     3.1     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1925     2.8     3.1     3.1     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1926     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1927     2.8     3.1     3.0     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1928     2.8     3.1     3.1     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1929     2.8     3.1     3.1     2.9     2.5     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.6     2.8     2.9     2.8
 1930     2.8     3.2     3.1     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1931     2.8     3.1     3.0     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1932     2.8     3.1     3.1     2.9     2.5     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.6     2.8     2.9     2.8
 1933     2.8     3.2     3.1     3.0     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1934     2.8     3.1     3.0     3.0     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1935     2.8     3.1     3.0     2.9     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1936     2.8     3.1     3.0     2.9     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.8     2.5     2.8     2.9     2.8
 1937     2.8     3.1     3.1     3.0     2.7     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
 1938     2.8     3.1     3.0     3.0     2.6     2.5     2.5     2.6     2.8     2.8     2.7     2.7     2.9     2.5     2.8     2.9     2.8
