Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Cuba                 : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.8     3.4     4.0     4.3     4.4     4.2     4.4     4.3     3.5     3.1     2.6     2.7     4.2     4.3     3.1     2.9     3.6
 1902     2.8     3.2     4.1     4.6     4.5     4.1     4.5     4.5     3.6     3.3     2.8     2.8     4.4     4.3     3.2     3.2     3.7
 1903     3.0     3.7     4.2     4.4     4.2     4.2     4.4     4.4     3.6     3.2     2.7     2.7     4.3     4.3     3.2     3.1     3.7
 1904     3.1     3.7     4.2     4.5     4.3     4.0     4.3     4.1     3.5     3.0     2.6     2.8     4.3     4.1     3.1     3.1     3.7
 1905     2.9     3.7     4.1     4.4     4.4     4.1     4.3     4.1     3.6     3.2     2.9     2.8     4.3     4.2     3.2     3.0     3.7
 1906     2.9     3.3     3.9     4.4     4.2     4.0     4.3     4.0     3.5     3.1     2.7     2.8     4.2     4.1     3.1     3.1     3.6
 1907     3.1     3.5     4.4     4.6     4.4     4.2     4.4     4.3     3.7     3.3     2.9     2.8     4.5     4.3     3.3     3.0     3.8
 1908     3.0     3.3     4.4     5.0     4.5     4.1     4.5     4.3     3.7     3.0     2.8     2.9     4.6     4.3     3.2     3.2     3.8
 1909     3.1     3.5     4.3     4.6     4.4     4.0     4.3     4.3     3.6     3.0     2.8     2.7     4.4     4.2     3.1     3.0     3.7
 1910     3.0     3.4     4.0     4.6     4.3     4.0     4.3     4.3     3.6     3.2     2.8     2.7     4.3     4.2     3.2     3.2     3.7
 1911     3.2     3.7     4.3     4.5     4.3     4.2     4.5     4.3     3.7     3.5     2.8     2.7     4.4     4.3     3.3     3.0     3.8
 1912     2.9     3.2     4.0     4.6     4.3     4.0     4.3     4.2     3.6     3.2     2.5     2.8     4.3     4.1     3.1     3.2     3.6
 1913     3.0     3.7     4.1     4.3     4.2     4.0     4.4     4.3     3.5     3.2     2.7     2.9     4.2     4.2     3.2     3.0     3.7
 1914     2.8     3.4     3.5     4.5     4.2     4.2     4.4     4.3     3.6     3.2     2.6     2.8     4.1     4.3     3.2     3.0     3.6
