Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Easter_Isl           : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1902     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1903     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1904     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1905     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1906     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1907     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1908     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1909     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1910     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1911     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
 1912     4.1     3.9     3.4     2.7     2.1     1.7     1.8     2.0     2.5     3.2     3.6     3.9     2.7     1.8     3.1     4.0     2.9
