Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Franz_Joseph_Land    : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.5     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1902     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.3     1.4     0.2     0.1     0.5
 1903     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1904     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.5     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1905     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.5     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1906     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1907     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1908     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1909     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.1     0.5     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1910     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.4     0.1     0.1     0.1     0.4     1.4     0.2     0.1     0.5
 1911     0.1     0.1     0.1     0.3     0.6     1.3     1.8     1.0     0.5     0.1     0.1     0.1     0.4     1.4     0.2     0.0     0.5
 1912     0.0     0.0     0.0     0.1     0.3     1.4     1.5     0.7     0.1     0.0     0.0     0.2     0.1     1.2     0.0     0.1     0.4
 1913     0.1     0.0     0.1     0.5     0.4     1.1     1.6     1.1     0.5     0.0     0.2     0.2     0.3     1.3     0.2     0.1     0.5
 1914     0.0     0.0     0.0     0.4     0.4     1.4     1.7     1.0     0.2     0.2     0.0     0.0     0.3     1.4     0.1     0.1     0.5
 1915     0.1     0.0     0.0     0.4     0.2     1.4     1.5     0.8     0.3     0.2     0.0     0.0     0.2     1.2     0.2     0.0     0.4
 1916     0.0     0.1     0.0     0.1     0.3     1.5     1.7     0.8     0.3     0.0     0.0     0.0     0.2     1.3     0.1     0.0     0.4
 1917     0.0     0.0     0.0     0.1     0.5     1.2     1.7     0.6     0.1     0.0     0.0     0.0     0.2     1.2     0.0     0.1     0.4
