Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Galapagos_Isl        : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1902     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1903     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1904     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1905     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1906     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1907     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1908     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1909     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1910     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1911     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1912     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1913     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1914     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1915     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1916     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1917     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1918     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1919     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1920     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1921     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1922     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1923     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1924     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1925     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1926     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
 1927     3.8     4.0     4.0     3.8     3.4     2.9     2.8     2.8     2.9     3.1     3.4     3.5     3.7     2.9     3.1     3.8     3.4
