Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Libya                : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.7     3.8     5.2     6.3     7.1     7.9     7.8     7.2     6.3     4.9     3.5     2.9     6.2     7.6     4.9     3.2     5.5
 1902     2.8     4.0     5.0     6.2     7.1     7.7     7.7     7.2     6.3     4.8     3.3     2.7     6.1     7.6     4.8     3.0     5.4
 1903     2.8     3.6     4.9     6.0     7.3     7.6     7.5     7.1     6.2     4.8     3.4     2.8     6.1     7.4     4.8     3.2     5.3
 1904     2.8     3.9     5.0     6.1     7.2     7.8     7.7     7.1     6.2     4.8     3.3     2.6     6.1     7.6     4.8     2.9     5.4
 1905     2.6     3.4     4.8     6.1     7.4     7.9     7.8     7.3     6.4     4.8     3.6     2.7     6.1     7.6     4.9     3.0     5.4
 1906     2.8     3.6     5.1     6.1     7.3     7.9     7.8     7.2     6.2     4.7     3.5     2.7     6.2     7.6     4.8     2.9     5.4
 1907     2.6     3.5     4.6     6.0     7.2     7.6     7.7     7.1     6.2     4.9     3.5     2.9     5.9     7.5     4.9     3.2     5.3
 1908     2.9     3.7     5.0     6.0     7.5     7.8     7.7     7.1     6.2     4.9     3.4     2.7     6.2     7.5     4.8     3.0     5.4
 1909     2.7     3.6     5.2     6.0     7.3     7.8     7.6     7.2     6.4     4.9     3.6     2.9     6.2     7.5     5.0     3.1     5.4
 1910     2.8     3.7     4.7     6.2     7.2     7.7     7.6     7.1     6.0     4.9     3.4     2.8     6.0     7.5     4.8     3.0     5.3
 1911     2.7     3.5     4.9     6.0     7.2     8.0     7.9     7.4     6.4     5.0     3.6     3.0     6.0     7.8     5.0     3.3     5.5
 1912     2.8     4.0     5.2     6.1     7.3     7.7     7.8     7.1     6.1     4.8     3.3     2.7     6.2     7.5     4.8     3.1     5.4
 1913     2.9     3.6     5.0     6.2     7.2     7.6     7.6     7.1     6.5     5.0     3.6     2.8     6.1     7.5     5.0     3.1     5.4
 1914     2.8     3.7     5.2     6.0     7.3     7.7     7.6     7.1     6.1     4.7     3.5     2.9     6.2     7.5     4.8     3.2     5.4
 1915     2.9     3.7     5.1     6.1     7.2     7.8     7.7     7.3     6.2     4.9     3.6     3.1     6.1     7.6     4.9     3.2     5.5
 1916     2.8     3.8     5.4     6.3     7.6     8.3     8.1     7.2     6.1     4.9     3.7     3.1     6.4     7.9     4.9     3.3     5.6
 1917     2.9     3.8     5.1     6.2     7.3     8.0     7.8     7.5     6.4     4.8     3.5     2.6     6.2     7.7     4.9     3.0     5.5
 1918     2.8     3.6     4.9     6.2     7.4     7.8     7.8     7.2     6.6     4.9     3.6     2.8     6.2     7.6     5.0     3.2     5.5
 1919     3.0     3.9     5.3     6.2     7.1     7.7     7.8     7.1     6.3     5.0     3.7     2.7     6.2     7.6     5.0     3.0     5.5
