Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Montserrat           : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.5     3.9     4.4     4.3     4.2     4.2     4.3     4.4     3.9     3.4     3.1     3.0     4.3     4.3     3.5     3.4     3.9
 1902     3.3     3.8     4.1     4.1     4.0     4.1     4.3     4.3     3.8     3.3     3.1     3.1     4.1     4.2     3.4     3.4     3.8
 1903     3.4     3.8     4.1     4.1     4.1     4.3     4.4     4.2     3.8     3.4     3.1     3.0     4.1     4.3     3.4     3.3     3.8
 1904     3.3     3.6     4.0     3.9     3.9     4.0     4.2     4.1     3.7     3.2     3.2     3.1     3.9     4.1     3.4     3.4     3.7
 1905     3.3     3.8     4.0     4.2     3.7     4.1     4.5     4.5     3.9     3.3     3.2     3.0     4.0     4.4     3.5     3.3     3.8
 1906     3.2     3.6     4.1     4.1     4.0     4.0     4.2     4.3     3.8     3.4     3.2     2.9     4.1     4.2     3.5     3.1     3.7
 1907     2.9     3.5     3.9     4.4     3.9     4.0     4.2     4.2     3.6     3.1     2.9     2.9     4.1     4.1     3.2     3.3     3.6
 1908     3.4     3.5     4.1     4.1     4.3     4.3     4.4     4.4     3.8     3.3     2.7     2.5     4.2     4.4     3.3     2.8     3.7
 1909     2.9     3.1     4.4     4.0     3.9     3.9     4.2     4.1     3.8     3.3     2.5     2.7     4.1     4.1     3.2     2.9     3.6
 1910     2.8     3.2     3.8     4.0     4.0     3.9     4.1     3.9     3.5     3.3     3.2     2.9     3.9     4.0     3.3     3.1     3.5
 1911     2.9     3.4     3.9     4.6     3.9     4.4     4.2     4.3     3.8     3.3     3.2     3.0     4.1     4.3     3.4     3.5     3.7
 1912     3.5     3.9     4.3     4.1     4.1     4.0     4.5     4.3     3.8     3.2     3.1     3.1     4.2     4.3     3.4     3.2     3.8
 1913     3.2     3.4     3.9     3.6     4.1     4.0     4.1     4.3     3.9     3.3     3.0     2.9     3.9     4.1     3.4     3.2     3.6
 1914     3.2     3.6     4.1     4.1     3.9     4.0     4.5     4.4     3.9     3.4     3.2     3.3     4.0     4.3     3.5     3.4     3.8
 1915     3.3     3.6     4.8     3.8     4.3     4.1     4.3     4.3     3.7     3.5     3.1     2.9     4.3     4.2     3.4     3.1     3.8
 1916     2.9     3.4     4.1     4.3     4.0     4.4     4.5     4.3     3.8     3.2     2.9     3.0     4.1     4.4     3.3     3.2     3.7
 1917     3.2     3.5     4.1     4.2     4.2     3.9     4.3     4.1     3.8     3.7     2.9     2.9     4.2     4.1     3.5     3.3     3.7
 1918     3.5     3.6     4.4     4.2     3.7     4.2     4.4     4.5     4.1     3.6     3.2     3.4     4.1     4.4     3.6     3.7     3.9
 1919     3.6     4.2     4.4     3.7     4.3     4.3     4.3     4.2     3.8     3.3     3.1     3.2     4.1     4.3     3.4     3.4     3.9
