Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Pohnpei_and_Kosrae   : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1902     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1903     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1904     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1905     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1906     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1907     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1908     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1909     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1910     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1911     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1912     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1913     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1914     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1915     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1916     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1917     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1918     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1919     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1920     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1921     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1922     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1923     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1924     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1925     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1926     3.2     3.4     3.6     3.5     3.4     3.3     3.1     3.2     3.2     3.0     2.8     3.2     3.5     3.2     3.0     3.3     3.2
 1927     3.2     3.4     3.4     3.4     3.3     3.3     3.2     3.3     3.3     3.0     2.8     2.8     3.4     3.3     3.0     3.0     3.2
 1928     3.0     3.2     3.3     3.2     3.1     3.1     3.2     3.2     3.2     3.0     2.8     2.9     3.2     3.2     3.0     3.0     3.1
 1929     3.0     3.1     3.5     3.1     3.2     3.1     3.0     3.1     3.2     3.0     3.1     2.8     3.3     3.1     3.1     3.0     3.1
 1930     3.0     3.1     3.3     3.1     3.1     3.1     3.0     3.4     3.1     3.1     2.8     2.7     3.2     3.2     3.0     3.1     3.1
 1931     3.2     3.3     3.2     3.2     3.1     3.3     3.1     3.2     3.3     3.1     2.9     2.8     3.2     3.2     3.1     3.0     3.1
 1932     3.0     3.1     3.2     3.4     3.3     3.3     3.1     3.2     3.3     2.9     2.8     2.7     3.3     3.2     3.0     3.0     3.1
 1933     3.1     3.1     3.4     3.4     3.3     3.2     3.0     3.3     3.2     3.3     2.7     2.7     3.4     3.2     3.1     3.0     3.1
 1934     3.0     3.2     3.3     3.3     3.2     3.3     3.1     3.3     3.1     2.9     2.8     2.7     3.3     3.2     2.9     2.9     3.1
 1935     3.0     3.1     3.2     3.2     3.1     3.4     3.4     3.5     3.6     3.4     3.2     3.1     3.2     3.4     3.4     3.3     3.3
 1936     3.3     3.5     3.6     3.5     3.5     3.4     3.4     3.5     3.6     3.4     3.2     3.1     3.5     3.4     3.4     3.2     3.4
 1937     3.3     3.3     3.4     3.5     3.3     3.4     3.4     3.6     3.6     3.4     3.2     3.1     3.4     3.5     3.4     3.3     3.4
 1938     3.3     3.6     3.6     3.5     3.4     3.4     3.4     3.5     3.6     3.3     2.9     3.0     3.5     3.4     3.3     3.3     3.4
 1939     3.2     3.6     3.7     3.5     3.5     3.5     3.5     3.8     4.1     3.8     3.7     3.6     3.6     3.6     3.9     3.6     3.6
 1940     3.7     3.6     3.6     3.9     3.8     3.4     3.6     3.8     3.9     3.8     3.6     3.1     3.8     3.6     3.8     3.2     3.6
 1941     3.2     3.2     3.4     3.4     3.4     3.3     3.2     3.3     3.4     3.3     3.1     3.0     3.4     3.3     3.3     3.2     3.3
 1942     3.2     3.3     3.4     3.4     3.3     3.3     3.2     3.4     3.4     3.2     3.0     3.0     3.4     3.3     3.2     3.2     3.3
 1943     3.2     3.3     3.4     3.3     3.3     3.3     3.2     3.3     3.4     3.2     3.0     3.0     3.3     3.3     3.2     3.3     3.2
 1944     3.5     3.5     3.6     3.6     3.6     3.5     3.5     3.7     3.6     3.5     3.3     3.2     3.6     3.6     3.5     3.4     3.5
 1945     3.5     3.6     3.5     3.5     3.5     3.5     3.4     3.6     3.7     3.4     3.3     3.2     3.5     3.5     3.5     3.4     3.5
