Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Senegal              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.5     5.3     5.7     6.4     6.0     5.4     4.7     4.1     4.2     4.2     3.8     3.8     6.0     4.7     4.1     4.5     4.8
 1902     4.5     5.2     5.7     6.3     6.2     5.4     4.7     4.1     4.2     4.4     4.1     3.8     6.1     4.8     4.2     4.5     4.9
 1903     4.4     5.2     5.9     6.3     6.1     5.3     4.7     4.0     4.2     4.4     4.0     3.8     6.1     4.7     4.2     4.5     4.9
 1904     4.4     5.1     5.7     6.3     6.1     5.3     4.6     4.0     4.2     4.3     4.0     3.9     6.0     4.6     4.2     4.5     4.8
 1905     4.5     5.1     5.8     6.3     6.1     5.3     4.7     4.0     4.2     4.3     3.9     3.9     6.0     4.7     4.2     4.5     4.8
 1906     4.6     5.2     5.9     6.3     6.1     5.4     4.6     4.0     4.2     4.3     4.0     3.8     6.1     4.7     4.2     4.4     4.9
 1907     4.4     5.1     5.7     6.2     6.0     5.2     4.6     4.0     4.2     4.2     3.9     3.8     6.0     4.6     4.1     4.5     4.8
 1908     4.5     5.1     5.8     6.4     6.2     5.4     4.7     4.0     4.2     4.3     4.0     4.0     6.1     4.7     4.2     4.5     4.9
 1909     4.4     5.1     5.9     6.3     6.1     5.3     4.7     4.0     4.2     4.3     4.0     3.9     6.1     4.7     4.1     4.5     4.8
 1910     4.4     5.2     5.8     6.3     6.1     5.3     4.6     4.0     4.2     4.3     4.1     3.9     6.1     4.6     4.2     4.5     4.9
 1911     4.4     5.1     5.6     6.3     6.1     5.2     4.7     4.0     4.2     4.4     4.0     3.9     6.0     4.6     4.2     4.5     4.8
 1912     4.5     5.2     5.9     6.2     6.2     5.4     4.7     4.0     4.2     4.3     4.0     3.9     6.1     4.7     4.2     4.5     4.9
