Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = South_Georgia        : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.5     0.8     1.0     1.2     1.3     0.6     0.4     1.0     1.2     0.8
 1902     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.5     0.8     1.0     1.2     1.3     0.6     0.4     1.0     1.2     0.8
 1903     1.2     1.0     0.8     0.2     0.2     0.2     0.6     0.8     0.3     1.1     1.1     1.2     0.4     0.5     0.8     1.0     0.7
 1904     1.1     0.9     0.8     0.3     0.1     0.4     0.2     0.4     0.6     0.3     1.4     0.8     0.4     0.3     0.8     1.0     0.6
 1905     1.2     1.0     0.8     0.6     0.5     0.3     0.4     0.6     0.8     1.1     1.2     1.3     0.6     0.4     1.0     1.2     0.8
 1906     1.2     1.0     0.7     0.6     0.4     0.4     0.4     0.5     0.7     1.0     1.2     1.3     0.6     0.4     1.0     1.2     0.8
 1907     1.3     1.1     0.8     0.6     0.4     0.4     0.4     0.5     0.7     1.0     1.2     1.2     0.6     0.4     1.0     1.2     0.8
 1908     1.2     1.1     0.8     0.6     0.4     0.5     0.4     0.6     0.7     1.0     1.2     1.2     0.6     0.5     1.0     1.2     0.8
 1909     1.3     1.1     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.2     1.2     0.6     0.5     1.0     1.2     0.8
 1910     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.6     0.8     1.0     1.2     1.2     0.6     0.5     1.0     1.1     0.8
 1911     1.2     1.1     0.8     0.6     0.5     0.4     0.5     0.6     0.8     1.0     1.1     1.2     0.6     0.5     1.0     1.2     0.8
 1912     1.2     1.1     0.8     0.6     0.4     0.4     0.4     0.5     0.7     1.0     1.1     1.2     0.6     0.4     1.0     1.2     0.8
 1913     1.2     1.0     0.7     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.3     0.6     0.5     0.9     1.2     0.8
 1914     1.2     1.1     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.3     0.6     0.5     0.9     1.2     0.8
 1915     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.5     0.7     1.0     1.1     1.2     0.6     0.4     1.0     1.2     0.8
 1916     1.2     1.0     0.8     0.5     0.4     0.4     0.4     0.6     0.6     1.0     1.1     1.3     0.6     0.5     0.9     1.2     0.8
 1917     1.2     1.1     0.8     0.6     0.4     0.4     0.5     0.6     0.7     1.0     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1918     1.3     1.1     0.8     0.6     0.4     0.4     0.5     0.5     0.8     1.1     1.2     1.2     0.6     0.5     1.0     1.2     0.8
 1919     1.2     1.1     0.8     0.6     0.5     0.4     0.4     0.6     0.8     1.0     1.1     1.3     0.6     0.5     1.0     1.2     0.8
 1920     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.6     0.7     1.0     1.1     1.2     0.6     0.5     0.9     1.1     0.8
 1921     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.5     0.7     1.0     1.1     1.2     0.6     0.5     1.0     1.2     0.8
 1922     1.3     1.0     0.8     0.5     0.5     0.4     0.4     0.5     0.8     1.0     1.2     1.3     0.6     0.4     1.0     1.2     0.8
 1923     1.2     1.1     0.8     0.6     0.4     0.4     0.5     0.6     0.7     1.0     1.2     1.2     0.6     0.5     1.0     1.1     0.8
 1924     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.8     1.0     1.1     1.2     0.6     0.5     1.0     1.2     0.8
 1925     1.2     1.1     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.3     0.6     0.5     0.9     1.2     0.8
 1926     1.2     1.1     0.8     0.6     0.5     0.4     0.4     0.6     0.8     1.0     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1927     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.5     0.8     1.0     1.1     1.2     0.6     0.4     1.0     1.2     0.8
 1928     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.5     0.7     1.0     1.1     1.2     0.6     0.4     0.9     1.2     0.8
 1929     1.2     1.0     0.7     0.6     0.4     0.4     0.4     0.5     0.8     1.1     1.2     1.2     0.6     0.4     1.0     1.2     0.8
 1930     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.6     0.8     1.0     1.1     1.2     0.6     0.5     1.0     1.1     0.8
 1931     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.6     0.7     1.0     1.1     1.2     0.6     0.5     1.0     1.2     0.8
 1932     1.2     1.0     0.8     0.7     0.4     0.4     0.4     0.6     0.8     1.1     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1933     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.8     1.0     1.1     1.2     0.6     0.4     1.0     1.2     0.8
 1934     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.8     1.0     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1935     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.5     0.3     1.0     1.1     1.2     0.6     0.4     0.8     1.2     0.8
 1936     1.2     1.0     0.8     0.6     0.5     0.4     0.4     0.6     0.7     1.1     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1937     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.8     1.1     1.2     1.3     0.6     0.5     1.0     1.2     0.8
 1938     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.2     0.6     0.5     0.9     1.2     0.8
 1939     1.2     1.1     0.8     0.6     0.5     0.4     0.4     0.2     0.7     1.1     1.2     1.2     0.6     0.3     1.0     1.2     0.8
 1940     1.2     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.3     0.6     0.5     1.0     1.2     0.8
 1941     1.3     1.0     0.8     0.6     0.5     0.4     0.4     0.5     0.7     1.0     1.1     1.2     0.6     0.5     0.9     1.2     0.8
 1942     1.3     1.0     0.8     0.6     0.4     0.4     0.4     0.6     0.7     1.0     1.1     1.2     0.6     0.5     0.9     1.2     0.8
