Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Sri_Lanka            : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.1     4.5     4.5     4.2     4.1     4.2     4.1     4.1     4.0     3.6     3.3     3.5     4.3     4.1     3.6     3.9     4.0
 1902     4.0     4.4     4.6     4.2     4.1     4.2     4.1     4.1     4.0     3.5     3.3     3.5     4.3     4.1     3.6     4.0     4.0
 1903     4.1     4.5     4.5     4.2     4.0     4.2     4.1     4.1     4.0     3.5     3.3     3.4     4.3     4.1     3.6     3.9     4.0
 1904     3.9     4.3     4.5     4.2     4.0     4.1     4.0     4.1     4.0     3.6     3.3     3.4     4.2     4.1     3.6     3.9     4.0
 1905     3.9     4.4     4.6     4.1     4.0     4.2     4.1     4.1     4.0     3.5     3.4     3.5     4.3     4.1     3.6     4.0     4.0
 1906     4.0     4.5     4.6     4.3     4.1     4.2     4.1     4.0     4.0     3.5     3.3     3.5     4.3     4.1     3.6     3.9     4.0
 1907     4.0     4.4     4.6     4.1     4.1     4.2     4.0     4.0     4.0     3.5     3.3     3.5     4.3     4.1     3.6     3.9     4.0
 1908     4.0     4.4     4.5     4.3     4.1     4.2     4.0     4.1     3.9     3.5     3.3     3.4     4.3     4.1     3.6     3.9     4.0
 1909     4.0     4.4     4.5     4.2     4.0     4.1     4.0     4.0     3.9     3.6     3.4     3.5     4.3     4.1     3.6     4.0     4.0
 1910     4.0     4.4     4.5     4.2     4.1     4.2     4.0     4.1     3.9     3.5     3.3     3.4     4.3     4.1     3.6     3.9     4.0
 1911     4.0     4.4     4.6     4.2     4.1     4.2     4.1     4.1     4.0     3.6     3.4     3.5     4.3     4.1     3.7     4.0     4.0
 1912     3.9     4.5     4.7     4.2     4.1     4.2     4.1     4.1     4.0     3.5     3.3     3.4     4.3     4.1     3.6     3.9     4.0
 1913     3.9     4.5     4.6     4.2     4.1     4.2     4.0     4.1     4.0     3.5     3.3     3.5     4.3     4.1     3.6     4.0     4.0
 1914     4.0     4.4     4.6     4.2     4.1     4.2     4.1     4.1     4.0     3.5     3.4     3.5     4.3     4.1     3.6     4.0     4.0
 1915     4.0     4.5     4.6     4.2     4.1     4.2     4.0     4.1     4.0     3.6     3.4     3.5     4.3     4.1     3.7     4.0     4.0
 1916     4.0     4.4     4.6     4.2     4.1     4.1     4.0     4.1     4.0     3.6     3.4     3.4     4.3     4.1     3.6     3.9     4.0
 1917     3.9     4.4     4.5     4.2     4.1     4.1     4.1     4.1     3.9     3.5     3.3     3.4     4.2     4.1     3.6     3.9     4.0
 1918     3.9     4.3     4.5     4.1     4.1     4.1     4.1     4.1     4.0     3.6     3.4     3.5     4.2     4.1     3.7     4.0     4.0
 1919     4.1     4.5     4.6     4.2     4.1     4.1     4.0     4.1     4.0     3.6     3.4     3.5     4.3     4.1     3.6     4.0     4.0
 1920     4.0     4.5     4.7     4.2     4.1     4.2     4.1     4.1     4.0     3.6     3.4     3.5     4.3     4.1     3.7     4.0     4.0
 1921     4.0     4.4     4.6     4.2     4.1     4.2     4.0     4.1     4.0     3.5     3.3     3.5     4.3     4.1     3.6     3.9     4.0
 1922     4.0     4.4     4.6     4.2     4.1     4.2     4.1     4.1     4.0     3.5     3.3     3.4     4.3     4.1     3.6     3.9     4.0
