Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = St_Kitts_and_Nevis   : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.4     3.8     4.2     4.2     4.0     4.0     4.1     4.3     3.8     3.3     3.0     2.9     4.1     4.1     3.4     3.3     3.8
 1902     3.2     3.7     4.0     3.9     3.8     3.9     4.2     4.2     3.7     3.2     3.1     3.0     3.9     4.1     3.3     3.3     3.7
 1903     3.3     3.7     4.0     4.0     3.9     4.1     4.2     4.1     3.8     3.3     3.0     2.9     4.0     4.1     3.4     3.2     3.7
 1904     3.2     3.5     3.9     3.8     3.7     3.9     4.0     3.9     3.6     3.1     3.1     2.9     3.8     3.9     3.3     3.3     3.5
 1905     3.2     3.7     3.9     4.1     3.5     3.9     4.4     4.3     3.8     3.1     3.1     2.9     3.8     4.2     3.3     3.2     3.7
 1906     3.2     3.5     3.9     4.0     3.8     3.9     4.1     4.2     3.7     3.3     3.1     2.7     3.9     4.1     3.4     3.0     3.6
 1907     2.8     3.4     3.8     4.3     3.7     3.9     4.0     4.1     3.5     3.0     2.8     2.8     3.9     4.0     3.1     3.1     3.5
 1908     3.3     3.3     4.0     3.9     4.1     4.1     4.2     4.3     3.7     3.1     2.6     2.4     4.0     4.2     3.1     2.7     3.6
 1909     2.8     2.9     4.3     3.8     3.8     3.8     4.1     4.0     3.8     3.1     2.4     2.6     4.0     4.0     3.1     2.8     3.5
 1910     2.7     3.0     3.6     3.9     3.8     3.7     4.0     3.7     3.5     3.1     3.2     2.8     3.8     3.8     3.3     3.0     3.4
 1911     2.8     3.3     3.7     4.5     3.7     4.2     4.0     4.2     3.7     3.1     3.1     2.9     4.0     4.1     3.3     3.4     3.6
 1912     3.4     3.8     4.1     4.0     3.9     3.9     4.3     4.2     3.7     3.1     3.0     2.9     4.0     4.1     3.3     3.1     3.7
 1913     3.0     3.3     3.7     3.4     3.9     3.8     4.0     4.2     3.8     3.2     2.9     2.8     3.7     4.0     3.3     3.1     3.5
 1914     3.1     3.5     4.0     3.9     3.7     3.7     4.3     4.3     3.9     3.3     3.2     3.2     3.9     4.1     3.5     3.3     3.7
 1915     3.1     3.5     4.7     3.7     4.1     4.0     4.2     4.2     3.6     3.3     3.0     2.8     4.2     4.1     3.3     3.0     3.7
 1916     2.8     3.3     4.0     4.2     3.9     4.2     4.3     4.3     3.7     3.0     2.9     2.8     4.0     4.3     3.2     3.1     3.6
 1917     3.0     3.4     4.0     4.1     4.1     3.7     4.2     4.1     3.7     3.6     2.8     2.8     4.1     4.0     3.4     3.2     3.6
 1918     3.4     3.4     4.2     4.1     3.6     3.9     4.2     4.4     4.1     3.5     3.1     3.3     4.0     4.2     3.6     3.6     3.8
 1919     3.5     4.1     4.3     3.6     4.1     4.0     4.1     4.1     3.7     3.2     3.1     3.1     4.0     4.1     3.3     3.3     3.7
 1920     3.2     3.6     4.1     4.4     4.3     4.0     4.3     4.3     3.8     3.2     3.1     3.1     4.3     4.2     3.4     3.4     3.8
