Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = USA                  : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     1.1     1.1     2.1     2.9     4.1     4.8     5.4     4.5     3.3     2.6     1.5     1.0     3.0     4.9     2.5     1.1     2.9
 1902     1.1     1.3     2.0     3.1     4.1     4.9     5.0     4.4     3.3     2.5     1.4     0.9     3.0     4.7     2.4     1.0     2.8
 1903     1.0     1.0     2.0     3.0     3.8     4.5     4.9     4.3     3.3     2.5     1.4     1.1     2.9     4.6     2.4     1.2     2.7
 1904     1.0     1.4     2.1     3.0     4.1     4.7     4.9     4.3     3.5     2.4     1.7     1.1     3.0     4.6     2.5     1.0     2.8
 1905     0.9     1.0     2.3     3.0     3.8     4.7     4.7     4.5     3.5     2.2     1.6     0.9     3.0     4.6     2.4     1.2     2.8
 1906     1.1     1.4     1.6     3.3     3.8     4.7     4.8     4.3     3.6     2.3     1.4     1.1     2.9     4.6     2.4     1.2     2.8
 1907     1.1     1.5     2.4     2.7     3.5     4.5     4.9     4.3     3.4     2.3     1.4     1.1     2.9     4.6     2.4     1.2     2.8
 1908     1.2     1.3     2.3     3.2     3.7     4.6     4.9     4.2     3.6     2.2     1.6     1.1     3.1     4.6     2.5     1.2     2.8
 1909     1.1     1.4     1.9     2.9     3.8     4.7     4.9     4.5     3.4     2.4     1.6     0.7     2.8     4.7     2.5     1.0     2.8
 1910     1.0     1.2     2.8     3.4     3.9     4.9     5.2     4.4     3.6     2.6     1.5     1.0     3.4     4.8     2.6     1.2     3.0
 1911     1.2     1.3     2.3     2.9     4.1     5.1     5.0     4.4     3.5     2.2     1.3     0.9     3.1     4.8     2.3     1.1     2.8
 1912     1.0     1.3     1.7     3.0     4.0     4.6     4.8     4.1     3.2     2.3     1.6     1.0     2.9     4.5     2.4     1.1     2.7
 1913     1.1     1.2     2.0     3.2     4.0     5.0     5.1     4.6     3.3     2.1     1.5     0.9     3.1     4.9     2.3     1.1     2.8
 1914     1.2     1.3     2.0     3.0     4.0     4.9     5.1     4.4     3.4     2.4     1.7     0.8     3.0     4.8     2.5     1.0     2.9
 1915     1.0     1.3     1.7     3.4     3.7     4.6     4.8     4.2     3.3     2.5     1.6     1.0     3.0     4.5     2.5     1.1     2.8
 1916     1.0     1.4     2.2     3.0     3.9     4.6     5.1     4.4     3.5     2.3     1.5     1.0     3.0     4.7     2.4     1.1     2.8
 1917     1.0     1.3     2.0     2.9     3.5     4.8     5.1     4.5     3.4     2.3     1.7     0.9     2.8     4.8     2.5     1.1     2.8
 1918     0.9     1.5     2.4     2.8     4.0     5.1     5.1     4.6     3.3     2.4     1.3     1.0     3.1     4.9     2.3     1.1     2.9
 1919     1.1     1.2     2.0     3.1     3.9     4.8     5.1     4.5     3.5     2.1     1.3     0.9     3.0     4.8     2.3     1.1     2.8
 1920     1.0     1.3     2.0     2.6     3.7     4.7     5.0     4.2     3.5     2.4     1.3     1.0     2.8     4.6     2.4     1.2     2.7
 1921     1.2     1.5     2.4     3.1     3.9     4.9     5.1     4.5     3.5     2.6     1.6     1.2     3.1     4.8     2.6     1.1     2.9
 1922     0.9     1.3     1.9     2.8     3.9     4.9     4.9     4.5     3.8     2.6     1.4     1.1     2.9     4.8     2.6     1.2     2.8
 1923     1.2     1.2     1.9     2.9     3.9     4.6     5.1     4.4     3.4     2.1     1.5     1.1     2.9     4.7     2.3     1.1     2.8
 1924     1.0     1.4     1.7     2.9     3.8     4.9     4.9     4.6     3.3     2.5     1.6     0.9     2.8     4.8     2.5     1.2     2.8
 1925     1.0     1.6     2.4     3.4     4.1     4.9     5.2     4.6     3.5     1.8     1.4     1.0     3.3     4.9     2.2     1.2     2.9
 1926     1.1     1.5     1.9     3.1     4.2     5.0     5.1     4.5     3.3     2.4     1.4     0.9     3.1     4.9     2.4     1.2     2.9
 1927     1.1     1.5     2.0     3.0     3.8     4.6     5.0     4.2     3.4     2.6     1.5     0.9     2.9     4.6     2.5     1.2     2.8
 1928     1.2     1.4     2.1     2.9     4.2     4.4     4.9     4.4     3.4     2.4     1.4     1.1     3.1     4.6     2.4     1.1     2.8
 1929     1.0     1.1     2.1     3.0     3.8     4.8     5.1     4.7     3.3     2.4     1.2     1.1     3.0     4.8     2.3     1.2     2.8
 1930     0.8     1.7     2.0     3.4     3.8     4.9     5.4     4.6     3.5     2.1     1.4     1.0     3.1     5.0     2.4     1.2     2.9
 1931     1.2     1.5     1.9     3.2     4.0     5.1     5.3     4.5     3.7     2.5     1.5     1.0     3.0     5.0     2.6     1.2     2.9
 1932     1.0     1.5     1.8     3.2     4.0     4.8     5.1     4.4     3.5     2.3     1.5     0.9     3.0     4.8     2.4     1.1     2.8
 1933     1.2     1.3     2.1     3.0     3.8     5.3     5.3     4.4     3.6     2.5     1.6     1.2     3.0     5.0     2.6     1.3     2.9
 1934     1.2     1.5     2.3     3.4     4.6     5.1     5.4     4.6     3.4     2.6     1.6     1.0     3.4     5.1     2.5     1.2     3.1
 1935     1.1     1.4     2.2     2.8     3.5     4.7     5.2     4.5     3.5     2.4     1.3     0.9     2.8     4.8     2.4     1.0     2.8
 1936     1.0     1.1     2.3     3.1     4.3     5.3     5.5     4.8     3.5     2.3     1.5     1.1     3.2     5.2     2.4     1.1     3.0
 1937     0.9     1.2     1.8     3.0     4.2     4.8     5.2     4.7     3.6     2.4     1.4     0.9     3.0     4.9     2.5     1.1     2.8
 1938     1.1     1.4     2.2     3.1     3.8     4.8     5.0     4.7     3.6     2.7     1.5     1.1     3.1     4.8     2.6     1.2     2.9
 1939     1.1     1.3     2.2     3.2     4.3     4.8     5.3     4.6     3.7     2.5     1.5     1.3     3.2     4.9     2.6     1.1     3.0
 1940     0.8     1.2     2.1     3.0     4.2     5.0     5.2     4.5     3.5     2.6     1.3     1.1     3.1     4.9     2.5     1.1     2.9
 1941     1.0     1.3     1.9     3.1     4.1     4.6     5.0     4.4     3.4     2.2     1.6     1.1     3.0     4.7     2.4     1.1     2.8
 1942     1.1     1.2     2.1     3.3     3.9     4.7     5.1     4.3     3.4     2.4     1.6     1.0     3.1     4.7     2.5     1.2     2.8
 1943     1.1     1.6     2.0     3.3     3.9     4.8     5.2     4.6     3.6     2.5     1.5     1.0     3.1     4.9     2.5     1.2     2.9
 1944     1.1     1.3     1.9     2.9     4.1     4.7     5.2     4.5     3.5     2.6     1.3     1.0     3.0     4.8     2.4     1.1     2.8
 1945     1.0     1.4     2.3     3.0     3.8     4.5     5.0     4.4     3.4     2.4     1.5     0.9     3.0     4.6     2.4     1.2     2.8
 1946     1.1     1.6     2.4     3.4     3.8     4.9     5.2     4.4     3.4     2.3     1.4     1.2     3.2     4.8     2.4     1.2     2.9
