Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ascension            : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1902	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1903	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1904	133.3	133.4	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1905	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1906	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1907	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1908	133.3	133.4	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1909	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1910	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1911	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1912	133.3	133.4	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1913	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1914	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1915	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1916	133.3	133.4	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1917	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1918	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1919	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1920	133.3	133.4	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1921	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1922	133.3	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1923	133.3	128.8	139.5	117.0	117.8	108.0	114.7	117.8	114.0	139.5	120.0	136.4	377.2	340.4	373.1	405.0	1496.5
1924	139.5	136.3	142.6	120.0	117.8	108.0	114.7	117.8	120.0	136.4	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1925	133.3	128.8	139.5	120.0	117.8	108.0	117.8	117.8	123.0	136.4	120.0	133.3	377.2	340.4	382.2	396.0	1496.5
1926	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	123.0	136.4	129.0	133.3	377.2	340.4	391.3	396.0	1496.5
1927	136.4	128.8	139.5	117.0	117.8	108.0	114.7	117.8	120.0	136.4	129.0	133.3	377.2	340.4	382.2	396.0	1496.5
1928	136.4	133.4	139.5	120.0	114.7	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1929	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	387.0	1496.5
1930	133.3	126.0	139.5	117.0	114.7	105.0	114.7	114.7	117.0	133.3	126.0	130.2	368.0	331.2	373.1	396.0	1460.0
1931	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1932	136.4	130.5	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1933	136.4	128.8	139.5	120.0	117.8	108.0	117.8	117.8	123.0	136.4	129.0	130.2	377.2	340.4	391.3	396.0	1496.5
1934	136.4	128.8	139.5	120.0	117.8	108.0	117.8	120.9	126.0	139.5	132.0	133.3	377.2	349.6	400.4	405.0	1533.0
1935	136.4	131.6	142.6	120.0	117.8	111.0	114.7	120.9	123.0	136.4	132.0	133.3	377.2	349.6	391.3	396.0	1533.0
1936	136.4	133.4	139.5	120.0	117.8	108.0	117.8	117.8	120.0	136.4	129.0	133.3	377.2	340.4	382.2	400.4	1500.6
1937	136.4	128.8	139.5	120.0	117.8	108.0	117.8	117.8	123.0	139.5	132.0	133.3	377.2	340.4	391.3	396.0	1533.0
1938	136.4	128.8	139.5	117.0	117.8	111.0	117.8	120.9	123.0	139.5	132.0	133.3	377.2	349.6	391.3	396.0	1533.0
1939	136.4	126.0	139.5	117.0	117.8	108.0	117.8	120.9	123.0	139.5	132.0	133.3	377.2	349.6	391.3	396.0	1496.5
1940	136.4	130.5	136.4	117.0	114.7	108.0	117.8	120.9	126.0	124.0	132.0	133.3	368.0	349.6	382.2	400.4	1500.6
1941	136.4	128.8	139.5	117.0	114.7	108.0	117.8	120.9	120.0	136.4	129.0	130.2	368.0	349.6	382.2	387.0	1496.5
1942	133.3	126.0	139.5	117.0	114.7	108.0	114.7	117.8	123.0	136.4	129.0	130.2	368.0	340.4	391.3	387.0	1496.5
1943	133.3	123.2	133.3	114.0	111.6	108.0	117.8	117.8	123.0	136.4	129.0	130.2	358.8	340.4	391.3	387.0	1496.5
1944	133.3	130.5	136.4	117.0	114.7	108.0	117.8	120.9	123.0	139.5	132.0	133.3	368.0	349.6	391.3	400.4	1500.6
1945	136.4	126.0	136.4	117.0	114.7	105.0	117.8	117.8	123.0	139.5	132.0	133.3	368.0	340.4	391.3	396.0	1496.5
1946	133.3	126.0	136.4	117.0	114.7	108.0	117.8	120.9	120.0	133.3	129.0	130.2	368.0	349.6	382.2	396.0	1496.5
1947	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	123.0	136.4	132.0	133.3	377.2	340.4	391.3	396.0	1496.5
1948	136.4	133.4	142.6	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
1949	136.4	128.8	142.6	123.0	117.8	108.0	117.8	117.8	123.0	136.4	132.0	133.3	386.4	340.4	391.3	396.0	1533.0
1950	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	123.0	136.4	129.0	130.2	377.2	340.4	391.3	396.0	1496.5
1951	136.4	126.0	139.5	120.0	117.8	108.0	114.7	117.8	120.0	133.3	129.0	133.3	377.2	340.4	382.2	396.0	1496.5
1952	136.4	133.4	142.6	120.0	117.8	108.0	114.7	117.8	120.0	133.3	132.0	133.3	377.2	340.4	382.2	400.4	1500.6
1953	136.4	128.8	142.6	120.0	117.8	108.0	114.7	117.8	123.0	136.4	129.0	133.3	377.2	340.4	391.3	396.0	1496.5
1954	136.4	128.8	139.5	120.0	117.8	108.0	114.7	117.8	120.0	136.4	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1955	136.4	128.8	139.5	120.0	117.8	108.0	117.8	117.8	120.0	136.4	132.0	130.2	377.2	340.4	391.3	396.0	1496.5
1956	136.4	133.4	139.5	120.0	117.8	108.0	114.7	117.8	123.0	136.4	132.0	133.3	377.2	340.4	391.3	400.4	1500.6
1957	136.4	128.8	139.5	120.0	117.8	108.0	117.8	117.8	123.0	136.4	132.0	133.3	377.2	340.4	391.3	396.0	1496.5
1958	136.4	128.8	142.6	120.0	117.8	111.0	114.7	117.8	120.0	133.3	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1959	136.4	126.0	139.5	120.0	117.8	108.0	114.7	117.8	120.0	136.4	129.0	130.2	377.2	340.4	382.2	396.0	1496.5
1960	136.4	133.4	142.6	120.0	117.8	108.0	117.8	117.8	123.0	133.3	129.0	130.2	377.2	340.4	382.2	400.4	1500.6
