Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Barbados             : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	114.7	114.8	145.7	138.0	136.4	114.0	120.9	127.1	117.0	111.6	99.0	99.2	423.2	358.8	327.6	324.0	1423.5
1902	108.5	112.0	142.6	129.0	127.1	114.0	120.9	127.1	114.0	108.5	102.0	102.3	395.6	358.8	327.6	324.0	1423.5
1903	111.6	112.0	139.5	132.0	136.4	117.0	120.9	124.0	114.0	108.5	99.0	102.3	404.8	358.8	318.5	324.0	1423.5
1904	108.5	116.0	139.5	129.0	124.0	120.0	117.8	124.0	114.0	111.6	102.0	102.3	395.6	358.8	327.6	318.5	1390.8
1905	102.3	109.2	136.4	132.0	127.1	117.0	120.9	127.1	114.0	111.6	102.0	102.3	395.6	368.0	327.6	315.0	1387.0
1906	105.4	106.4	136.4	132.0	127.1	117.0	120.9	127.1	114.0	111.6	99.0	96.1	395.6	368.0	327.6	306.0	1387.0
1907	105.4	106.4	136.4	129.0	127.1	114.0	124.0	124.0	114.0	108.5	99.0	102.3	395.6	358.8	318.5	324.0	1387.0
1908	111.6	110.2	136.4	126.0	117.8	117.0	127.1	127.1	117.0	108.5	99.0	93.0	377.2	368.0	327.6	318.5	1390.8
1909	108.5	109.2	142.6	129.0	127.1	114.0	120.9	124.0	114.0	111.6	96.0	96.1	395.6	358.8	318.5	306.0	1387.0
1910	105.4	106.4	133.3	126.0	124.0	114.0	117.8	124.0	114.0	114.7	102.0	99.2	386.4	358.8	327.6	315.0	1387.0
1911	108.5	106.4	133.3	129.0	120.9	117.0	117.8	124.0	114.0	111.6	102.0	102.3	386.4	358.8	327.6	324.0	1387.0
1912	108.5	113.1	133.3	126.0	130.2	117.0	124.0	124.0	114.0	108.5	99.0	99.2	386.4	368.0	318.5	309.4	1390.8
1913	108.5	100.8	136.4	123.0	130.2	111.0	120.9	124.0	114.0	108.5	102.0	99.2	386.4	358.8	327.6	306.0	1387.0
1914	105.4	100.8	133.3	129.0	127.1	114.0	120.9	124.0	117.0	111.6	105.0	108.5	386.4	358.8	336.7	333.0	1387.0
1915	111.6	112.0	142.6	129.0	130.2	120.0	124.0	127.1	114.0	111.6	102.0	102.3	404.8	368.0	327.6	324.0	1423.5
1916	108.5	113.1	136.4	126.0	130.2	120.0	124.0	127.1	114.0	111.6	102.0	99.2	395.6	368.0	327.6	318.5	1427.4
1917	108.5	106.4	136.4	129.0	127.1	117.0	124.0	124.0	114.0	111.6	99.0	99.2	395.6	368.0	327.6	315.0	1387.0
1918	108.5	109.2	139.5	129.0	127.1	117.0	124.0	127.1	117.0	111.6	99.0	99.2	395.6	368.0	327.6	315.0	1423.5
1919	108.5	109.2	139.5	129.0	133.3	123.0	124.0	127.1	114.0	108.5	96.0	102.3	404.8	377.2	318.5	324.0	1423.5
1920	108.5	113.1	139.5	129.0	130.2	117.0	120.9	124.0	111.0	108.5	99.0	99.2	395.6	358.8	318.5	327.6	1390.8
1921	108.5	112.0	139.5	126.0	127.1	120.0	120.9	124.0	114.0	111.6	102.0	99.2	395.6	368.0	327.6	315.0	1423.5
1922	108.5	109.2	136.4	126.0	127.1	117.0	124.0	124.0	114.0	108.5	99.0	102.3	386.4	368.0	318.5	324.0	1387.0
1923	108.5	109.2	139.5	129.0	133.3	117.0	124.0	127.1	117.0	111.6	102.0	102.3	404.8	368.0	327.6	324.0	1423.5
1924	111.6	116.0	145.7	132.0	130.2	120.0	127.1	130.2	120.0	114.7	99.0	102.3	404.8	377.2	336.7	327.6	1464.0
