Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Chile                : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	133.3	103.6	96.1	69.0	52.7	45.0	46.5	58.9	75.0	99.2	114.0	130.2	220.8	147.2	291.2	360.0	1022.0
1902	130.2	100.8	96.1	72.0	52.7	42.0	40.3	49.6	72.0	96.1	111.0	133.3	220.8	128.8	282.1	360.0	985.5
1903	127.1	103.6	93.0	66.0	49.6	42.0	43.4	52.7	75.0	96.1	108.0	124.0	211.6	138.0	282.1	360.0	985.5
1904	133.3	110.2	89.9	72.0	49.6	42.0	43.4	55.8	78.0	93.0	111.0	130.2	211.6	138.0	282.1	364.0	1024.8
1905	133.3	103.6	99.2	66.0	46.5	42.0	40.3	52.7	72.0	89.9	105.0	117.8	211.6	138.0	263.9	342.0	985.5
1906	124.0	103.6	89.9	66.0	49.6	36.0	43.4	55.8	72.0	99.2	111.0	117.8	202.4	138.0	282.1	342.0	985.5
1907	124.0	98.0	89.9	63.0	46.5	36.0	43.4	52.7	69.0	89.9	111.0	117.8	202.4	128.8	263.9	351.0	949.0
1908	127.1	107.3	96.1	63.0	49.6	42.0	43.4	52.7	69.0	93.0	105.0	120.9	211.6	138.0	263.9	345.8	951.6
1909	124.0	98.0	93.0	63.0	46.5	39.0	43.4	58.9	72.0	93.0	108.0	117.8	202.4	138.0	273.0	324.0	949.0
1910	111.6	95.2	86.8	63.0	49.6	42.0	43.4	55.8	72.0	99.2	117.0	136.4	202.4	138.0	291.2	369.0	985.5
1911	127.1	106.4	89.9	66.0	49.6	39.0	43.4	49.6	66.0	96.1	108.0	127.1	202.4	138.0	273.0	351.0	985.5
1912	127.1	101.5	96.1	72.0	46.5	39.0	43.4	55.8	72.0	102.3	105.0	130.2	211.6	138.0	282.1	364.0	988.2
1913	130.2	106.4	93.0	69.0	49.6	42.0	46.5	55.8	75.0	99.2	117.0	136.4	211.6	138.0	291.2	378.0	1022.0
1914	130.2	109.2	99.2	69.0	52.7	45.0	49.6	55.8	72.0	93.0	105.0	130.2	220.8	147.2	273.0	360.0	1022.0
1915	127.1	103.6	96.1	66.0	49.6	36.0	49.6	55.8	75.0	102.3	117.0	133.3	211.6	138.0	291.2	369.0	1022.0
1916	133.3	110.2	96.1	75.0	52.7	36.0	40.3	55.8	72.0	99.2	111.0	120.9	220.8	128.8	282.1	354.9	988.2
1917	124.0	100.8	93.0	69.0	46.5	39.0	43.4	52.7	72.0	99.2	114.0	124.0	211.6	138.0	282.1	342.0	985.5
1918	120.9	100.8	89.9	66.0	46.5	39.0	43.4	52.7	69.0	99.2	105.0	133.3	202.4	138.0	273.0	369.0	985.5
1919	133.3	103.6	99.2	66.0	52.7	39.0	43.4	55.8	69.0	96.1	108.0	130.2	211.6	138.0	273.0	360.0	985.5
1920	130.2	104.4	89.9	69.0	49.6	39.0	43.4	58.9	72.0	96.1	108.0	120.9	211.6	138.0	273.0	336.7	988.2
1921	120.9	92.4	89.9	69.0	46.5	36.0	40.3	52.7	69.0	96.1	111.0	120.9	202.4	128.8	273.0	333.0	949.0
1922	117.8	95.2	89.9	66.0	49.6	36.0	43.4	52.7	72.0	93.0	111.0	127.1	202.4	128.8	273.0	351.0	949.0
1923	124.0	100.8	89.9	66.0	46.5	39.0	37.2	49.6	69.0	89.9	108.0	120.9	202.4	128.8	273.0	351.0	949.0
1924	130.2	104.4	89.9	66.0	46.5	39.0	40.3	52.7	69.0	96.1	108.0	124.0	202.4	128.8	273.0	336.7	951.6
1925	117.8	95.2	93.0	63.0	46.5	36.0	40.3	55.8	66.0	93.0	108.0	124.0	202.4	128.8	273.0	342.0	949.0
1926	120.9	100.8	89.9	63.0	46.5	39.0	40.3	55.8	69.0	93.0	111.0	127.1	202.4	138.0	273.0	351.0	949.0
1927	120.9	103.6	93.0	66.0	46.5	39.0	40.3	52.7	66.0	99.2	111.0	127.1	211.6	128.8	273.0	342.0	985.5
1928	120.9	101.5	89.9	66.0	49.6	36.0	43.4	55.8	72.0	99.2	111.0	120.9	202.4	138.0	282.1	364.0	951.6
1929	133.3	103.6	93.0	72.0	49.6	39.0	43.4	55.8	72.0	96.1	111.0	120.9	211.6	138.0	282.1	351.0	985.5
1930	124.0	106.4	89.9	72.0	49.6	45.0	40.3	52.7	72.0	89.9	111.0	124.0	211.6	138.0	273.0	351.0	985.5
1931	124.0	100.8	89.9	63.0	43.4	36.0	40.3	52.7	66.0	96.1	105.0	124.0	202.4	128.8	263.9	342.0	949.0
1932	117.8	101.5	86.8	66.0	46.5	39.0	43.4	52.7	66.0	93.0	108.0	114.7	202.4	138.0	273.0	336.7	951.6
1933	120.9	95.2	89.9	66.0	49.6	39.0	40.3	55.8	72.0	93.0	105.0	124.0	202.4	138.0	273.0	342.0	949.0
1934	124.0	95.2	89.9	66.0	46.5	39.0	43.4	55.8	69.0	96.1	108.0	124.0	202.4	138.0	273.0	333.0	949.0
1935	120.9	95.2	89.9	63.0	52.7	42.0	43.4	55.8	69.0	89.9	108.0	124.0	211.6	138.0	263.9	351.0	949.0
1936	127.1	110.2	96.1	69.0	49.6	42.0	46.5	55.8	72.0	99.2	114.0	127.1	211.6	138.0	282.1	364.0	988.2
1937	130.2	100.8	93.0	69.0	49.6	39.0	43.4	52.7	72.0	96.1	111.0	130.2	211.6	138.0	282.1	351.0	985.5
1938	120.9	103.6	93.0	66.0	49.6	39.0	43.4	52.7	69.0	96.1	108.0	127.1	211.6	138.0	273.0	351.0	985.5
1939	120.9	100.8	89.9	63.0	49.6	39.0	46.5	55.8	69.0	93.0	105.0	127.1	202.4	147.2	263.9	360.0	949.0
1940	124.0	107.3	93.0	63.0	52.7	42.0	46.5	55.8	72.0	93.0	111.0	124.0	202.4	147.2	273.0	364.0	988.2
1941	130.2	106.4	93.0	63.0	46.5	39.0	46.5	58.9	69.0	99.2	105.0	127.1	202.4	147.2	273.0	351.0	985.5
1942	120.9	100.8	89.9	66.0	46.5	36.0	40.3	52.7	69.0	93.0	111.0	136.4	202.4	128.8	273.0	360.0	985.5
1943	127.1	100.8	89.9	69.0	49.6	39.0	43.4	52.7	69.0	96.1	111.0	136.4	211.6	128.8	273.0	360.0	985.5
1944	127.1	104.4	99.2	69.0	49.6	39.0	40.3	55.8	72.0	93.0	114.0	130.2	211.6	138.0	282.1	382.2	988.2
1945	136.4	109.2	96.1	69.0	49.6	39.0	43.4	55.8	72.0	96.1	111.0	127.1	211.6	138.0	282.1	351.0	1022.0
1946	124.0	95.2	93.0	69.0	46.5	39.0	43.4	52.7	69.0	93.0	111.0	127.1	211.6	138.0	273.0	351.0	949.0
1947	120.9	98.0	89.9	69.0	49.6	42.0	43.4	55.8	69.0	99.2	120.0	127.1	211.6	138.0	291.2	351.0	985.5
1948	124.0	104.4	89.9	66.0	49.6	36.0	40.3	52.7	72.0	96.1	111.0	124.0	202.4	128.8	282.1	354.9	988.2
1949	127.1	103.6	86.8	66.0	49.6	39.0	43.4	55.8	69.0	99.2	114.0	127.1	202.4	138.0	282.1	360.0	985.5
1950	124.0	106.4	93.0	66.0	46.5	39.0	43.4	52.7	66.0	89.9	105.0	120.9	202.4	138.0	263.9	351.0	949.0
1951	124.0	106.4	93.0	66.0	49.6	39.0	43.4	55.8	69.0	96.1	111.0	133.3	211.6	138.0	273.0	369.0	985.5
1952	127.1	110.2	89.9	66.0	49.6	36.0	43.4	55.8	72.0	96.1	114.0	130.2	202.4	138.0	282.1	364.0	988.2
1953	127.1	109.2	89.9	69.0	49.6	39.0	43.4	55.8	69.0	93.0	105.0	136.4	211.6	138.0	263.9	360.0	985.5
1954	124.0	100.8	93.0	69.0	49.6	39.0	40.3	52.7	69.0	96.1	111.0	127.1	211.6	138.0	273.0	351.0	985.5
1955	130.2	98.0	93.0	63.0	49.6	36.0	40.3	55.8	72.0	96.1	117.0	120.9	211.6	138.0	282.1	342.0	985.5
1956	120.9	104.4	96.1	66.0	49.6	39.0	46.5	55.8	69.0	96.1	123.0	133.3	211.6	138.0	291.2	373.1	988.2
1957	124.0	109.2	96.1	72.0	46.5	39.0	43.4	52.7	72.0	93.0	120.0	127.1	211.6	138.0	282.1	360.0	985.5
1958	130.2	100.8	102.3	66.0	49.6	36.0	43.4	52.7	72.0	102.3	111.0	130.2	220.8	128.8	282.1	360.0	985.5
1959	127.1	103.6	93.0	63.0	49.6	42.0	43.4	55.8	72.0	96.1	117.0	136.4	211.6	138.0	282.1	387.0	985.5
1960	136.4	116.0	105.4	66.0	52.7	39.0	43.4	55.8	72.0	96.1	114.0	130.2	220.8	138.0	282.1	364.0	1024.8
1961	127.1	100.8	93.0	66.0	49.6	39.0	43.4	55.8	66.0	99.2	111.0	133.3	211.6	138.0	273.0	369.0	985.5
1962	130.2	109.2	96.1	66.0	49.6	39.0	40.3	55.8	72.0	102.3	114.0	130.2	211.6	138.0	291.2	360.0	1022.0
1963	124.0	106.4	86.8	63.0	46.5	39.0	40.3	52.7	60.0	93.0	102.0	130.2	202.4	138.0	254.8	360.0	949.0
1964	130.2	101.5	89.9	66.0	46.5	36.0	43.4	52.7	69.0	99.2	111.0	124.0	202.4	128.8	282.1	345.8	988.2
1965	124.0	95.2	99.2	66.0	46.5	42.0	40.3	55.8	69.0	96.1	111.0	120.9	211.6	138.0	273.0	342.0	985.5
1966	127.1	98.0	93.0	63.0	52.7	39.0	40.3	55.8	69.0	93.0	114.0	124.0	211.6	138.0	273.0	351.0	985.5
1967	124.0	100.8	93.0	72.0	46.5	39.0	40.3	52.7	69.0	89.9	114.0	130.2	211.6	128.8	273.0	360.0	985.5
1968	133.3	101.5	93.0	72.0	55.8	39.0	43.4	58.9	72.0	93.0	114.0	124.0	220.8	138.0	273.0	364.0	988.2
1969	133.3	103.6	96.1	72.0	49.6	42.0	43.4	55.8	72.0	93.0	111.0	136.4	211.6	138.0	273.0	369.0	1022.0
1970	124.0	106.4	96.1	69.0	49.6	39.0	43.4	52.7	72.0	96.1	114.0	120.9	211.6	138.0	282.1	333.0	985.5
1971	114.7	98.0	93.0	66.0	49.6	39.0	43.4	52.7	69.0	96.1	108.0	120.9	211.6	138.0	273.0	342.0	949.0
1972	124.0	104.4	86.8	69.0	43.4	39.0	40.3	52.7	69.0	89.9	114.0	130.2	202.4	128.8	273.0	354.9	951.6
1973	117.8	103.6	93.0	63.0	49.6	39.0	37.2	52.7	69.0	93.0	108.0	127.1	202.4	128.8	273.0	342.0	949.0
1974	117.8	95.2	89.9	66.0	46.5	39.0	40.3	52.7	69.0	96.1	111.0	124.0	202.4	128.8	273.0	351.0	949.0
1975	133.3	95.2	89.9	66.0	46.5	36.0	43.4	52.7	69.0	96.1	105.0	124.0	202.4	128.8	273.0	342.0	949.0
1976	117.8	107.3	89.9	69.0	49.6	36.0	40.3	52.7	69.0	93.0	111.0	120.9	211.6	128.8	273.0	345.8	951.6
1977	120.9	100.8	93.0	66.0	49.6	39.0	40.3	52.7	69.0	93.0	105.0	130.2	211.6	128.8	273.0	351.0	949.0
1978	120.9	106.4	93.0	69.0	49.6	39.0	40.3	52.7	72.0	93.0	111.0	130.2	211.6	128.8	273.0	360.0	985.5
1979	127.1	103.6	93.0	69.0	49.6	42.0	43.4	52.7	66.0	93.0	105.0	127.1	211.6	138.0	263.9	360.0	985.5
1980	130.2	101.5	89.9	60.0	49.6	39.0	43.4	55.8	72.0	96.1	108.0	127.1	202.4	138.0	282.1	354.9	988.2
1981	120.9	100.8	93.0	63.0	46.5	39.0	43.4	55.8	69.0	96.1	111.0	130.2	202.4	138.0	273.0	360.0	985.5
1982	133.3	100.8	96.1	69.0	49.6	36.0	40.3	52.7	66.0	93.0	111.0	133.3	211.6	128.8	273.0	360.0	985.5
1983	127.1	98.0	93.0	66.0	46.5	39.0	43.4	55.8	69.0	99.2	114.0	136.4	202.4	138.0	282.1	351.0	985.5
1984	120.9	98.6	89.9	66.0	43.4	33.0	37.2	49.6	69.0	89.9	108.0	127.1	202.4	119.6	273.0	364.0	951.6
1985	133.3	100.8	89.9	63.0	49.6	39.0	43.4	55.8	72.0	93.0	114.0	127.1	202.4	138.0	282.1	342.0	985.5
1986	120.9	98.0	89.9	60.0	46.5	39.0	43.4	52.7	69.0	99.2	108.0	127.1	202.4	138.0	273.0	360.0	949.0
1987	127.1	106.4	93.0	69.0	49.6	42.0	40.3	52.7	69.0	96.1	114.0	127.1	211.6	138.0	282.1	360.0	985.5
1988	124.0	113.1	89.9	66.0	49.6	42.0	43.4	52.7	69.0	93.0	114.0	120.9	202.4	138.0	273.0	354.9	988.2
1989	124.0	106.4	93.0	63.0	49.6	36.0	43.4	55.8	72.0	102.3	114.0	120.9	211.6	138.0	282.1	351.0	985.5
1990	124.0	106.4	89.9	60.0	49.6	39.0	43.4	55.8	69.0	93.0	108.0	124.0	202.4	138.0	273.0	351.0	949.0
1991	120.9	100.8	89.9	66.0	49.6	39.0	40.3	52.7	69.0	93.0	105.0	114.7	202.4	128.8	263.9	342.0	949.0
1992	130.2	98.6	96.1	66.0	46.5	36.0	37.2	55.8	69.0	89.9	111.0	124.0	211.6	128.8	273.0	354.9	951.6
1993	124.0	106.4	93.0	66.0	46.5	39.0	40.3	55.8	72.0	96.1	111.0	127.1	211.6	138.0	273.0	351.0	985.5
1994	127.1	98.0	93.0	66.0	49.6	39.0	40.3	55.8	72.0	93.0	111.0	130.2	202.4	138.0	273.0	351.0	985.5
1995	120.9	100.8	89.9	69.0	49.6	39.0	40.3	49.6	69.0	96.1	111.0	136.4	211.6	128.8	273.0	351.0	985.5
1996	120.9	101.5	93.0	63.0	49.6	36.0	43.4	55.8	72.0	93.0	111.0	117.8	202.4	138.0	273.0	336.7	951.6
1997	120.9	95.2	93.0	69.0	52.7	39.0	43.4	49.6	69.0	89.9	105.0	120.9	211.6	128.8	263.9	333.0	949.0
1998	117.8	100.8	86.8	66.0	52.7	39.0	46.5	55.8	69.0	99.2	111.0	127.1	202.4	138.0	282.1	360.0	985.5
1999	130.2	103.6	86.8	66.0	49.6	36.0	40.3	55.8	69.0	93.0	114.0	124.0	202.4	128.8	273.0	342.0	949.0
2000	120.9	98.6	86.8	66.0	46.5	36.0	37.2	52.7	63.0	93.0	105.0	117.8	202.4	128.8	263.9	345.8	915.0
2001	117.8	100.8	86.8	66.0	43.4	39.0	40.3	52.7	66.0	93.0	108.0	136.4	193.2	128.8	263.9	369.0	949.0
2002	127.1	106.4	83.7	63.0	46.5	33.0	40.3	52.7	69.0	89.9	105.0	124.0	193.2	128.8	263.9	351.0	949.0
2003	120.9	106.4	96.1	63.0	49.6	39.0	43.4	55.8	72.0	99.2	108.0	120.9	211.6	138.0	282.1	360.0	985.5
2004	133.3	113.1	96.1	63.0	46.5	42.0	40.3	55.8	72.0	96.1	111.0	130.2	202.4	138.0	282.1	373.1	988.2
2005	127.1	112.0	89.9	63.0	43.4	36.0	43.4	49.6	69.0	93.0	108.0	127.1	202.4	128.8	273.0	360.0	985.5
2006	127.1	103.6	93.0	66.0	49.6	39.0	43.4	55.8	72.0	96.1	111.0	124.0	211.6	138.0	282.1	351.0	985.5
2007	127.1	98.0	89.9	66.0	43.4	36.0	40.3	46.5	69.0	93.0	108.0	130.2	193.2	119.6	273.0	378.0	949.0
2008	133.3	116.0	99.2	66.0	46.5	36.0	43.4	52.7	75.0	99.2	120.0	142.6	211.6	128.8	291.2	382.2	1024.8
2009	136.4	103.6	102.3	72.0	46.5	39.0	40.3	55.8	69.0	93.0	93.0	117.8	220.8	138.0	254.8	324.0	985.5
2010	120.9	86.8	99.2	63.0	43.4	39.0	37.2	49.6	69.0	96.1	108.0	120.9	211.6	128.8	273.0	342.0	949.0
2011	124.0	100.8	89.9	66.0	46.5	36.0	37.2	46.5	72.0	96.1	111.0	142.6	202.4	119.6	273.0	369.0	985.5
2012	139.5	98.6	96.1	63.0	46.5	39.0	40.3	52.7	72.0	93.0	114.0	111.6	202.4	128.8	282.1	354.9	951.6
2013	139.5	103.6	86.8	75.0	49.6	42.0	40.3	49.6	63.0	99.2	108.0	136.4	211.6	138.0	273.0	351.0	985.5
2014	127.1	92.4	83.7	57.0	43.4	39.0	43.4	62.0	69.0	99.2	105.0	124.0	184.0	138.0	273.0	351.0	949.0
2015	130.2	100.8	99.2	72.0	49.6	42.0	43.4	52.7	69.0	83.7	102.0	124.0	220.8	138.0	254.8	360.0	985.5
2016	133.3	110.2	102.3	54.0	43.4	36.0	40.3	62.0	78.0	99.2	117.0	133.3	202.4	138.0	291.2	-999.0	1024.8
