Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Comoros              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	120.9	100.8	111.6	108.0	114.7	117.0	114.7	127.1	135.0	151.9	150.0	130.2	331.2	358.8	436.8	351.0	1496.5
1902	120.9	100.8	114.7	114.0	120.9	111.0	120.9	130.2	147.0	151.9	144.0	127.1	349.6	358.8	445.9	342.0	1496.5
1903	117.8	98.0	114.7	114.0	120.9	120.0	120.9	133.3	132.0	145.7	144.0	127.1	349.6	368.0	418.6	342.0	1496.5
1904	111.6	104.4	111.6	114.0	133.3	111.0	111.6	130.2	132.0	151.9	144.0	127.1	358.8	358.8	427.7	345.8	1500.6
1905	117.8	100.8	111.6	105.0	117.8	117.0	111.6	130.2	126.0	155.0	144.0	127.1	331.2	358.8	427.7	342.0	1460.0
1906	117.8	98.0	114.7	111.0	117.8	111.0	114.7	127.1	135.0	145.7	138.0	124.0	340.4	358.8	418.6	342.0	1460.0
1907	117.8	103.6	111.6	108.0	117.8	111.0	111.6	130.2	141.0	158.1	144.0	127.1	340.4	349.6	445.9	342.0	1460.0
1908	117.8	101.5	114.7	111.0	117.8	114.0	117.8	133.3	141.0	158.1	147.0	127.1	340.4	368.0	445.9	345.8	1500.6
1909	114.7	100.8	111.6	117.0	114.7	108.0	120.9	130.2	141.0	145.7	144.0	130.2	340.4	358.8	436.8	342.0	1460.0
1910	114.7	100.8	111.6	120.0	120.9	108.0	114.7	133.3	138.0	151.9	138.0	124.0	349.6	349.6	427.7	342.0	1460.0
1911	117.8	100.8	111.6	105.0	120.9	114.0	124.0	127.1	153.0	151.9	141.0	133.3	340.4	368.0	445.9	351.0	1496.5
1912	120.9	101.5	114.7	111.0	124.0	114.0	117.8	133.3	144.0	155.0	147.0	124.0	349.6	368.0	445.9	345.8	1500.6
1913	117.8	103.6	124.0	108.0	136.4	117.0	117.8	151.9	156.0	176.7	153.0	130.2	368.0	386.4	482.3	360.0	1606.0
1914	120.9	112.0	117.8	120.0	127.1	126.0	120.9	145.7	156.0	167.4	147.0	142.6	368.0	395.6	473.2	378.0	1606.0
1915	127.1	109.2	120.9	126.0	130.2	120.0	130.2	133.3	147.0	179.8	156.0	133.3	377.2	386.4	482.3	360.0	1606.0
1916	127.1	107.3	120.9	120.0	124.0	120.0	108.5	142.6	150.0	164.3	141.0	120.9	368.0	368.0	455.0	336.7	1537.2
1917	117.8	95.2	111.6	114.0	133.3	123.0	130.2	142.6	144.0	142.6	147.0	120.9	358.8	395.6	436.8	351.0	1533.0
1918	127.1	100.8	117.8	111.0	124.0	123.0	117.8	136.4	150.0	170.5	153.0	136.4	349.6	377.2	473.2	369.0	1569.5
