Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Cyprus               : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	43.4	75.6	114.7	132.0	142.6	192.0	210.8	192.2	147.0	108.5	66.0	58.9	386.4	598.0	318.5	189.0	1496.5
1902	55.8	70.0	83.7	123.0	158.1	177.0	210.8	195.3	156.0	108.5	54.0	37.2	358.8	579.6	318.5	126.0	1423.5
1903	37.2	44.8	74.4	114.0	151.9	171.0	192.2	182.9	135.0	99.2	57.0	46.5	340.4	542.8	291.2	153.0	1314.0
1904	43.4	63.8	77.5	102.0	139.5	174.0	195.3	186.0	141.0	111.6	60.0	34.1	322.0	552.0	309.4	109.2	1317.6
1905	34.1	36.4	71.3	114.0	151.9	177.0	207.7	192.2	153.0	114.7	75.0	37.2	340.4	579.6	345.8	135.0	1350.5
1906	46.5	53.2	86.8	111.0	142.6	183.0	201.5	186.0	141.0	102.3	66.0	55.8	340.4	570.4	309.4	144.0	1387.0
1907	40.3	50.4	65.1	105.0	151.9	180.0	204.6	189.1	135.0	102.3	54.0	43.4	322.0	570.4	291.2	144.0	1314.0
1908	43.4	58.0	77.5	114.0	158.1	183.0	198.4	186.0	147.0	102.3	51.0	31.0	349.6	570.4	300.3	127.4	1354.2
1909	40.3	50.4	93.0	99.0	173.6	183.0	213.9	195.3	153.0	108.5	72.0	55.8	368.0	588.8	336.7	171.0	1423.5
1910	49.6	64.4	68.2	126.0	151.9	177.0	204.6	192.2	153.0	96.1	63.0	40.3	340.4	570.4	309.4	117.0	1387.0
1911	43.4	33.6	65.1	108.0	148.8	180.0	204.6	189.1	150.0	114.7	72.0	46.5	322.0	570.4	336.7	153.0	1350.5
1912	43.4	63.8	93.0	120.0	139.5	183.0	201.5	189.1	147.0	105.4	66.0	43.4	349.6	570.4	318.5	145.6	1390.8
1913	43.4	53.2	93.0	114.0	148.8	174.0	201.5	189.1	156.0	111.6	63.0	43.4	358.8	561.2	336.7	144.0	1387.0
1914	46.5	56.0	93.0	102.0	155.0	183.0	204.6	192.2	147.0	99.2	60.0	46.5	349.6	579.6	309.4	171.0	1387.0
1915	65.1	61.6	86.8	111.0	148.8	189.0	210.8	192.2	147.0	108.5	66.0	55.8	349.6	588.8	318.5	162.0	1423.5
1916	46.5	60.9	93.0	117.0	164.3	201.0	220.1	189.1	147.0	105.4	78.0	58.9	377.2	607.2	327.6	182.0	1500.6
1917	58.9	56.0	93.0	126.0	142.6	177.0	204.6	192.2	147.0	105.4	78.0	43.4	368.0	579.6	327.6	144.0	1423.5
1918	46.5	53.2	80.6	108.0	148.8	177.0	204.6	189.1	156.0	124.0	75.0	46.5	340.4	570.4	354.9	171.0	1423.5
1919	62.0	64.4	93.0	114.0	139.5	171.0	204.6	182.9	156.0	117.8	78.0	46.5	349.6	561.2	354.9	135.0	1423.5
1920	52.7	37.7	83.7	120.0	158.1	189.0	213.9	198.4	147.0	99.2	54.0	37.2	368.0	598.0	300.3	127.4	1390.8
1921	46.5	39.2	71.3	108.0	155.0	174.0	207.7	198.4	141.0	99.2	63.0	40.3	331.2	579.6	300.3	144.0	1350.5
