Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Faeroes              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	9.3	11.2	18.6	33.0	55.8	57.0	62.0	46.5	27.0	21.7	18.0	9.3	110.4	165.6	63.7	27.0	365.0
1902	9.3	11.2	21.7	42.0	46.5	57.0	55.8	46.5	36.0	24.8	15.0	12.4	110.4	156.4	72.8	36.0	365.0
1903	9.3	14.0	18.6	30.0	52.7	57.0	49.6	46.5	33.0	18.6	9.0	9.3	101.2	156.4	63.7	27.0	365.0
1904	12.4	8.7	21.7	33.0	49.6	60.0	58.9	46.5	36.0	18.6	9.0	6.2	101.2	165.6	63.7	27.3	366.0
1905	9.3	11.2	18.6	30.0	52.7	63.0	55.8	43.4	33.0	18.6	9.0	6.2	101.2	165.6	63.7	27.0	365.0
1906	9.3	8.4	21.7	36.0	43.4	57.0	55.8	46.5	39.0	24.8	9.0	9.3	101.2	156.4	72.8	27.0	365.0
1907	6.2	11.2	21.7	33.0	46.5	45.0	49.6	37.2	33.0	18.6	12.0	6.2	101.2	138.0	63.7	27.0	328.5
1908	9.3	8.7	18.6	30.0	46.5	57.0	49.6	43.4	30.0	18.6	12.0	6.2	101.2	147.2	63.7	27.3	329.4
1909	6.2	11.2	18.6	33.0	49.6	54.0	49.6	43.4	33.0	12.4	9.0	6.2	101.2	147.2	54.6	27.0	328.5
1910	9.3	11.2	21.7	30.0	52.7	57.0	49.6	43.4	30.0	21.7	6.0	3.1	101.2	147.2	54.6	27.0	328.5
1911	6.2	11.2	21.7	33.0	52.7	51.0	55.8	46.5	30.0	21.7	12.0	6.2	110.4	156.4	63.7	27.0	365.0
1912	9.3	11.6	21.7	33.0	46.5	51.0	49.6	37.2	30.0	18.6	6.0	9.3	101.2	138.0	54.6	27.3	329.4
1913	3.1	11.2	18.6	33.0	46.5	54.0	52.7	46.5	33.0	18.6	9.0	3.1	101.2	156.4	63.7	18.0	328.5
1914	6.2	8.4	18.6	30.0	46.5	57.0	52.7	46.5	30.0	15.5	12.0	6.2	92.0	156.4	54.6	18.0	328.5
1915	6.2	5.6	18.6	30.0	49.6	57.0	49.6	40.3	30.0	21.7	9.0	6.2	101.2	147.2	63.7	27.0	328.5
1916	9.3	8.7	15.5	30.0	46.5	48.0	49.6	46.5	27.0	18.6	6.0	3.1	92.0	147.2	54.6	18.2	329.4
1917	6.2	11.2	18.6	27.0	49.6	54.0	58.9	43.4	30.0	12.4	9.0	3.1	92.0	156.4	54.6	18.0	328.5
1918	6.2	11.2	21.7	33.0	52.7	54.0	49.6	40.3	27.0	18.6	9.0	6.2	101.2	147.2	54.6	18.0	328.5
1919	6.2	8.4	15.5	27.0	55.8	51.0	46.5	40.3	27.0	18.6	9.0	6.2	101.2	138.0	54.6	18.0	328.5
1920	6.2	5.8	15.5	24.0	43.4	57.0	49.6	43.4	30.0	18.6	9.0	3.1	82.8	147.2	54.6	18.2	292.8
1921	6.2	8.4	18.6	36.0	46.5	57.0	55.8	43.4	30.0	18.6	12.0	12.4	101.2	156.4	63.7	36.0	365.0
1922	9.3	11.2	21.7	30.0	46.5	51.0	49.6	40.3	33.0	24.8	15.0	6.2	101.2	138.0	72.8	27.0	328.5
1923	9.3	8.4	24.8	33.0	43.4	51.0	52.7	43.4	30.0	18.6	9.0	9.3	101.2	147.2	54.6	36.0	328.5
1924	12.4	11.6	18.6	33.0	46.5	51.0	55.8	40.3	30.0	21.7	12.0	9.3	101.2	147.2	63.7	27.3	329.4
1925	9.3	11.2	21.7	33.0	43.4	57.0	55.8	43.4	27.0	18.6	12.0	9.3	101.2	156.4	54.6	36.0	328.5
1926	9.3	14.0	21.7	36.0	49.6	54.0	58.9	49.6	33.0	12.4	12.0	9.3	110.4	165.6	63.7	27.0	365.0
1927	6.2	11.2	24.8	24.0	49.6	54.0	55.8	49.6	30.0	21.7	12.0	6.2	101.2	156.4	63.7	36.0	328.5
1928	9.3	14.5	18.6	36.0	52.7	54.0	49.6	46.5	39.0	21.7	12.0	6.2	110.4	156.4	72.8	27.3	366.0
1929	12.4	11.2	34.1	33.0	52.7	54.0	52.7	46.5	30.0	15.5	6.0	6.2	119.6	156.4	54.6	27.0	365.0
1930	6.2	11.2	21.7	36.0	49.6	60.0	49.6	40.3	33.0	15.5	12.0	6.2	110.4	156.4	54.6	27.0	328.5
1931	9.3	8.4	18.6	33.0	46.5	54.0	49.6	46.5	33.0	21.7	9.0	9.3	101.2	147.2	63.7	36.0	328.5
1932	12.4	14.5	21.7	30.0	46.5	57.0	52.7	46.5	30.0	18.6	12.0	9.3	101.2	156.4	63.7	27.3	366.0
1933	6.2	11.2	21.7	30.0	49.6	60.0	55.8	49.6	33.0	18.6	12.0	6.2	101.2	165.6	63.7	27.0	365.0
1934	9.3	11.2	18.6	30.0	52.7	57.0	55.8	43.4	30.0	18.6	12.0	3.1	101.2	156.4	63.7	27.0	328.5
1935	9.3	8.4	21.7	30.0	49.6	54.0	55.8	46.5	27.0	15.5	9.0	6.2	101.2	156.4	54.6	18.0	328.5
1936	6.2	8.7	18.6	33.0	52.7	60.0	52.7	46.5	30.0	21.7	12.0	6.2	101.2	156.4	63.7	27.3	366.0
