Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Galapagos_Isl        : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1902	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1903	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1904	117.8	116.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	345.8	1244.4
1905	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1906	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1907	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1908	117.8	116.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	345.8	1244.4
1909	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1910	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1911	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1912	117.8	116.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	345.8	1244.4
1913	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1914	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1915	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1916	117.8	116.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	345.8	1244.4
1917	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1918	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
1919	117.8	112.0	124.0	114.0	105.4	87.0	86.8	86.8	87.0	96.1	102.0	108.5	340.4	266.8	282.1	342.0	1241.0
