Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Indonesia            : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	105.4	95.2	111.6	105.0	108.5	99.0	108.5	111.6	111.0	117.8	108.0	102.3	322.0	312.8	336.7	297.0	1277.5
1902	99.2	92.4	108.5	105.0	108.5	96.0	105.4	111.6	111.0	117.8	108.0	102.3	322.0	312.8	336.7	306.0	1277.5
1903	105.4	95.2	108.5	105.0	108.5	96.0	105.4	114.7	111.0	114.7	108.0	99.2	322.0	312.8	336.7	288.0	1277.5
1904	96.1	95.7	111.6	102.0	105.4	96.0	108.5	108.5	114.0	114.7	108.0	99.2	312.8	312.8	336.7	300.3	1244.4
1905	102.3	92.4	111.6	105.0	108.5	99.0	105.4	111.6	111.0	117.8	108.0	105.4	322.0	312.8	336.7	315.0	1277.5
1906	105.4	100.8	111.6	105.0	108.5	99.0	108.5	111.6	111.0	114.7	108.0	102.3	322.0	322.0	336.7	297.0	1277.5
1907	99.2	92.4	105.4	102.0	105.4	96.0	102.3	111.6	114.0	114.7	108.0	99.2	312.8	312.8	336.7	297.0	1241.0
1908	102.3	98.6	108.5	105.0	105.4	93.0	108.5	111.6	114.0	114.7	108.0	102.3	322.0	312.8	336.7	300.3	1281.0
1909	102.3	95.2	108.5	105.0	105.4	99.0	105.4	114.7	111.0	114.7	108.0	99.2	322.0	322.0	336.7	297.0	1277.5
1910	102.3	95.2	108.5	102.0	105.4	96.0	108.5	114.7	114.0	114.7	108.0	102.3	312.8	312.8	336.7	306.0	1277.5
1911	102.3	98.0	111.6	105.0	105.4	96.0	105.4	111.6	111.0	117.8	111.0	105.4	322.0	312.8	336.7	306.0	1277.5
1912	105.4	101.5	111.6	108.0	108.5	99.0	108.5	114.7	114.0	117.8	111.0	105.4	331.2	322.0	336.7	309.4	1317.6
1913	105.4	98.0	111.6	105.0	105.4	96.0	105.4	111.6	111.0	117.8	111.0	105.4	322.0	312.8	336.7	306.0	1277.5
1914	102.3	98.0	111.6	108.0	108.5	96.0	105.4	111.6	114.0	117.8	111.0	108.5	331.2	312.8	345.8	306.0	1277.5
1915	102.3	98.0	114.7	108.0	108.5	102.0	108.5	117.8	117.0	117.8	114.0	102.3	331.2	331.2	345.8	297.0	1314.0
1916	99.2	98.6	111.6	108.0	105.4	96.0	108.5	114.7	114.0	117.8	111.0	102.3	322.0	322.0	345.8	300.3	1281.0
1917	99.2	95.2	108.5	105.0	102.3	96.0	108.5	114.7	117.0	120.9	111.0	105.4	312.8	322.0	345.8	288.0	1277.5
1918	96.1	89.6	108.5	105.0	105.4	96.0	105.4	111.6	114.0	117.8	111.0	102.3	312.8	312.8	345.8	306.0	1277.5
1919	105.4	100.8	111.6	108.0	105.4	96.0	102.3	111.6	111.0	117.8	108.0	105.4	322.0	312.8	336.7	297.0	1277.5
1920	102.3	98.6	111.6	105.0	108.5	102.0	111.6	117.8	117.0	120.9	111.0	99.2	322.0	331.2	345.8	300.3	1317.6
1921	102.3	95.2	108.5	105.0	105.4	99.0	108.5	114.7	114.0	117.8	108.0	102.3	312.8	322.0	336.7	306.0	1277.5
1922	102.3	95.2	105.4	105.0	102.3	96.0	105.4	108.5	114.0	117.8	111.0	105.4	312.8	312.8	345.8	306.0	1277.5
1923	102.3	98.0	108.5	108.0	105.4	96.0	102.3	108.5	111.0	117.8	111.0	105.4	322.0	303.6	336.7	306.0	1277.5
1924	105.4	101.5	108.5	105.0	108.5	99.0	108.5	114.7	114.0	114.7	108.0	102.3	322.0	322.0	336.7	300.3	1281.0
1925	102.3	92.4	105.4	105.0	105.4	96.0	105.4	114.7	114.0	114.7	111.0	105.4	312.8	312.8	336.7	306.0	1277.5
1926	102.3	100.8	114.7	111.0	108.5	99.0	108.5	117.8	117.0	117.8	111.0	105.4	331.2	322.0	345.8	306.0	1314.0
1927	102.3	100.8	111.6	108.0	105.4	99.0	108.5	114.7	114.0	117.8	111.0	105.4	322.0	322.0	345.8	315.0	1314.0
1928	105.4	101.5	111.6	108.0	108.5	96.0	108.5	117.8	117.0	120.9	111.0	105.4	322.0	322.0	345.8	309.4	1317.6
1929	102.3	95.2	105.4	105.0	102.3	96.0	102.3	114.7	114.0	117.8	108.0	102.3	312.8	312.8	336.7	306.0	1277.5
1930	105.4	98.0	108.5	108.0	108.5	96.0	108.5	117.8	114.0	117.8	108.0	105.4	322.0	322.0	345.8	315.0	1277.5
1931	105.4	100.8	114.7	108.0	108.5	102.0	108.5	117.8	117.0	117.8	111.0	105.4	331.2	331.2	345.8	306.0	1314.0
1932	105.4	101.5	108.5	108.0	108.5	99.0	105.4	114.7	114.0	120.9	108.0	105.4	322.0	312.8	345.8	309.4	1281.0
1933	105.4	98.0	108.5	105.0	108.5	99.0	105.4	117.8	114.0	117.8	108.0	102.3	322.0	322.0	336.7	297.0	1277.5
1934	102.3	92.4	105.4	105.0	105.4	99.0	108.5	114.7	114.0	117.8	108.0	105.4	312.8	322.0	336.7	315.0	1277.5
1935	105.4	100.8	111.6	105.0	105.4	96.0	105.4	111.6	114.0	117.8	111.0	108.5	322.0	312.8	345.8	315.0	1277.5
1936	105.4	104.4	111.6	105.0	105.4	96.0	108.5	114.7	114.0	117.8	108.0	105.4	322.0	322.0	336.7	318.5	1317.6
1937	102.3	100.8	114.7	105.0	105.4	99.0	105.4	111.6	117.0	117.8	111.0	105.4	322.0	312.8	345.8	306.0	1277.5
1938	105.4	98.0	111.6	108.0	105.4	96.0	105.4	114.7	114.0	117.8	108.0	105.4	322.0	312.8	336.7	306.0	1277.5
1939	102.3	98.0	108.5	105.0	105.4	96.0	108.5	114.7	111.0	114.7	108.0	105.4	322.0	322.0	336.7	306.0	1277.5
1940	102.3	101.5	111.6	108.0	102.3	96.0	108.5	111.6	114.0	120.9	111.0	108.5	322.0	312.8	345.8	318.5	1281.0
1941	108.5	98.0	111.6	108.0	108.5	99.0	105.4	111.6	114.0	120.9	108.0	105.4	331.2	312.8	336.7	306.0	1314.0
1942	105.4	98.0	111.6	105.0	105.4	99.0	102.3	111.6	114.0	117.8	108.0	102.3	322.0	312.8	336.7	297.0	1277.5
1943	99.2	95.2	105.4	102.0	102.3	93.0	105.4	111.6	114.0	114.7	105.0	102.3	312.8	312.8	336.7	297.0	1241.0
1944	102.3	98.6	108.5	105.0	102.3	93.0	102.3	111.6	114.0	117.8	108.0	102.3	312.8	303.6	336.7	309.4	1281.0
