Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Lebanon              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	37.2	72.8	111.6	126.0	133.3	189.0	201.5	182.9	141.0	102.3	60.0	55.8	377.2	579.6	300.3	171.0	1423.5
1902	46.5	64.4	77.5	117.0	155.0	174.0	207.7	189.1	153.0	105.4	51.0	34.1	349.6	570.4	309.4	99.0	1387.0
1903	31.0	39.2	62.0	108.0	148.8	168.0	179.8	173.6	129.0	93.0	51.0	43.4	322.0	524.4	273.0	135.0	1241.0
1904	37.2	58.0	71.3	93.0	133.3	168.0	186.0	179.8	135.0	108.5	57.0	31.0	294.4	533.6	300.3	91.0	1244.4
1905	27.9	30.8	58.9	105.0	145.7	171.0	198.4	182.9	144.0	108.5	69.0	31.0	312.8	552.0	327.6	117.0	1277.5
1906	37.2	47.6	77.5	102.0	136.4	183.0	192.2	179.8	132.0	99.2	60.0	49.6	312.8	561.2	291.2	135.0	1314.0
1907	34.1	44.8	58.9	96.0	145.7	174.0	198.4	179.8	129.0	96.1	48.0	37.2	303.6	552.0	273.0	126.0	1241.0
1908	34.1	52.2	71.3	108.0	151.9	180.0	186.0	176.7	144.0	96.1	45.0	27.9	331.2	542.8	282.1	109.2	1281.0
1909	34.1	44.8	89.9	87.0	170.5	177.0	207.7	186.0	141.0	102.3	66.0	49.6	349.6	570.4	309.4	153.0	1350.5
1910	43.4	61.6	58.9	117.0	145.7	174.0	195.3	182.9	147.0	93.0	60.0	31.0	322.0	552.0	300.3	90.0	1314.0
1911	34.1	28.0	55.8	99.0	142.6	174.0	195.3	179.8	141.0	108.5	66.0	40.3	294.4	552.0	318.5	135.0	1277.5
1912	37.2	60.9	86.8	117.0	130.2	180.0	195.3	182.9	141.0	102.3	63.0	40.3	331.2	561.2	309.4	127.4	1317.6
1913	37.2	47.6	89.9	102.0	145.7	171.0	192.2	186.0	150.0	108.5	60.0	37.2	331.2	552.0	318.5	135.0	1314.0
1914	40.3	50.4	86.8	90.0	151.9	180.0	198.4	186.0	141.0	96.1	54.0	40.3	331.2	561.2	291.2	153.0	1314.0
1915	52.7	56.0	83.7	102.0	142.6	183.0	201.5	182.9	141.0	105.4	63.0	49.6	331.2	570.4	309.4	144.0	1350.5
