Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Macedonia            : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	18.6	30.8	58.9	84.0	108.5	129.0	155.0	133.3	93.0	55.8	27.0	21.7	248.4	414.0	182.0	81.0	912.5
1902	21.7	33.6	52.7	81.0	99.2	126.0	151.9	139.5	96.0	58.9	24.0	18.6	230.0	414.0	182.0	72.0	912.5
1903	21.7	33.6	58.9	78.0	111.6	123.0	148.8	139.5	96.0	58.9	30.0	21.7	248.4	414.0	182.0	81.0	912.5
1904	18.6	37.7	52.7	84.0	111.6	129.0	158.1	139.5	87.0	55.8	24.0	18.6	248.4	423.2	172.9	63.7	915.0
1905	18.6	25.2	52.7	78.0	111.6	126.0	158.1	142.6	96.0	49.6	33.0	18.6	239.2	432.4	182.0	72.0	912.5
1906	21.7	30.8	58.9	84.0	105.4	126.0	155.0	136.4	90.0	55.8	30.0	18.6	248.4	414.0	172.9	63.0	912.5
1907	18.6	25.2	43.4	72.0	117.8	129.0	151.9	139.5	93.0	62.0	27.0	21.7	239.2	423.2	182.0	72.0	912.5
1908	21.7	29.0	52.7	78.0	120.9	132.0	151.9	136.4	90.0	55.8	24.0	18.6	248.4	423.2	172.9	63.7	915.0
1909	18.6	22.4	55.8	84.0	108.5	126.0	151.9	139.5	96.0	55.8	27.0	21.7	248.4	414.0	182.0	81.0	912.5
1910	21.7	33.6	49.6	81.0	105.4	126.0	148.8	136.4	90.0	52.7	27.0	18.6	239.2	414.0	172.9	54.0	876.0
1911	15.5	19.6	46.5	72.0	99.2	123.0	148.8	136.4	90.0	52.7	27.0	15.5	211.6	404.8	172.9	63.0	839.5
1912	12.4	31.9	55.8	66.0	96.1	123.0	142.6	127.1	75.0	43.4	21.0	15.5	220.8	395.6	136.5	54.6	805.2
1913	15.5	22.4	55.8	75.0	96.1	117.0	133.3	124.0	90.0	49.6	24.0	15.5	220.8	377.2	163.8	54.0	803.0
1914	12.4	25.2	52.7	78.0	99.2	114.0	142.6	133.3	81.0	43.4	18.0	18.6	230.0	386.4	136.5	72.0	803.0
1915	27.9	28.0	46.5	75.0	105.4	129.0	148.8	124.0	81.0	49.6	21.0	24.8	230.0	404.8	145.6	72.0	839.5
1916	18.6	26.1	55.8	75.0	102.3	129.0	148.8	127.1	81.0	49.6	27.0	21.7	230.0	404.8	154.7	63.7	841.8
1917	21.7	19.6	46.5	72.0	102.3	123.0	145.7	139.5	93.0	52.7	24.0	9.3	220.8	404.8	172.9	45.0	839.5
1918	18.6	22.4	43.4	72.0	102.3	114.0	142.6	130.2	93.0	52.7	21.0	15.5	220.8	386.4	163.8	63.0	803.0
1919	24.8	28.0	55.8	75.0	80.6	117.0	139.5	130.2	96.0	49.6	24.0	15.5	211.6	386.4	172.9	54.0	839.5
1920	18.6	20.3	49.6	81.0	105.4	117.0	148.8	130.2	84.0	40.3	12.0	12.4	239.2	395.6	136.5	54.6	805.2
1921	18.6	19.6	49.6	69.0	108.5	114.0	148.8	139.5	84.0	49.6	21.0	15.5	230.0	404.8	154.7	54.0	839.5
1922	15.5	22.4	58.9	75.0	102.3	123.0	151.9	136.4	87.0	49.6	18.0	9.3	239.2	414.0	154.7	54.0	839.5
1923	15.5	25.2	49.6	72.0	111.6	114.0	148.8	133.3	93.0	55.8	33.0	18.6	230.0	395.6	182.0	54.0	876.0
1924	12.4	23.2	46.5	78.0	111.6	126.0	145.7	130.2	96.0	49.6	18.0	12.4	230.0	404.8	163.8	63.7	841.8
1925	15.5	33.6	46.5	75.0	102.3	111.0	145.7	130.2	87.0	52.7	27.0	15.5	220.8	386.4	163.8	63.0	839.5
1926	21.7	28.0	46.5	84.0	99.2	120.0	139.5	124.0	90.0	55.8	33.0	15.5	230.0	386.4	182.0	54.0	839.5
1927	18.6	22.4	58.9	78.0	102.3	132.0	155.0	139.5	96.0	55.8	27.0	15.5	239.2	423.2	182.0	54.0	912.5
1928	18.6	23.2	43.4	81.0	96.1	123.0	158.1	139.5	93.0	52.7	27.0	12.4	220.8	414.0	172.9	54.6	878.4
1929	15.5	19.6	40.3	69.0	111.6	123.0	151.9	145.7	84.0	52.7	27.0	18.6	220.8	423.2	163.8	63.0	839.5
1930	18.6	25.2	55.8	78.0	99.2	123.0	151.9	136.4	93.0	52.7	24.0	18.6	230.0	414.0	172.9	63.0	876.0
1931	21.7	28.0	49.6	66.0	108.5	129.0	158.1	139.5	81.0	52.7	18.0	12.4	220.8	432.4	154.7	36.0	876.0
1932	12.4	14.5	37.2	78.0	105.4	123.0	158.1	136.4	102.0	65.1	21.0	18.6	220.8	414.0	191.1	54.6	878.4
1933	12.4	25.2	46.5	63.0	89.9	108.0	142.6	130.2	81.0	55.8	30.0	9.3	202.4	377.2	163.8	45.0	803.0
1934	15.5	22.4	62.0	93.0	114.7	126.0	151.9	136.4	90.0	55.8	30.0	15.5	266.8	414.0	172.9	54.0	912.5
1935	15.5	25.2	43.4	75.0	105.4	132.0	148.8	136.4	93.0	62.0	21.0	21.7	220.8	414.0	172.9	81.0	876.0
1936	27.9	29.0	58.9	75.0	96.1	111.0	151.9	127.1	84.0	43.4	21.0	12.4	230.0	386.4	145.6	54.6	841.8
1937	12.4	30.8	62.0	69.0	105.4	132.0	148.8	130.2	96.0	49.6	24.0	18.6	239.2	414.0	163.8	54.0	876.0
1938	15.5	22.4	49.6	63.0	99.2	129.0	158.1	136.4	84.0	55.8	24.0	15.5	211.6	423.2	163.8	72.0	839.5
1939	24.8	28.0	40.3	81.0	102.3	117.0	158.1	133.3	87.0	52.7	21.0	15.5	220.8	404.8	163.8	54.0	839.5
1940	9.3	26.1	43.4	69.0	89.9	117.0	145.7	120.9	87.0	52.7	30.0	6.2	202.4	377.2	163.8	63.7	805.2
1941	18.6	33.6	49.6	78.0	96.1	120.0	145.7	133.3	75.0	46.5	15.0	9.3	220.8	395.6	136.5	45.0	803.0
1942	9.3	22.4	40.3	66.0	108.5	135.0	155.0	133.3	102.0	52.7	18.0	12.4	220.8	423.2	172.9	54.0	839.5
1943	12.4	25.2	46.5	81.0	96.1	114.0	155.0	148.8	93.0	52.7	30.0	15.5	220.8	414.0	172.9	54.0	876.0
1944	12.4	23.2	34.1	69.0	89.9	126.0	139.5	130.2	84.0	49.6	24.0	12.4	193.2	395.6	154.7	45.5	805.2
1945	15.5	19.6	40.3	72.0	120.9	129.0	155.0	139.5	90.0	46.5	21.0	12.4	239.2	423.2	154.7	45.0	839.5
1946	15.5	22.4	43.4	81.0	108.5	135.0	167.4	151.9	105.0	43.4	24.0	9.3	230.0	450.8	172.9	45.0	912.5
1947	6.2	25.2	62.0	93.0	111.6	129.0	155.0	133.3	93.0	49.6	24.0	15.5	266.8	414.0	163.8	63.0	876.0
1948	24.8	20.3	46.5	81.0	102.3	105.0	139.5	136.4	90.0	55.8	18.0	6.2	230.0	377.2	163.8	45.5	805.2
1949	15.5	19.6	37.2	78.0	111.6	111.0	136.4	124.0	84.0	52.7	24.0	15.5	220.8	368.0	163.8	63.0	803.0
1950	15.5	28.0	49.6	81.0	108.5	135.0	167.4	142.6	96.0	49.6	24.0	18.6	239.2	441.6	172.9	72.0	912.5
1951	21.7	33.6	52.7	81.0	108.5	132.0	151.9	142.6	90.0	52.7	27.0	18.6	239.2	423.2	172.9	72.0	912.5
1952	21.7	29.0	58.9	96.0	102.3	135.0	164.3	164.3	99.0	52.7	30.0	21.7	257.6	460.0	182.0	81.9	988.2
1953	21.7	33.6	49.6	84.0	102.3	117.0	161.2	136.4	99.0	49.6	27.0	15.5	239.2	414.0	182.0	63.0	912.5
1954	21.7	25.2	46.5	75.0	99.2	135.0	158.1	142.6	102.0	55.8	24.0	18.6	220.8	441.6	182.0	81.0	912.5
1955	21.7	39.2	49.6	69.0	117.8	129.0	145.7	117.8	84.0	52.7	30.0	21.7	230.0	386.4	163.8	63.0	876.0
1956	21.7	17.4	40.3	81.0	108.5	114.0	158.1	155.0	99.0	55.8	33.0	18.6	230.0	423.2	191.1	72.8	915.0
1957	18.6	30.8	58.9	81.0	89.9	129.0	148.8	136.4	87.0	55.8	27.0	21.7	230.0	414.0	172.9	81.0	876.0
1958	21.7	36.4	46.5	69.0	120.9	126.0	158.1	145.7	90.0	52.7	27.0	18.6	230.0	432.4	172.9	63.0	912.5
1959	18.6	28.0	58.9	84.0	102.3	120.0	145.7	127.1	87.0	52.7	24.0	24.8	248.4	395.6	163.8	81.0	876.0
1960	21.7	31.9	49.6	78.0	99.2	120.0	142.6	145.7	87.0	55.8	27.0	21.7	230.0	414.0	172.9	72.8	878.4
1961	18.6	25.2	62.0	90.0	105.4	126.0	158.1	145.7	105.0	58.9	30.0	21.7	257.6	432.4	191.1	63.0	949.0
1962	21.7	25.2	46.5	84.0	117.8	129.0	158.1	155.0	99.0	55.8	27.0	18.6	248.4	441.6	182.0	72.0	949.0
1963	24.8	28.0	52.7	78.0	105.4	132.0	151.9	151.9	99.0	52.7	33.0	24.8	239.2	432.4	182.0	81.0	949.0
1964	21.7	31.9	52.7	87.0	99.2	129.0	151.9	133.3	87.0	55.8	30.0	18.6	239.2	414.0	172.9	63.7	878.4
1965	18.6	25.2	52.7	72.0	105.4	132.0	161.2	127.1	93.0	62.0	36.0	21.7	230.0	423.2	191.1	72.0	912.5
1966	18.6	33.6	49.6	75.0	108.5	126.0	151.9	133.3	90.0	58.9	30.0	21.7	230.0	404.8	182.0	72.0	876.0
1967	21.7	28.0	52.7	75.0	108.5	120.0	148.8	142.6	90.0	55.8	27.0	21.7	239.2	414.0	172.9	72.0	876.0
1968	18.6	29.0	55.8	99.0	117.8	123.0	158.1	120.9	87.0	52.7	30.0	21.7	276.0	395.6	172.9	72.8	915.0
1969	18.6	30.8	46.5	78.0	124.0	114.0	139.5	136.4	93.0	58.9	33.0	21.7	248.4	386.4	182.0	81.0	912.5
1970	21.7	30.8	52.7	78.0	93.0	132.0	142.6	136.4	93.0	55.8	30.0	18.6	220.8	414.0	172.9	72.0	876.0
1971	24.8	25.2	40.3	81.0	111.6	132.0	139.5	148.8	78.0	55.8	27.0	15.5	239.2	423.2	163.8	72.0	876.0
1972	27.9	29.0	68.2	75.0	108.5	141.0	130.2	117.8	72.0	40.3	27.0	15.5	248.4	386.4	136.5	63.7	841.8
1973	21.7	22.4	46.5	69.0	108.5	129.0	145.7	127.1	93.0	58.9	30.0	24.8	220.8	395.6	182.0	81.0	876.0
1974	27.9	30.8	58.9	75.0	93.0	117.0	158.1	139.5	93.0	46.5	27.0	15.5	230.0	414.0	163.8	63.0	876.0
1975	12.4	30.8	55.8	84.0	99.2	114.0	145.7	120.9	105.0	55.8	27.0	21.7	239.2	377.2	191.1	81.0	876.0
1976	21.7	37.7	52.7	78.0	108.5	120.0	139.5	108.5	81.0	49.6	21.0	18.6	239.2	368.0	154.7	72.8	841.8
1977	21.7	33.6	62.0	81.0	114.7	126.0	158.1	139.5	84.0	58.9	27.0	21.7	257.6	423.2	172.9	72.0	912.5
1978	24.8	28.0	49.6	69.0	96.1	129.0	161.2	136.4	78.0	49.6	21.0	24.8	220.8	423.2	145.6	81.0	876.0
1979	18.6	33.6	62.0	75.0	105.4	132.0	142.6	117.8	90.0	55.8	27.0	21.7	239.2	395.6	172.9	72.0	876.0
1980	21.7	29.0	52.7	72.0	86.8	126.0	148.8	136.4	93.0	52.7	30.0	15.5	211.6	404.8	172.9	63.7	878.4
1981	18.6	28.0	58.9	93.0	108.5	138.0	145.7	133.3	87.0	55.8	24.0	21.7	257.6	414.0	163.8	72.0	912.5
1982	24.8	30.8	52.7	72.0	111.6	141.0	145.7	130.2	99.0	52.7	30.0	18.6	239.2	414.0	182.0	63.0	912.5
1983	18.6	28.0	62.0	87.0	117.8	111.0	145.7	127.1	93.0	55.8	30.0	21.7	266.8	386.4	182.0	63.0	876.0
1984	18.6	26.1	46.5	69.0	111.6	132.0	155.0	117.8	87.0	55.8	30.0	21.7	230.0	404.8	172.9	72.8	878.4
1985	21.7	30.8	46.5	84.0	111.6	126.0	164.3	145.7	105.0	58.9	30.0	18.6	239.2	432.4	191.1	63.0	949.0
1986	18.6	28.0	49.6	93.0	114.7	117.0	139.5	151.9	102.0	58.9	30.0	21.7	257.6	404.8	191.1	72.0	912.5
1987	21.7	30.8	40.3	84.0	99.2	132.0	164.3	142.6	114.0	55.8	27.0	21.7	220.8	441.6	200.2	72.0	949.0
