Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Niue                 : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	111.6	98.0	93.0	93.0	68.2	60.0	52.7	68.2	69.0	77.5	84.0	105.4	257.6	184.0	227.5	315.0	985.5
1902	111.6	98.0	102.3	78.0	68.2	51.0	58.9	68.2	78.0	89.9	90.0	105.4	248.4	174.8	254.8	297.0	985.5
1903	99.2	95.2	111.6	84.0	71.3	57.0	62.0	74.4	81.0	86.8	81.0	93.0	266.8	193.2	245.7	279.0	985.5
1904	96.1	92.8	93.0	69.0	65.1	60.0	55.8	58.9	75.0	83.7	87.0	108.5	230.0	174.8	245.7	318.5	951.6
1905	105.4	98.0	102.3	75.0	65.1	51.0	52.7	62.0	72.0	86.8	84.0	99.2	239.2	165.6	245.7	324.0	949.0
1906	117.8	103.6	96.1	84.0	65.1	57.0	46.5	71.3	66.0	83.7	81.0	96.1	248.4	174.8	227.5	297.0	985.5
1907	111.6	92.4	89.9	81.0	55.8	54.0	46.5	62.0	66.0	93.0	90.0	89.9	230.0	165.6	245.7	297.0	949.0
1908	111.6	98.6	96.1	84.0	62.0	54.0	52.7	80.6	75.0	93.0	90.0	105.4	239.2	184.0	254.8	300.3	988.2
1909	102.3	89.6	89.9	69.0	52.7	48.0	55.8	83.7	75.0	93.0	93.0	102.3	211.6	184.0	263.9	324.0	949.0
1910	114.7	103.6	99.2	81.0	68.2	60.0	74.4	65.1	96.0	102.3	81.0	114.7	248.4	202.4	282.1	333.0	1058.5
1911	114.7	103.6	99.2	87.0	68.2	63.0	62.0	74.4	75.0	99.2	99.0	120.9	257.6	202.4	273.0	351.0	1058.5
1912	127.1	110.2	105.4	75.0	68.2	63.0	65.1	80.6	84.0	93.0	99.0	108.5	248.4	211.6	273.0	336.7	1061.4
1913	124.0	98.0	111.6	96.0	68.2	57.0	62.0	77.5	78.0	83.7	93.0	99.2	276.0	193.2	254.8	315.0	1058.5
1914	114.7	103.6	114.7	81.0	77.5	66.0	55.8	62.0	66.0	96.1	90.0	108.5	276.0	184.0	254.8	333.0	1022.0
1915	130.2	95.2	108.5	78.0	62.0	51.0	55.8	65.1	78.0	96.1	81.0	102.3	248.4	174.8	254.8	306.0	1022.0
