Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Oman                 : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	102.3	103.6	148.8	174.0	207.7	183.0	161.2	145.7	150.0	145.7	120.0	114.7	533.6	487.6	418.6	342.0	1752.0
1902	114.7	114.8	161.2	177.0	195.3	177.0	142.6	136.4	141.0	139.5	105.0	93.0	533.6	460.0	382.2	288.0	1679.0
1903	99.2	95.2	130.2	150.0	195.3	177.0	142.6	151.9	144.0	130.2	99.0	96.1	478.4	469.2	373.1	306.0	1606.0
1904	108.5	107.3	133.3	159.0	182.9	165.0	145.7	133.3	132.0	133.3	120.0	102.3	478.4	450.8	391.3	291.2	1610.4
1905	96.1	95.2	127.1	162.0	189.1	171.0	145.7	142.6	141.0	145.7	117.0	99.2	478.4	460.0	400.4	297.0	1642.5
1906	96.1	95.2	130.2	150.0	195.3	165.0	142.6	127.1	129.0	136.4	123.0	114.7	478.4	441.6	391.3	315.0	1606.0
1907	105.4	92.4	133.3	153.0	195.3	168.0	145.7	130.2	132.0	139.5	102.0	99.2	487.6	441.6	373.1	306.0	1606.0
1908	105.4	104.4	139.5	171.0	192.2	183.0	142.6	136.4	144.0	136.4	114.0	108.5	506.0	469.2	391.3	327.6	1683.6
1909	99.2	114.8	148.8	174.0	195.3	165.0	148.8	139.5	135.0	136.4	117.0	102.3	515.2	450.8	391.3	306.0	1679.0
1910	96.1	109.2	124.0	153.0	186.0	159.0	142.6	139.5	135.0	127.1	108.0	89.9	460.0	441.6	364.0	261.0	1569.5
1911	77.5	86.8	117.8	150.0	182.9	153.0	142.6	127.1	123.0	130.2	105.0	111.6	450.8	423.2	364.0	315.0	1496.5
1912	99.2	107.3	136.4	159.0	182.9	183.0	139.5	124.0	132.0	133.3	114.0	99.2	478.4	450.8	382.2	291.2	1610.4
