Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Puerto_Rica          : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	96.1	100.8	117.8	120.0	114.7	114.0	124.0	124.0	105.0	93.0	84.0	83.7	358.8	358.8	282.1	270.0	1277.5
1902	89.9	95.2	114.7	111.0	111.6	111.0	124.0	124.0	102.0	89.9	84.0	86.8	340.4	358.8	273.0	279.0	1241.0
1903	93.0	95.2	111.6	114.0	114.7	114.0	124.0	120.9	102.0	93.0	84.0	86.8	340.4	358.8	273.0	270.0	1241.0
1904	89.9	92.8	108.5	108.0	105.4	108.0	117.8	114.7	96.0	89.9	87.0	86.8	322.0	340.4	273.0	273.0	1207.8
1905	89.9	95.2	111.6	114.0	102.3	111.0	127.1	124.0	102.0	89.9	87.0	86.8	331.2	368.0	282.1	270.0	1241.0
1906	89.9	92.4	111.6	111.0	108.5	108.0	120.9	120.9	99.0	93.0	87.0	77.5	331.2	349.6	282.1	243.0	1204.5
1907	77.5	86.8	105.4	120.0	105.4	108.0	120.9	117.8	96.0	86.8	75.0	80.6	331.2	349.6	254.8	261.0	1168.0
1908	93.0	89.9	111.6	111.0	117.8	114.0	124.0	124.0	99.0	89.9	72.0	71.3	340.4	358.8	263.9	227.5	1207.8
1909	77.5	75.6	120.9	108.0	108.5	105.0	120.9	114.7	102.0	89.9	66.0	74.4	331.2	340.4	254.8	234.0	1168.0
1910	77.5	78.4	102.3	108.0	105.4	102.0	114.7	108.5	93.0	93.0	90.0	80.6	312.8	331.2	273.0	243.0	1168.0
1911	77.5	84.0	105.4	123.0	108.5	117.0	117.8	120.9	102.0	89.9	84.0	83.7	340.4	358.8	273.0	279.0	1204.5
1912	96.1	101.5	114.7	114.0	111.6	108.0	127.1	120.9	99.0	86.8	84.0	86.8	340.4	358.8	273.0	263.9	1244.4
1913	86.8	86.8	105.4	96.0	108.5	105.0	117.8	124.0	102.0	89.9	81.0	80.6	312.8	340.4	273.0	261.0	1168.0
1914	86.8	89.6	111.6	111.0	108.5	105.0	127.1	124.0	105.0	96.1	90.0	93.0	331.2	358.8	291.2	270.0	1241.0
1915	86.8	92.4	130.2	105.0	117.8	111.0	124.0	120.9	99.0	96.1	84.0	83.7	349.6	358.8	282.1	243.0	1241.0
1916	77.5	89.9	111.6	117.0	111.6	117.0	127.1	124.0	99.0	89.9	81.0	80.6	340.4	368.0	273.0	254.8	1244.4
1917	83.7	86.8	108.5	114.0	114.7	102.0	120.9	114.7	99.0	99.2	75.0	77.5	340.4	340.4	273.0	261.0	1204.5
1918	93.0	86.8	114.7	114.0	99.2	108.0	124.0	124.0	108.0	99.2	84.0	93.0	331.2	358.8	291.2	297.0	1241.0
1919	99.2	106.4	120.9	102.0	117.8	114.0	120.9	120.9	99.0	89.9	84.0	89.9	340.4	358.8	273.0	279.0	1277.5
1920	89.9	98.6	114.7	126.0	120.9	111.0	127.1	120.9	102.0	93.0	84.0	89.9	358.8	358.8	282.1	282.1	1281.0
1921	89.9	98.0	111.6	108.0	102.3	111.0	117.8	114.7	96.0	89.9	87.0	89.9	322.0	340.4	273.0	261.0	1204.5
1922	86.8	81.2	108.5	102.0	108.5	105.0	124.0	120.9	96.0	93.0	78.0	74.4	322.0	349.6	273.0	252.0	1168.0
1923	86.8	86.8	111.6	108.0	120.9	117.0	127.1	127.1	111.0	102.3	93.0	89.9	340.4	368.0	309.4	279.0	1277.5
1924	93.0	95.7	120.9	117.0	124.0	114.0	127.1	124.0	105.0	96.1	81.0	83.7	358.8	368.0	282.1	263.9	1281.0
1925	86.8	84.0	108.5	126.0	105.4	120.0	117.8	120.9	102.0	96.1	102.0	89.9	340.4	358.8	300.3	297.0	1277.5
1926	96.1	112.0	117.8	123.0	124.0	120.0	127.1	124.0	102.0	83.7	78.0	86.8	368.0	368.0	263.9	261.0	1277.5
1927	80.6	92.4	120.9	117.0	114.7	114.0	120.9	124.0	102.0	96.1	87.0	96.1	349.6	358.8	282.1	297.0	1277.5
1928	93.0	110.2	127.1	111.0	117.8	111.0	120.9	111.6	99.0	89.9	87.0	86.8	358.8	340.4	273.0	282.1	1281.0
1929	93.0	95.2	102.3	108.0	99.2	105.0	127.1	114.7	99.0	96.1	87.0	89.9	312.8	340.4	282.1	279.0	1204.5
1930	89.9	92.4	120.9	120.0	114.7	108.0	124.0	120.9	99.0	96.1	87.0	96.1	349.6	349.6	282.1	297.0	1277.5
1931	105.4	98.0	130.2	117.0	117.8	111.0	124.0	117.8	96.0	93.0	81.0	83.7	368.0	349.6	273.0	270.0	1277.5
1932	89.9	101.5	124.0	117.0	105.4	114.0	127.1	120.9	105.0	99.2	93.0	99.2	349.6	358.8	300.3	291.2	1281.0
1933	108.5	84.0	114.7	120.0	108.5	114.0	124.0	120.9	102.0	96.1	84.0	93.0	340.4	358.8	282.1	288.0	1277.5
1934	99.2	95.2	111.6	120.0	111.6	114.0	120.9	117.8	99.0	99.2	93.0	86.8	340.4	349.6	291.2	279.0	1277.5
1935	99.2	89.6	111.6	117.0	108.5	114.0	124.0	117.8	102.0	93.0	84.0	83.7	340.4	358.8	282.1	279.0	1241.0
1936	96.1	98.6	117.8	120.0	108.5	114.0	120.9	117.8	102.0	96.1	90.0	83.7	349.6	349.6	291.2	263.9	1281.0
1937	80.6	95.2	120.9	114.0	111.6	111.0	124.0	117.8	96.0	93.0	93.0	83.7	349.6	349.6	282.1	261.0	1241.0
1938	86.8	86.8	108.5	105.0	105.4	108.0	127.1	120.9	105.0	96.1	84.0	86.8	312.8	358.8	282.1	279.0	1204.5
1939	96.1	95.2	111.6	108.0	111.6	111.0	127.1	130.2	111.0	93.0	87.0	89.9	331.2	368.0	291.2	288.0	1277.5
1940	102.3	98.6	120.9	117.0	111.6	108.0	127.1	124.0	108.0	99.2	90.0	89.9	349.6	358.8	300.3	300.3	1281.0
1941	99.2	106.4	130.2	123.0	111.6	114.0	120.9	124.0	105.0	102.3	93.0	83.7	368.0	358.8	300.3	288.0	1314.0
1942	102.3	106.4	124.0	117.0	114.7	114.0	127.1	124.0	102.0	105.4	87.0	89.9	358.8	368.0	300.3	288.0	1314.0
1943	96.1	98.0	114.7	117.0	105.4	108.0	120.9	124.0	108.0	96.1	84.0	80.6	340.4	349.6	291.2	288.0	1241.0
1944	102.3	104.4	117.8	126.0	111.6	111.0	127.1	120.9	111.0	99.2	84.0	83.7	358.8	358.8	291.2	263.9	1317.6
1945	89.9	86.8	108.5	102.0	102.3	111.0	120.9	117.8	105.0	93.0	87.0	93.0	312.8	349.6	282.1	279.0	1204.5
1946	93.0	89.6	114.7	114.0	105.4	108.0	120.9	120.9	105.0	96.1	81.0	83.7	331.2	349.6	282.1	270.0	1241.0
