Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Reunion              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	130.2	98.0	108.5	81.0	74.4	69.0	74.4	77.5	93.0	117.8	138.0	114.7	257.6	220.8	345.8	342.0	1168.0
1902	133.3	100.8	99.2	90.0	80.6	69.0	80.6	80.6	117.0	124.0	129.0	120.9	266.8	230.0	373.1	342.0	1241.0
1903	124.0	98.0	108.5	87.0	86.8	81.0	71.3	89.9	87.0	114.7	123.0	117.8	285.2	239.2	327.6	324.0	1168.0
1904	114.7	101.5	102.3	81.0	83.7	69.0	68.2	89.9	90.0	130.2	135.0	124.0	266.8	220.8	354.9	345.8	1171.2
1905	124.0	98.0	99.2	75.0	83.7	84.0	71.3	93.0	93.0	130.2	120.0	117.8	257.6	248.4	345.8	351.0	1204.5
1906	136.4	103.6	114.7	87.0	80.6	69.0	71.3	83.7	99.0	117.8	123.0	117.8	285.2	220.8	336.7	333.0	1204.5
1907	120.9	100.8	96.1	84.0	80.6	72.0	62.0	86.8	105.0	136.4	126.0	111.6	257.6	220.8	364.0	333.0	1168.0
1908	124.0	101.5	108.5	84.0	71.3	78.0	74.4	93.0	111.0	136.4	132.0	114.7	266.8	239.2	382.2	336.7	1244.4
1909	117.8	98.0	102.3	84.0	74.4	60.0	80.6	86.8	111.0	114.7	129.0	133.3	257.6	230.0	354.9	360.0	1204.5
1910	124.0	100.8	102.3	87.0	74.4	63.0	71.3	89.9	105.0	127.1	111.0	111.6	266.8	220.8	345.8	324.0	1168.0
1911	117.8	92.4	99.2	72.0	71.3	66.0	77.5	86.8	105.0	127.1	123.0	130.2	239.2	230.0	354.9	351.0	1168.0
1912	130.2	98.6	114.7	87.0	83.7	75.0	74.4	93.0	117.0	130.2	138.0	120.9	285.2	239.2	382.2	336.7	1244.4
1913	114.7	95.2	111.6	75.0	86.8	69.0	68.2	96.1	108.0	136.4	123.0	114.7	276.0	230.0	364.0	342.0	1204.5
1914	117.8	106.4	105.4	87.0	80.6	78.0	71.3	93.0	108.0	124.0	117.0	130.2	276.0	239.2	354.9	360.0	1204.5
1915	124.0	103.6	105.4	90.0	83.7	69.0	80.6	80.6	99.0	136.4	126.0	120.9	276.0	230.0	364.0	342.0	1204.5
1916	124.0	101.5	108.5	87.0	77.5	69.0	58.9	89.9	102.0	124.0	114.0	105.4	266.8	220.8	336.7	309.4	1171.2
1917	114.7	86.8	96.1	81.0	86.8	75.0	80.6	86.8	99.0	102.3	120.0	105.4	266.8	239.2	318.5	324.0	1131.5
1918	124.0	95.2	102.3	78.0	74.4	75.0	68.2	83.7	102.0	130.2	126.0	120.9	257.6	220.8	354.9	342.0	1168.0
1919	124.0	100.8	108.5	75.0	68.2	69.0	62.0	99.2	117.0	124.0	135.0	127.1	248.4	230.0	373.1	342.0	1204.5
1920	120.9	101.5	102.3	75.0	80.6	60.0	62.0	89.9	117.0	136.4	120.0	111.6	257.6	211.6	373.1	327.6	1171.2
1921	117.8	98.0	96.1	75.0	77.5	69.0	71.3	86.8	105.0	130.2	123.0	111.6	248.4	230.0	354.9	315.0	1168.0
1922	111.6	95.2	102.3	66.0	74.4	63.0	62.0	86.8	96.0	117.8	126.0	124.0	239.2	211.6	336.7	351.0	1131.5
1923	130.2	100.8	111.6	90.0	83.7	72.0	80.6	80.6	111.0	127.1	132.0	120.9	285.2	230.0	373.1	342.0	1241.0
1924	124.0	101.5	111.6	81.0	83.7	72.0	77.5	93.0	108.0	120.9	123.0	114.7	276.0	239.2	354.9	336.7	1207.8
1925	117.8	98.0	102.3	87.0	71.3	84.0	83.7	83.7	93.0	130.2	123.0	120.9	257.6	248.4	345.8	360.0	1204.5
1926	133.3	106.4	117.8	96.0	86.8	84.0	80.6	96.1	117.0	133.3	138.0	124.0	303.6	257.6	391.3	351.0	1314.0
1927	124.0	103.6	102.3	84.0	80.6	72.0	68.2	93.0	108.0	130.2	126.0	130.2	266.8	230.0	364.0	342.0	1204.5
1928	114.7	107.3	111.6	93.0	86.8	69.0	74.4	89.9	105.0	130.2	129.0	120.9	294.4	230.0	364.0	336.7	1244.4
1929	130.2	89.6	114.7	90.0	80.6	78.0	80.6	93.0	108.0	139.5	132.0	114.7	285.2	248.4	373.1	333.0	1241.0
1930	114.7	103.6	102.3	84.0	68.2	66.0	71.3	80.6	117.0	120.9	129.0	124.0	257.6	211.6	373.1	333.0	1168.0
1931	114.7	98.0	99.2	81.0	71.3	66.0	71.3	80.6	93.0	108.5	111.0	114.7	248.4	211.6	309.4	333.0	1095.0
1932	124.0	98.6	105.4	75.0	68.2	69.0	74.4	86.8	96.0	114.7	129.0	117.8	248.4	230.0	336.7	336.7	1171.2
1933	120.9	92.4	96.1	81.0	77.5	66.0	71.3	86.8	90.0	124.0	129.0	117.8	257.6	220.8	345.8	333.0	1168.0
1934	117.8	98.0	108.5	84.0	77.5	57.0	71.3	74.4	93.0	117.8	123.0	111.6	266.8	202.4	336.7	324.0	1131.5
1935	117.8	95.2	108.5	78.0	83.7	72.0	58.9	89.9	111.0	127.1	117.0	114.7	266.8	220.8	354.9	342.0	1168.0
1936	117.8	113.1	108.5	84.0	80.6	66.0	71.3	80.6	102.0	133.3	126.0	114.7	276.0	220.8	364.0	336.7	1207.8
1937	117.8	100.8	99.2	84.0	74.4	78.0	71.3	83.7	114.0	117.8	138.0	120.9	257.6	230.0	373.1	342.0	1204.5
1938	124.0	100.8	108.5	87.0	83.7	66.0	77.5	93.0	102.0	120.9	114.0	124.0	276.0	239.2	336.7	351.0	1204.5
1939	124.0	103.6	105.4	84.0	80.6	75.0	77.5	83.7	108.0	124.0	126.0	114.7	266.8	230.0	354.9	324.0	1204.5
