Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = San_Marino           : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	15.5	19.6	46.5	69.0	99.2	126.0	145.7	124.0	75.0	49.6	24.0	21.7	211.6	395.6	145.6	72.0	803.0
1902	18.6	30.8	49.6	75.0	86.8	114.0	148.8	120.9	81.0	46.5	21.0	15.5	211.6	386.4	145.6	63.0	803.0
1903	18.6	30.8	52.7	60.0	102.3	117.0	142.6	124.0	81.0	49.6	27.0	21.7	211.6	386.4	154.7	72.0	839.5
1904	21.7	31.9	49.6	72.0	108.5	129.0	155.0	127.1	72.0	46.5	21.0	15.5	230.0	414.0	136.5	54.6	841.8
1905	15.5	22.4	49.6	69.0	96.1	120.0	155.0	124.0	84.0	27.9	30.0	18.6	211.6	395.6	145.6	63.0	803.0
1906	18.6	28.0	49.6	66.0	99.2	120.0	142.6	124.0	72.0	46.5	30.0	15.5	211.6	386.4	145.6	54.0	803.0
1907	12.4	25.2	43.4	60.0	105.4	126.0	139.5	127.1	81.0	55.8	24.0	18.6	211.6	395.6	163.8	63.0	803.0
1908	18.6	26.1	43.4	60.0	111.6	129.0	142.6	117.8	72.0	49.6	18.0	12.4	211.6	386.4	136.5	54.6	805.2
1909	15.5	22.4	43.4	75.0	99.2	117.0	136.4	120.9	78.0	49.6	24.0	21.7	220.8	377.2	154.7	72.0	803.0
1910	21.7	30.8	49.6	69.0	96.1	120.0	136.4	120.9	69.0	49.6	21.0	24.8	211.6	377.2	136.5	72.0	803.0
1911	18.6	25.2	49.6	66.0	96.1	120.0	148.8	127.1	81.0	46.5	33.0	21.7	211.6	395.6	163.8	72.0	839.5
1912	18.6	34.8	55.8	63.0	99.2	120.0	145.7	114.7	60.0	40.3	18.0	18.6	220.8	377.2	118.3	63.7	768.6
1913	18.6	25.2	52.7	66.0	96.1	120.0	127.1	114.7	78.0	49.6	24.0	15.5	211.6	358.8	154.7	63.0	766.5
1914	15.5	28.0	49.6	75.0	99.2	114.0	136.4	120.9	72.0	40.3	24.0	18.6	220.8	368.0	136.5	63.0	803.0
1915	18.6	25.2	46.5	69.0	105.4	126.0	142.6	117.8	72.0	40.3	24.0	24.8	220.8	386.4	136.5	72.0	803.0
1916	18.6	29.0	52.7	72.0	105.4	123.0	145.7	117.8	72.0	46.5	30.0	24.8	230.0	386.4	145.6	72.8	841.8
1917	21.7	22.4	43.4	60.0	105.4	132.0	145.7	127.1	87.0	49.6	21.0	15.5	211.6	404.8	154.7	63.0	839.5
1918	18.6	25.2	49.6	66.0	102.3	111.0	142.6	117.8	84.0	43.4	21.0	15.5	220.8	368.0	145.6	63.0	803.0
1919	24.8	25.2	49.6	63.0	89.9	120.0	133.3	124.0	81.0	40.3	24.0	15.5	202.4	377.2	145.6	72.0	803.0
1920	24.8	34.8	55.8	72.0	111.6	120.0	151.9	117.8	78.0	43.4	21.0	18.6	239.2	386.4	145.6	72.8	841.8
1921	24.8	28.0	52.7	66.0	105.4	117.0	151.9	127.1	81.0	52.7	24.0	15.5	220.8	395.6	154.7	63.0	839.5
1922	18.6	25.2	52.7	66.0	105.4	126.0	145.7	130.2	72.0	40.3	21.0	18.6	220.8	404.8	136.5	63.0	803.0
1923	18.6	25.2	46.5	66.0	108.5	108.0	148.8	130.2	78.0	49.6	33.0	18.6	220.8	386.4	163.8	63.0	839.5
1924	18.6	26.1	46.5	69.0	108.5	126.0	145.7	114.7	84.0	46.5	21.0	18.6	220.8	386.4	154.7	72.8	841.8
1925	21.7	33.6	43.4	69.0	99.2	120.0	139.5	124.0	75.0	49.6	27.0	12.4	211.6	386.4	154.7	63.0	803.0
