Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Severnaya_Zemlya     : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1902	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1903	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1904	3.1	2.9	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.1	256.2
1905	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1906	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1907	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1908	3.1	2.9	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.1	256.2
1909	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1910	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1911	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1912	3.1	2.9	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.1	256.2
1913	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1914	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1915	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1916	3.1	2.9	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.1	256.2
1917	0.0	0.0	3.1	9.0	37.2	48.0	93.0	34.1	6.0	0.0	3.0	6.2	46.0	174.8	9.1	9.0	255.5
1918	0.0	2.8	3.1	12.0	12.4	45.0	80.6	49.6	21.0	3.1	6.0	6.2	27.6	174.8	27.3	9.0	255.5
1919	3.1	0.0	3.1	12.0	24.8	39.0	68.2	80.6	33.0	15.5	3.0	3.1	36.8	193.2	45.5	18.0	292.0
1920	6.2	5.8	9.3	12.0	21.7	42.0	62.0	65.1	15.0	3.1	3.0	3.1	46.0	165.6	27.3	9.1	256.2
1921	3.1	2.8	6.2	12.0	21.7	45.0	80.6	34.1	12.0	12.4	9.0	3.1	36.8	156.4	36.4	9.0	219.0
1922	3.1	0.0	9.3	9.0	31.0	63.0	93.0	55.8	15.0	3.1	6.0	6.2	55.2	211.6	18.2	9.0	292.0
1923	3.1	2.8	3.1	9.0	15.5	57.0	83.7	83.7	30.0	9.3	6.0	3.1	27.6	220.8	45.5	9.0	292.0
1924	0.0	5.8	6.2	9.0	34.1	48.0	120.9	62.0	24.0	12.4	9.0	3.1	55.2	230.0	45.5	9.1	329.4
1925	6.2	2.8	3.1	12.0	21.7	36.0	58.9	31.0	12.0	6.2	3.0	3.1	36.8	128.8	18.2	9.0	182.5
1926	3.1	0.0	9.3	12.0	12.4	33.0	74.4	55.8	9.0	9.3	6.0	3.1	36.8	156.4	27.3	9.0	219.0
1927	0.0	8.4	3.1	12.0	43.4	51.0	55.8	43.4	27.0	9.3	3.0	3.1	55.2	147.2	36.4	9.0	255.5
1928	3.1	5.8	3.1	9.0	21.7	45.0	89.9	71.3	24.0	6.2	9.0	6.2	36.8	202.4	36.4	9.1	292.8
1929	0.0	2.8	3.1	9.0	21.7	45.0	108.5	52.7	24.0	15.5	6.0	3.1	36.8	202.4	45.5	9.0	292.0
1930	6.2	0.0	3.1	12.0	24.8	54.0	96.1	43.4	15.0	3.1	9.0	3.1	36.8	193.2	27.3	18.0	255.5
1931	0.0	8.4	3.1	9.0	27.9	45.0	80.6	58.9	33.0	18.6	9.0	6.2	36.8	184.0	63.7	18.0	292.0
1932	3.1	5.8	6.2	21.0	37.2	63.0	108.5	71.3	39.0	9.3	3.0	0.0	64.4	248.4	54.6	9.1	366.0
1933	6.2	2.8	3.1	12.0	12.4	39.0	77.5	46.5	9.0	6.2	3.0	3.1	27.6	165.6	18.2	18.0	219.0
1934	3.1	8.4	6.2	9.0	24.8	48.0	74.4	52.7	12.0	9.3	6.0	3.1	36.8	174.8	27.3	9.0	255.5
1935	0.0	5.6	3.1	9.0	34.1	54.0	83.7	62.0	21.0	3.1	6.0	6.2	46.0	202.4	27.3	9.0	292.0
1936	3.1	2.9	6.2	6.0	18.6	48.0	80.6	49.6	18.0	3.1	3.0	0.0	27.6	184.0	18.2	9.1	256.2
1937	6.2	0.0	3.1	12.0	18.6	48.0	80.6	52.7	18.0	3.1	3.0	3.1	36.8	184.0	27.3	9.0	255.5
1938	3.1	0.0	3.1	12.0	21.7	51.0	86.8	49.6	18.0	6.2	3.0	0.0	36.8	184.0	27.3	0.0	255.5
1939	0.0	0.0	3.1	12.0	21.7	48.0	83.7	46.5	21.0	6.2	3.0	0.0	36.8	184.0	27.3	9.0	255.5
1940	3.1	2.9	6.2	12.0	18.6	45.0	86.8	49.6	6.0	6.2	3.0	6.2	36.8	184.0	18.2	9.1	256.2
1941	3.1	2.8	6.2	12.0	21.7	54.0	86.8	43.4	15.0	0.0	3.0	6.2	36.8	184.0	18.2	9.0	255.5
1942	3.1	0.0	3.1	12.0	15.5	48.0	83.7	49.6	15.0	3.1	3.0	0.0	36.8	184.0	18.2	0.0	219.0
1943	0.0	0.0	3.1	24.0	18.6	57.0	86.8	49.6	15.0	3.1	3.0	6.2	46.0	193.2	18.2	9.0	255.5
1944	0.0	0.0	6.2	9.0	21.7	45.0	74.4	55.8	18.0	3.1	0.0	6.2	36.8	174.8	18.2	9.1	219.6
1945	0.0	5.6	6.2	12.0	21.7	51.0	86.8	58.9	15.0	3.1	6.0	3.1	36.8	193.2	27.3	9.0	255.5
1946	0.0	2.8	3.1	6.0	21.7	48.0	83.7	46.5	18.0	3.1	6.0	6.2	36.8	174.8	27.3	9.0	255.5
1947	0.0	2.8	3.1	6.0	21.7	48.0	86.8	52.7	21.0	21.7	6.0	3.1	27.6	184.0	54.6	9.0	255.5
1948	0.0	2.9	6.2	12.0	18.6	45.0	83.7	46.5	3.0	0.0	9.0	3.1	36.8	174.8	9.1	9.1	219.6
1949	0.0	0.0	3.1	9.0	18.6	42.0	83.7	43.4	15.0	0.0	3.0	3.1	27.6	165.6	18.2	9.0	219.0
1950	3.1	2.8	3.1	6.0	18.6	51.0	74.4	52.7	15.0	0.0	0.0	0.0	27.6	174.8	18.2	9.0	219.0
1951	3.1	2.8	6.2	6.0	21.7	48.0	83.7	55.8	15.0	3.1	6.0	3.1	36.8	184.0	27.3	9.0	255.5
1952	3.1	0.0	6.2	12.0	18.6	45.0	80.6	52.7	21.0	6.2	3.0	3.1	36.8	174.8	27.3	9.1	256.2
1953	3.1	0.0	6.2	9.0	24.8	48.0	96.1	52.7	21.0	3.1	3.0	0.0	36.8	193.2	27.3	0.0	255.5
1954	0.0	2.8	6.2	9.0	21.7	51.0	86.8	55.8	21.0	3.1	3.0	0.0	36.8	193.2	27.3	9.0	255.5
1955	3.1	2.8	3.1	9.0	21.7	51.0	93.0	52.7	15.0	3.1	6.0	3.1	36.8	193.2	27.3	9.0	255.5
1956	0.0	0.0	3.1	12.0	21.7	51.0	86.8	52.7	18.0	9.3	3.0	3.1	36.8	193.2	27.3	9.1	256.2
1957	3.1	2.8	6.2	9.0	21.7	51.0	86.8	58.9	15.0	6.2	3.0	3.1	36.8	193.2	27.3	9.0	255.5
1958	0.0	2.8	6.2	12.0	21.7	45.0	89.9	49.6	18.0	6.2	3.0	3.1	36.8	184.0	27.3	9.0	255.5
1959	3.1	2.8	3.1	15.0	24.8	51.0	93.0	52.7	18.0	3.1	0.0	3.1	46.0	193.2	18.2	9.0	255.5
1960	3.1	2.9	6.2	12.0	24.8	51.0	77.5	46.5	15.0	6.2	6.0	3.1	46.0	174.8	27.3	9.1	256.2
1961	3.1	2.8	0.0	12.0	18.6	48.0	80.6	52.7	15.0	3.1	6.0	6.2	27.6	174.8	27.3	9.0	255.5
1962	3.1	2.8	3.1	12.0	21.7	45.0	83.7	49.6	12.0	3.1	3.0	3.1	36.8	184.0	18.2	9.0	255.5
1963	3.1	2.8	3.1	12.0	21.7	45.0	77.5	52.7	15.0	3.1	6.0	6.2	36.8	174.8	18.2	9.0	255.5
1964	3.1	2.9	6.2	12.0	18.6	45.0	80.6	49.6	15.0	3.1	6.0	3.1	36.8	174.8	27.3	9.1	256.2
1965	0.0	2.8	6.2	12.0	21.7	42.0	86.8	46.5	18.0	3.1	3.0	6.2	36.8	174.8	27.3	9.0	255.5
1966	3.1	2.8	3.1	12.0	24.8	45.0	83.7	49.6	18.0	9.3	6.0	0.0	36.8	174.8	36.4	9.0	255.5
1967	3.1	2.8	3.1	9.0	24.8	51.0	83.7	52.7	18.0	3.1	3.0	3.1	36.8	184.0	18.2	9.0	255.5
1968	3.1	0.0	3.1	15.0	24.8	51.0	77.5	49.6	18.0	9.3	3.0	3.1	46.0	174.8	27.3	9.1	256.2
1969	3.1	2.8	3.1	12.0	24.8	48.0	80.6	49.6	15.0	3.1	0.0	0.0	46.0	174.8	18.2	9.0	255.5
1970	3.1	2.8	3.1	9.0	21.7	45.0	74.4	46.5	15.0	6.2	3.0	6.2	36.8	165.6	27.3	9.0	219.0
1971	3.1	0.0	6.2	12.0	24.8	45.0	80.6	40.3	15.0	9.3	3.0	3.1	46.0	165.6	27.3	9.0	219.0
1972	3.1	2.9	6.2	9.0	24.8	42.0	77.5	55.8	21.0	6.2	6.0	6.2	36.8	174.8	36.4	9.1	256.2
1973	3.1	0.0	3.1	15.0	24.8	45.0	77.5	43.4	15.0	6.2	3.0	3.1	36.8	165.6	27.3	9.0	255.5
1974	3.1	2.8	6.2	12.0	24.8	57.0	80.6	46.5	15.0	9.3	6.0	0.0	36.8	184.0	27.3	9.0	255.5
1975	3.1	2.8	6.2	12.0	18.6	42.0	77.5	55.8	18.0	6.2	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1976	6.2	2.9	6.2	12.0	21.7	45.0	74.4	52.7	15.0	9.3	3.0	3.1	46.0	174.8	27.3	9.1	256.2
1977	0.0	2.8	6.2	9.0	15.5	42.0	74.4	55.8	21.0	9.3	3.0	6.2	27.6	174.8	36.4	9.0	255.5
1978	3.1	2.8	6.2	15.0	21.7	48.0	77.5	46.5	21.0	6.2	3.0	3.1	46.0	174.8	27.3	9.0	255.5
1979	3.1	2.8	6.2	9.0	21.7	45.0	86.8	52.7	21.0	9.3	6.0	3.1	36.8	184.0	36.4	9.0	255.5
1980	3.1	2.9	6.2	6.0	21.7	45.0	74.4	40.3	12.0	0.0	3.0	3.1	36.8	156.4	18.2	9.1	219.6
1981	0.0	2.8	3.1	9.0	27.9	45.0	83.7	49.6	21.0	0.0	0.0	3.1	36.8	174.8	27.3	9.0	255.5
1982	3.1	2.8	6.2	12.0	21.7	39.0	80.6	49.6	18.0	6.2	6.0	3.1	36.8	165.6	27.3	9.0	255.5
1983	0.0	2.8	6.2	12.0	21.7	48.0	74.4	43.4	12.0	3.1	3.0	3.1	36.8	165.6	18.2	9.0	219.0
1984	3.1	2.9	6.2	9.0	24.8	54.0	77.5	46.5	21.0	12.4	6.0	3.1	36.8	174.8	36.4	9.1	256.2
1985	3.1	2.8	3.1	12.0	18.6	45.0	77.5	49.6	18.0	6.2	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1986	0.0	0.0	6.2	12.0	24.8	48.0	74.4	49.6	15.0	3.1	0.0	3.1	46.0	174.8	18.2	9.0	219.0
1987	3.1	2.8	6.2	15.0	24.8	48.0	80.6	49.6	15.0	3.1	3.0	6.2	46.0	184.0	18.2	9.0	255.5
1988	0.0	2.9	6.2	9.0	21.7	45.0	80.6	52.7	12.0	0.0	3.0	3.1	36.8	174.8	18.2	9.1	219.6
1989	3.1	2.8	3.1	15.0	21.7	48.0	77.5	49.6	21.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
1990	3.1	0.0	0.0	6.0	21.7	42.0	74.4	49.6	15.0	6.2	6.0	3.1	27.6	165.6	27.3	9.0	219.0
1991	3.1	2.8	6.2	6.0	21.7	51.0	77.5	49.6	9.0	3.1	3.0	6.2	36.8	174.8	18.2	9.0	219.0
1992	3.1	2.9	3.1	12.0	24.8	42.0	83.7	52.7	21.0	9.3	6.0	3.1	36.8	174.8	36.4	0.0	256.2
1993	0.0	0.0	3.1	12.0	24.8	48.0	83.7	49.6	21.0	3.1	3.0	3.1	46.0	184.0	27.3	9.0	255.5
1994	6.2	2.8	3.1	12.0	18.6	48.0	80.6	52.7	21.0	0.0	6.0	6.2	36.8	184.0	27.3	9.0	255.5
1995	0.0	2.8	3.1	12.0	24.8	36.0	80.6	52.7	18.0	6.2	6.0	6.2	36.8	165.6	36.4	9.0	255.5
1996	0.0	0.0	3.1	15.0	24.8	48.0	77.5	49.6	18.0	3.1	0.0	3.1	46.0	174.8	18.2	9.1	256.2
1997	3.1	2.8	3.1	12.0	21.7	48.0	74.4	46.5	15.0	3.1	6.0	3.1	36.8	165.6	18.2	9.0	219.0
1998	3.1	2.8	3.1	12.0	24.8	45.0	77.5	49.6	15.0	6.2	3.0	3.1	36.8	165.6	18.2	9.0	255.5
1999	3.1	2.8	6.2	12.0	21.7	45.0	77.5	46.5	15.0	3.1	3.0	3.1	36.8	165.6	18.2	9.0	219.0
2000	3.1	2.9	3.1	12.0	21.7	42.0	80.6	55.8	18.0	3.1	3.0	3.1	36.8	184.0	18.2	9.1	256.2
2001	3.1	2.8	6.2	12.0	21.7	51.0	80.6	55.8	15.0	3.1	3.0	3.1	36.8	184.0	18.2	9.0	255.5
2002	3.1	2.8	3.1	12.0	21.7	48.0	77.5	49.6	12.0	3.1	3.0	3.1	36.8	174.8	18.2	9.0	255.5
2003	3.1	2.8	6.2	12.0	21.7	48.0	71.3	52.7	15.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
2004	3.1	2.9	3.1	9.0	21.7	45.0	74.4	43.4	15.0	3.1	3.0	3.1	36.8	165.6	27.3	9.1	219.6
2005	0.0	2.8	6.2	12.0	18.6	51.0	77.5	46.5	21.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
2006	3.1	2.8	6.2	12.0	21.7	45.0	77.5	49.6	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	255.5
2007	3.1	2.8	6.2	18.0	21.7	42.0	74.4	49.6	15.0	6.2	6.0	3.1	46.0	165.6	27.3	9.0	255.5
2008	3.1	2.9	6.2	12.0	21.7	45.0	71.3	52.7	21.0	3.1	3.0	3.1	36.8	165.6	27.3	9.1	256.2
2009	3.1	2.8	3.1	12.0	18.6	45.0	77.5	46.5	18.0	3.1	3.0	3.1	36.8	174.8	27.3	9.0	219.0
2010	3.1	2.8	3.1	12.0	21.7	48.0	74.4	49.6	15.0	3.1	3.0	3.1	36.8	174.8	18.2	9.0	219.0
2011	3.1	2.8	6.2	9.0	21.7	51.0	77.5	49.6	12.0	3.1	3.0	3.1	36.8	174.8	18.2	0.0	219.0
2012	0.0	0.0	3.1	12.0	21.7	51.0	80.6	49.6	21.0	3.1	6.0	3.1	36.8	174.8	27.3	9.1	256.2
2013	3.1	2.8	6.2	15.0	21.7	48.0	80.6	52.7	15.0	3.1	3.0	3.1	36.8	184.0	18.2	9.0	255.5
2014	3.1	2.8	6.2	12.0	21.7	48.0	74.4	43.4	15.0	3.1	6.0	3.1	36.8	165.6	27.3	9.0	219.0
2015	3.1	2.8	3.1	15.0	21.7	48.0	74.4	43.4	15.0	3.1	3.0	3.1	36.8	165.6	18.2	9.0	219.0
2016	3.1	2.9	3.1	12.0	18.6	54.0	80.6	52.7	15.0	3.1	3.0	3.1	36.8	184.0	18.2	-999.0	256.2
