Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Singapore            : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	96.1	92.4	114.7	96.0	99.2	84.0	93.0	86.8	84.0	86.8	81.0	77.5	312.8	266.8	254.8	261.0	1095.0
1902	93.0	92.4	105.4	93.0	99.2	84.0	86.8	89.9	84.0	86.8	81.0	83.7	294.4	257.6	254.8	288.0	1095.0
1903	105.4	95.2	108.5	93.0	99.2	84.0	86.8	89.9	84.0	80.6	81.0	74.4	303.6	257.6	245.7	252.0	1095.0
1904	89.9	92.8	114.7	90.0	99.2	93.0	93.0	86.8	90.0	80.6	81.0	77.5	303.6	276.0	254.8	273.0	1098.0
1905	99.2	95.2	108.5	93.0	99.2	90.0	89.9	89.9	84.0	89.9	81.0	83.7	303.6	266.8	254.8	288.0	1095.0
1906	102.3	103.6	108.5	96.0	99.2	87.0	89.9	89.9	84.0	80.6	81.0	74.4	303.6	266.8	245.7	261.0	1095.0
1907	93.0	92.4	102.3	93.0	99.2	84.0	86.8	86.8	90.0	83.7	81.0	77.5	294.4	257.6	254.8	270.0	1058.5
1908	99.2	98.6	108.5	96.0	99.2	84.0	93.0	89.9	90.0	83.7	81.0	77.5	303.6	266.8	254.8	273.0	1098.0
1909	99.2	95.2	105.4	96.0	99.2	93.0	86.8	89.9	84.0	83.7	81.0	77.5	303.6	266.8	245.7	279.0	1095.0
1910	99.2	98.0	105.4	93.0	99.2	84.0	86.8	86.8	90.0	80.6	81.0	77.5	294.4	257.6	254.8	288.0	1095.0
1911	102.3	109.2	117.8	105.0	99.2	93.0	99.2	96.1	93.0	93.0	87.0	93.0	322.0	285.2	273.0	315.0	1204.5
1912	111.6	113.1	120.9	105.0	99.2	93.0	96.1	99.2	93.0	93.0	84.0	93.0	322.0	285.2	273.0	309.4	1207.8
1913	108.5	106.4	120.9	102.0	99.2	93.0	96.1	99.2	93.0	93.0	87.0	93.0	322.0	285.2	273.0	315.0	1204.5
1914	108.5	109.2	117.8	102.0	105.4	93.0	96.1	102.3	93.0	96.1	87.0	96.1	322.0	294.4	273.0	315.0	1204.5
1915	108.5	106.4	117.8	105.0	102.3	96.0	96.1	102.3	93.0	93.0	87.0	93.0	322.0	294.4	273.0	306.0	1204.5
1916	105.4	113.1	117.8	105.0	99.2	93.0	93.0	96.1	93.0	93.0	87.0	89.9	322.0	285.2	273.0	300.3	1171.2
1917	102.3	100.8	114.7	102.0	93.0	93.0	96.1	96.1	90.0	93.0	87.0	89.9	312.8	285.2	273.0	279.0	1168.0
1918	93.0	92.4	114.7	99.0	96.1	90.0	96.1	99.2	93.0	93.0	87.0	86.8	312.8	285.2	273.0	306.0	1131.5
1919	108.5	109.2	120.9	105.0	102.3	96.0	93.0	99.2	93.0	93.0	84.0	89.9	331.2	285.2	273.0	306.0	1204.5
1920	105.4	110.2	117.8	105.0	99.2	96.0	96.1	96.1	93.0	93.0	87.0	74.4	322.0	285.2	273.0	291.2	1171.2
1921	105.4	103.6	114.7	102.0	96.1	84.0	96.1	99.2	93.0	89.9	84.0	93.0	312.8	276.0	263.9	315.0	1168.0
1922	111.6	106.4	114.7	99.0	96.1	93.0	96.1	96.1	93.0	93.0	87.0	93.0	312.8	285.2	273.0	306.0	1168.0
1923	105.4	106.4	114.7	105.0	99.2	93.0	93.0	96.1	90.0	93.0	84.0	89.9	322.0	285.2	263.9	297.0	1168.0
1924	102.3	107.3	111.6	102.0	96.1	90.0	96.1	99.2	87.0	77.5	81.0	86.8	312.8	285.2	245.7	291.2	1134.6
1925	105.4	98.0	111.6	102.0	102.3	96.0	96.1	102.3	96.0	93.0	87.0	93.0	312.8	294.4	273.0	315.0	1168.0
1926	105.4	112.0	124.0	108.0	102.3	96.0	99.2	102.3	93.0	93.0	87.0	93.0	331.2	294.4	273.0	306.0	1204.5
1927	102.3	106.4	117.8	102.0	102.3	93.0	96.1	102.3	93.0	93.0	84.0	93.0	322.0	294.4	273.0	306.0	1168.0
1928	108.5	104.4	114.7	105.0	102.3	96.0	99.2	99.2	96.0	93.0	84.0	89.9	322.0	294.4	273.0	300.3	1207.8
1929	105.4	100.8	108.5	105.0	99.2	90.0	99.2	99.2	93.0	93.0	84.0	89.9	312.8	285.2	273.0	324.0	1168.0
1930	114.7	114.8	114.7	111.0	102.3	99.0	99.2	105.4	93.0	89.9	84.0	96.1	331.2	303.6	263.9	324.0	1241.0
1931	108.5	120.4	127.1	108.0	105.4	96.0	96.1	102.3	93.0	89.9	87.0	89.9	340.4	294.4	273.0	306.0	1241.0
1932	102.3	116.0	114.7	102.0	102.3	90.0	93.0	99.2	90.0	89.9	81.0	96.1	322.0	285.2	263.9	318.5	1171.2
1933	99.2	114.8	114.7	102.0	102.3	96.0	93.0	96.1	90.0	89.9	78.0	89.9	322.0	285.2	254.8	279.0	1168.0
1934	93.0	98.0	105.4	102.0	99.2	93.0	93.0	99.2	93.0	86.8	84.0	102.3	303.6	285.2	263.9	333.0	1131.5
