Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Somalia              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	167.4	154.0	182.9	162.0	167.4	186.0	176.7	192.2	186.0	155.0	141.0	151.9	515.2	561.2	482.3	468.0	2007.5
1902	167.4	151.2	176.7	153.0	158.1	195.0	198.4	217.0	198.0	158.1	144.0	148.8	487.6	607.2	500.5	495.0	2080.5
1903	179.8	168.0	189.1	168.0	173.6	192.0	192.2	201.5	189.0	155.0	135.0	148.8	533.6	588.8	482.3	468.0	2080.5
1904	158.1	165.3	182.9	162.0	170.5	198.0	179.8	195.3	186.0	151.9	138.0	145.7	515.2	570.4	473.2	473.2	2049.6
1905	167.4	151.2	179.8	162.0	170.5	186.0	186.0	192.2	189.0	161.2	147.0	155.0	506.0	561.2	491.4	486.0	2044.0
1906	164.3	162.4	179.8	162.0	176.7	198.0	182.9	201.5	192.0	158.1	135.0	136.4	524.4	579.6	482.3	459.0	2044.0
1907	161.2	159.6	189.1	168.0	176.7	195.0	182.9	192.2	186.0	158.1	138.0	130.2	533.6	570.4	482.3	450.0	2044.0
1908	164.3	159.5	189.1	171.0	186.0	201.0	186.0	198.4	198.0	176.7	132.0	133.3	552.0	579.6	509.6	436.8	2086.2
1909	151.9	145.6	173.6	150.0	164.3	180.0	189.1	198.4	189.0	158.1	138.0	148.8	487.6	561.2	482.3	477.0	1971.0
1910	164.3	156.8	189.1	168.0	176.7	198.0	192.2	201.5	183.0	155.0	144.0	158.1	533.6	588.8	482.3	486.0	2080.5
1911	173.6	154.0	182.9	162.0	167.4	198.0	170.5	189.1	183.0	155.0	141.0	145.7	515.2	561.2	482.3	459.0	2007.5
1912	161.2	159.5	179.8	156.0	158.1	177.0	161.2	176.7	171.0	148.8	141.0	136.4	496.8	515.2	464.1	445.9	1939.8
1913	155.0	148.4	173.6	156.0	167.4	180.0	176.7	192.2	189.0	155.0	141.0	148.8	496.8	542.8	482.3	468.0	1971.0
1914	167.4	156.8	182.9	162.0	170.5	189.0	179.8	195.3	189.0	155.0	144.0	151.9	515.2	561.2	491.4	468.0	2044.0
1915	161.2	156.8	179.8	165.0	167.4	180.0	173.6	189.1	186.0	155.0	144.0	142.6	515.2	542.8	482.3	468.0	2007.5
1916	161.2	165.3	173.6	156.0	170.5	183.0	173.6	189.1	183.0	155.0	144.0	145.7	496.8	542.8	482.3	482.3	2013.0
1917	167.4	159.6	170.5	159.0	167.4	183.0	176.7	189.1	186.0	155.0	144.0	151.9	496.8	552.0	482.3	477.0	2007.5
1918	161.2	162.4	179.8	159.0	170.5	183.0	173.6	189.1	183.0	151.9	138.0	145.7	506.0	542.8	473.2	459.0	2007.5
1919	164.3	154.0	179.8	159.0	164.3	180.0	170.5	189.1	183.0	148.8	135.0	142.6	496.8	542.8	473.2	450.0	1971.0
1920	161.2	156.6	176.7	156.0	161.2	177.0	170.5	189.1	189.0	158.1	144.0	139.5	496.8	533.6	491.4	464.1	1976.4
1921	164.3	154.0	182.9	165.0	170.5	186.0	182.9	195.3	195.0	161.2	150.0	161.2	515.2	561.2	509.6	504.0	2080.5
1922	176.7	165.2	192.2	168.0	173.6	198.0	176.7	192.2	192.0	161.2	153.0	161.2	533.6	570.4	509.6	477.0	2117.0
1923	161.2	151.2	176.7	156.0	164.3	177.0	167.4	182.9	180.0	148.8	135.0	142.6	496.8	533.6	464.1	486.0	1934.5
