Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = South_Korea          : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	34.1	22.4	55.8	81.0	99.2	93.0	80.6	105.4	78.0	62.0	36.0	24.8	239.2	276.0	172.9	90.0	766.5
1902	31.0	33.6	65.1	69.0	99.2	99.0	93.0	89.9	75.0	62.0	45.0	34.1	230.0	285.2	182.0	99.0	803.0
1903	31.0	33.6	58.9	81.0	99.2	99.0	86.8	105.4	90.0	62.0	33.0	21.7	239.2	294.4	182.0	81.0	803.0
1904	24.8	40.6	52.7	81.0	99.2	102.0	102.3	108.5	78.0	58.9	33.0	27.9	230.0	312.8	172.9	91.0	805.2
1905	37.2	28.0	49.6	72.0	96.1	99.0	99.2	86.8	78.0	62.0	39.0	34.1	220.8	285.2	182.0	81.0	766.5
1906	24.8	25.2	49.6	78.0	96.1	90.0	96.1	99.2	72.0	58.9	30.0	24.8	220.8	285.2	154.7	81.0	730.0
1907	31.0	22.4	49.6	81.0	102.3	99.0	96.1	102.3	75.0	62.0	36.0	21.7	230.0	294.4	172.9	81.0	766.5
1908	27.9	29.0	49.6	75.0	96.1	99.0	89.9	99.2	75.0	62.0	30.0	27.9	220.8	285.2	172.9	91.0	768.6
1909	27.9	28.0	46.5	81.0	99.2	96.0	99.2	96.1	78.0	58.9	36.0	21.7	230.0	285.2	172.9	72.0	766.5
1910	27.9	25.2	49.6	75.0	105.4	96.0	93.0	99.2	72.0	62.0	36.0	18.6	230.0	285.2	163.8	72.0	766.5
1911	24.8	30.8	52.7	69.0	105.4	90.0	93.0	102.3	81.0	55.8	36.0	18.6	230.0	285.2	172.9	81.0	766.5
1912	24.8	40.6	55.8	78.0	93.0	99.0	96.1	99.2	75.0	58.9	27.0	21.7	230.0	294.4	163.8	72.8	768.6
1913	21.7	28.0	52.7	81.0	93.0	90.0	89.9	102.3	84.0	58.9	36.0	21.7	220.8	285.2	182.0	90.0	766.5
1914	31.0	33.6	58.9	69.0	105.4	90.0	108.5	102.3	81.0	58.9	39.0	27.9	230.0	303.6	182.0	81.0	803.0
1915	24.8	28.0	43.4	66.0	93.0	93.0	108.5	99.2	72.0	62.0	39.0	31.0	202.4	303.6	172.9	99.0	766.5
1916	34.1	31.9	43.4	75.0	99.2	96.0	93.0	99.2	78.0	58.9	39.0	27.9	220.8	285.2	172.9	72.8	768.6
1917	15.5	28.0	46.5	81.0	96.1	102.0	111.6	102.3	75.0	62.0	30.0	15.5	220.8	312.8	163.8	72.0	766.5
1918	21.7	36.4	58.9	78.0	89.9	96.0	93.0	96.1	78.0	62.0	33.0	24.8	220.8	285.2	172.9	81.0	766.5
1919	24.8	33.6	62.0	87.0	105.4	93.0	105.4	108.5	78.0	62.0	39.0	21.7	257.6	303.6	182.0	72.0	803.0
1920	24.8	26.1	52.7	81.0	99.2	105.0	105.4	102.3	81.0	68.2	45.0	24.8	239.2	312.8	191.1	91.0	805.2
1921	27.9	33.6	49.6	81.0	96.1	84.0	96.1	105.4	75.0	55.8	33.0	27.9	230.0	285.2	163.8	81.0	766.5
1922	18.6	36.4	52.7	90.0	102.3	117.0	99.2	111.6	81.0	65.1	33.0	21.7	248.4	331.2	182.0	72.0	839.5
1923	21.7	25.2	55.8	69.0	102.3	102.0	93.0	111.6	81.0	62.0	33.0	24.8	230.0	312.8	172.9	81.0	766.5
1924	31.0	31.9	43.4	84.0	102.3	108.0	111.6	111.6	81.0	65.1	33.0	24.8	230.0	331.2	172.9	81.9	805.2
1925	24.8	28.0	52.7	78.0	96.1	93.0	93.0	105.4	78.0	62.0	42.0	24.8	230.0	294.4	182.0	81.0	766.5
1926	24.8	28.0	55.8	78.0	93.0	108.0	102.3	102.3	78.0	52.7	39.0	18.6	220.8	312.8	172.9	72.0	766.5
1927	24.8	25.2	49.6	81.0	96.1	111.0	108.5	99.2	78.0	62.0	45.0	24.8	230.0	322.0	182.0	72.0	803.0
1928	21.7	29.0	55.8	87.0	117.8	102.0	105.4	102.3	81.0	62.0	36.0	21.7	257.6	312.8	182.0	72.8	805.2
1929	21.7	28.0	58.9	81.0	102.3	120.0	111.6	114.7	81.0	62.0	36.0	31.0	239.2	349.6	182.0	90.0	839.5
1930	24.8	36.4	62.0	81.0	105.4	105.0	111.6	108.5	81.0	65.1	30.0	24.8	248.4	322.0	172.9	81.0	839.5
1931	27.9	28.0	62.0	72.0	102.3	102.0	80.6	99.2	75.0	62.0	42.0	27.9	239.2	285.2	172.9	90.0	766.5
1932	31.0	31.9	52.7	75.0	105.4	99.0	114.7	99.2	69.0	62.0	39.0	27.9	239.2	312.8	172.9	81.9	805.2
1933	21.7	28.0	46.5	78.0	108.5	105.0	114.7	102.3	84.0	58.9	39.0	27.9	230.0	322.0	182.0	81.0	803.0
