Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Switzerland          : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	15.5	16.8	31.0	54.0	74.4	87.0	93.0	77.5	51.0	31.0	18.0	15.5	156.4	257.6	100.1	45.0	547.5
1902	15.5	19.6	37.2	57.0	58.9	81.0	96.1	77.5	54.0	27.9	15.0	15.5	156.4	257.6	100.1	54.0	547.5
1903	15.5	22.4	40.3	45.0	71.3	78.0	89.9	80.6	54.0	34.1	18.0	12.4	156.4	248.4	109.2	45.0	547.5
1904	15.5	20.3	37.2	57.0	77.5	90.0	105.4	80.6	48.0	31.0	18.0	15.5	165.6	276.0	100.1	45.5	585.6
1905	15.5	16.8	37.2	51.0	68.2	87.0	102.3	77.5	51.0	15.5	18.0	15.5	156.4	266.8	91.0	45.0	547.5
1906	15.5	19.6	37.2	54.0	68.2	81.0	93.0	80.6	51.0	37.2	18.0	15.5	156.4	257.6	109.2	45.0	584.0
1907	15.5	16.8	37.2	48.0	74.4	84.0	89.9	80.6	57.0	34.1	18.0	15.5	156.4	248.4	109.2	54.0	584.0
1908	15.5	20.3	34.1	48.0	74.4	87.0	93.0	74.4	51.0	37.2	18.0	15.5	156.4	257.6	109.2	54.6	549.0
1909	15.5	19.6	34.1	60.0	71.3	78.0	86.8	77.5	51.0	34.1	18.0	15.5	165.6	239.2	100.1	54.0	547.5
1910	12.4	19.6	40.3	51.0	68.2	81.0	86.8	74.4	48.0	34.1	18.0	15.5	156.4	239.2	100.1	45.0	547.5
1911	12.4	19.6	37.2	54.0	68.2	81.0	99.2	83.7	57.0	31.0	21.0	15.5	156.4	266.8	109.2	54.0	584.0
1912	15.5	23.2	40.3	51.0	71.3	84.0	89.9	68.2	45.0	31.0	15.0	15.5	165.6	239.2	91.0	45.5	549.0
1913	12.4	19.6	40.3	51.0	71.3	81.0	83.7	74.4	51.0	34.1	15.0	15.5	156.4	239.2	100.1	54.0	547.5
1914	12.4	22.4	37.2	57.0	65.1	78.0	86.8	77.5	51.0	31.0	18.0	15.5	156.4	239.2	100.1	45.0	547.5
1915	12.4	16.8	34.1	51.0	74.4	90.0	89.9	74.4	51.0	31.0	18.0	15.5	156.4	257.6	100.1	45.0	547.5
1916	12.4	20.3	37.2	54.0	74.4	75.0	89.9	74.4	48.0	31.0	18.0	15.5	165.6	239.2	100.1	45.5	549.0
1917	12.4	19.6	34.1	45.0	77.5	90.0	89.9	77.5	57.0	31.0	15.0	15.5	156.4	257.6	100.1	54.0	547.5
1918	15.5	19.6	40.3	48.0	74.4	78.0	93.0	77.5	54.0	27.9	18.0	12.4	165.6	248.4	100.1	45.0	547.5
1919	12.4	19.6	34.1	45.0	71.3	87.0	83.7	83.7	57.0	31.0	18.0	15.5	156.4	248.4	100.1	54.0	547.5
1920	15.5	23.2	40.3	51.0	77.5	81.0	93.0	74.4	51.0	31.0	18.0	15.5	165.6	248.4	100.1	45.5	585.6
1921	12.4	19.6	40.3	51.0	74.4	84.0	102.3	80.6	57.0	37.2	18.0	15.5	165.6	266.8	109.2	54.0	584.0
1922	15.5	19.6	37.2	48.0	77.5	84.0	89.9	80.6	48.0	27.9	18.0	12.4	165.6	248.4	91.0	45.0	547.5
1923	12.4	16.8	37.2	51.0	74.4	72.0	99.2	83.7	54.0	34.1	21.0	15.5	165.6	257.6	109.2	45.0	547.5
1924	15.5	17.4	37.2	51.0	71.3	81.0	89.9	68.2	54.0	31.0	18.0	15.5	156.4	239.2	100.1	45.5	549.0
1925	15.5	19.6	31.0	51.0	68.2	87.0	86.8	74.4	51.0	34.1	18.0	15.5	147.2	248.4	100.1	45.0	547.5
1926	12.4	19.6	34.1	57.0	65.1	75.0	86.8	77.5	57.0	34.1	24.0	12.4	156.4	239.2	109.2	45.0	547.5
