Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Thailand             : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	108.5	114.8	139.5	138.0	111.6	99.0	102.3	96.1	87.0	96.1	96.0	99.2	395.6	294.4	282.1	297.0	1314.0
1902	99.2	100.8	139.5	138.0	111.6	99.0	99.2	93.0	87.0	96.1	93.0	102.3	386.4	294.4	273.0	315.0	1277.5
1903	102.3	106.4	142.6	141.0	117.8	93.0	99.2	93.0	87.0	93.0	87.0	83.7	404.8	285.2	263.9	279.0	1241.0
1904	93.0	104.4	136.4	132.0	111.6	96.0	99.2	96.1	90.0	96.1	90.0	93.0	386.4	285.2	273.0	318.5	1244.4
1905	105.4	114.8	139.5	138.0	114.7	96.0	99.2	96.1	90.0	96.1	96.0	108.5	395.6	294.4	282.1	333.0	1314.0
1906	111.6	114.8	139.5	144.0	120.9	99.0	99.2	96.1	93.0	96.1	90.0	99.2	404.8	294.4	273.0	315.0	1314.0
1907	102.3	109.2	136.4	135.0	111.6	96.0	96.1	93.0	90.0	96.1	93.0	86.8	377.2	285.2	273.0	297.0	1241.0
1908	102.3	110.2	139.5	138.0	111.6	96.0	96.1	93.0	90.0	96.1	87.0	96.1	386.4	285.2	273.0	309.4	1244.4
1909	102.3	109.2	139.5	135.0	111.6	96.0	96.1	93.0	90.0	96.1	87.0	89.9	386.4	285.2	273.0	306.0	1241.0
1910	105.4	106.4	133.3	135.0	111.6	96.0	99.2	93.0	87.0	93.0	93.0	89.9	377.2	285.2	273.0	297.0	1241.0
1911	99.2	106.4	136.4	135.0	111.6	96.0	99.2	96.1	90.0	96.1	99.0	102.3	386.4	294.4	282.1	315.0	1277.5
1912	102.3	113.1	142.6	138.0	117.8	99.0	96.1	89.9	87.0	93.0	87.0	96.1	395.6	285.2	273.0	309.4	1281.0
1913	99.2	109.2	139.5	138.0	111.6	96.0	93.0	89.9	87.0	93.0	90.0	93.0	386.4	276.0	273.0	306.0	1241.0
1914	99.2	109.2	139.5	138.0	117.8	96.0	96.1	89.9	87.0	93.0	93.0	99.2	395.6	285.2	273.0	315.0	1241.0
1915	102.3	112.0	139.5	138.0	111.6	96.0	96.1	93.0	87.0	93.0	87.0	86.8	386.4	285.2	273.0	288.0	1241.0
1916	96.1	110.2	139.5	135.0	111.6	93.0	96.1	89.9	87.0	89.9	84.0	89.9	386.4	285.2	263.9	300.3	1207.8
1917	99.2	106.4	133.3	135.0	114.7	90.0	93.0	86.8	84.0	89.9	87.0	89.9	386.4	266.8	263.9	297.0	1204.5
1918	102.3	100.8	133.3	129.0	102.3	93.0	99.2	86.8	84.0	93.0	96.0	102.3	368.0	276.0	273.0	315.0	1204.5
1919	105.4	112.0	142.6	138.0	114.7	93.0	93.0	89.9	87.0	93.0	87.0	96.1	395.6	276.0	273.0	297.0	1241.0
1920	96.1	110.2	136.4	135.0	114.7	96.0	93.0	86.8	84.0	89.9	96.0	96.1	386.4	276.0	273.0	309.4	1244.4
1921	102.3	106.4	136.4	138.0	108.5	93.0	89.9	89.9	81.0	93.0	87.0	96.1	386.4	276.0	263.9	315.0	1204.5
1922	102.3	112.0	133.3	132.0	114.7	90.0	86.8	83.7	87.0	86.8	84.0	93.0	377.2	266.8	254.8	297.0	1204.5
1923	102.3	100.8	139.5	132.0	105.4	90.0	86.8	83.7	81.0	89.9	90.0	96.1	377.2	257.6	263.9	306.0	1204.5
1924	102.3	113.1	142.6	132.0	111.6	90.0	86.8	83.7	84.0	86.8	93.0	89.9	386.4	257.6	263.9	291.2	1207.8
1925	99.2	100.8	139.5	126.0	108.5	90.0	89.9	86.8	84.0	86.8	93.0	93.0	377.2	266.8	263.9	306.0	1204.5
1926	102.3	109.2	136.4	138.0	114.7	93.0	89.9	86.8	84.0	86.8	93.0	96.1	386.4	266.8	263.9	306.0	1241.0
