Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Togo                 : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	133.3	134.4	139.5	126.0	111.6	96.0	89.9	83.7	87.0	105.4	111.0	111.6	377.2	266.8	300.3	369.0	1314.0
1902	127.1	131.6	145.7	135.0	124.0	87.0	89.9	86.8	87.0	96.1	111.0	117.8	404.8	257.6	291.2	396.0	1350.5
1903	142.6	137.2	148.8	132.0	120.9	96.0	89.9	86.8	90.0	105.4	111.0	114.7	404.8	276.0	309.4	396.0	1387.0
1904	142.6	142.1	148.8	126.0	117.8	96.0	86.8	80.6	87.0	105.4	108.0	117.8	395.6	266.8	300.3	373.1	1354.2
1905	133.3	120.4	139.5	126.0	120.9	93.0	89.9	83.7	90.0	105.4	117.0	120.9	386.4	266.8	309.4	396.0	1350.5
1906	142.6	131.6	148.8	144.0	127.1	102.0	89.9	83.7	96.0	108.5	114.0	120.9	423.2	276.0	318.5	387.0	1423.5
1907	139.5	128.8	148.8	129.0	130.2	99.0	93.0	86.8	93.0	111.6	114.0	114.7	404.8	276.0	318.5	387.0	1387.0
1908	139.5	136.3	148.8	132.0	130.2	108.0	96.1	83.7	90.0	102.3	111.0	117.8	414.0	285.2	309.4	418.6	1390.8
1909	145.7	145.6	164.3	138.0	120.9	90.0	83.7	77.5	90.0	96.1	114.0	120.9	423.2	248.4	300.3	405.0	1387.0
1910	142.6	140.0	148.8	132.0	124.0	111.0	96.1	86.8	93.0	105.4	108.0	114.7	404.8	294.4	309.4	387.0	1387.0
1911	139.5	134.4	148.8	132.0	117.8	90.0	89.9	80.6	87.0	99.2	114.0	114.7	395.6	257.6	300.3	387.0	1350.5
1912	139.5	136.3	142.6	138.0	120.9	96.0	96.1	89.9	93.0	105.4	108.0	117.8	404.8	285.2	300.3	391.3	1390.8
1913	139.5	134.4	139.5	132.0	130.2	111.0	105.4	99.2	99.0	102.3	102.0	111.6	404.8	312.8	300.3	405.0	1387.0
1914	155.0	134.4	148.8	132.0	130.2	108.0	99.2	86.8	93.0	108.5	123.0	120.9	414.0	294.4	327.6	378.0	1460.0
1915	130.2	126.0	158.1	123.0	120.9	87.0	89.9	86.8	84.0	96.1	105.0	111.6	404.8	266.8	282.1	369.0	1314.0
1916	130.2	127.6	148.8	117.0	111.6	90.0	93.0	80.6	78.0	96.1	99.0	120.9	377.2	257.6	273.0	400.4	1281.0
1917	139.5	137.2	133.3	120.0	111.6	93.0	93.0	89.9	81.0	99.2	96.0	117.8	358.8	276.0	273.0	369.0	1314.0
1918	139.5	112.0	124.0	120.0	111.6	99.0	86.8	74.4	78.0	99.2	105.0	114.7	358.8	266.8	282.1	396.0	1277.5
1919	139.5	137.2	148.8	129.0	120.9	99.0	93.0	86.8	90.0	105.4	108.0	117.8	395.6	276.0	300.3	396.0	1387.0
1920	142.6	142.1	151.9	132.0	127.1	99.0	89.9	86.8	90.0	105.4	111.0	117.8	404.8	276.0	309.4	391.3	1390.8
1921	133.3	137.2	151.9	135.0	127.1	99.0	89.9	86.8	90.0	105.4	111.0	120.9	414.0	276.0	309.4	396.0	1387.0
1922	142.6	137.2	145.7	132.0	124.0	99.0	89.9	74.4	75.0	99.2	108.0	114.7	404.8	266.8	282.1	396.0	1350.5
1923	145.7	134.4	145.7	123.0	124.0	99.0	89.9	83.7	90.0	105.4	111.0	124.0	395.6	276.0	300.3	405.0	1387.0
1924	142.6	145.0	155.0	129.0	124.0	99.0	86.8	86.8	90.0	105.4	111.0	117.8	404.8	276.0	300.3	391.3	1390.8
1925	133.3	134.4	155.0	138.0	124.0	93.0	89.9	83.7	87.0	102.3	108.0	114.7	414.0	266.8	300.3	396.0	1350.5
1926	139.5	137.2	151.9	135.0	120.9	96.0	89.9	89.9	93.0	111.6	114.0	120.9	404.8	276.0	318.5	405.0	1387.0
1927	142.6	137.2	142.6	132.0	124.0	96.0	86.8	83.7	87.0	99.2	114.0	117.8	395.6	266.8	300.3	396.0	1350.5
