Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Tunisia              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	55.8	61.6	108.5	138.0	155.0	204.0	223.2	192.2	153.0	105.4	69.0	62.0	404.8	625.6	327.6	198.0	1533.0
1902	58.9	75.6	102.3	132.0	151.9	189.0	226.3	207.7	150.0	102.3	66.0	52.7	386.4	625.6	318.5	180.0	1496.5
1903	58.9	67.2	99.2	123.0	164.3	177.0	207.7	192.2	147.0	105.4	66.0	55.8	386.4	579.6	318.5	189.0	1460.0
1904	55.8	75.4	102.3	132.0	164.3	192.0	217.0	195.3	144.0	102.3	63.0	55.8	395.6	607.2	309.4	172.9	1500.6
1905	52.7	64.4	105.4	132.0	161.2	195.0	220.1	198.4	150.0	99.2	72.0	52.7	395.6	616.4	318.5	171.0	1496.5
1906	55.8	58.8	102.3	126.0	164.3	198.0	217.0	195.3	144.0	99.2	72.0	46.5	395.6	607.2	318.5	153.0	1460.0
1907	46.5	58.8	96.1	126.0	164.3	192.0	210.8	198.4	147.0	108.5	72.0	58.9	386.4	598.0	327.6	180.0	1460.0
1908	58.9	66.7	93.0	123.0	173.6	192.0	220.1	195.3	153.0	105.4	66.0	62.0	386.4	607.2	327.6	182.0	1500.6
1909	52.7	61.6	108.5	126.0	158.1	177.0	204.6	192.2	153.0	111.6	69.0	62.0	395.6	570.4	336.7	180.0	1460.0
1910	55.8	61.6	96.1	126.0	151.9	183.0	210.8	192.2	132.0	114.7	69.0	55.8	377.2	588.8	318.5	171.0	1460.0
1911	46.5	64.4	96.1	117.0	148.8	192.0	217.0	204.6	156.0	114.7	69.0	65.1	368.0	616.4	336.7	207.0	1496.5
1912	55.8	81.2	114.7	120.0	167.4	183.0	210.8	192.2	132.0	99.2	57.0	49.6	404.8	579.6	291.2	172.9	1464.0
1913	58.9	64.4	102.3	126.0	164.3	183.0	207.7	198.4	156.0	105.4	78.0	58.9	395.6	588.8	345.8	189.0	1496.5
1914	52.7	72.8	105.4	138.0	161.2	180.0	204.6	189.1	141.0	102.3	66.0	65.1	404.8	570.4	309.4	180.0	1460.0
1915	52.7	61.6	99.2	120.0	161.2	180.0	213.9	198.4	141.0	96.1	69.0	65.1	386.4	588.8	309.4	189.0	1460.0
1916	55.8	69.6	114.7	129.0	167.4	192.0	223.2	195.3	135.0	108.5	66.0	62.0	414.0	607.2	309.4	182.0	1500.6
1917	52.7	67.2	99.2	120.0	167.4	189.0	217.0	207.7	162.0	102.3	54.0	46.5	386.4	616.4	318.5	171.0	1496.5
1918	58.9	64.4	86.8	123.0	161.2	183.0	210.8	192.2	162.0	96.1	72.0	55.8	377.2	588.8	327.6	171.0	1460.0
1919	49.6	64.4	102.3	126.0	151.9	183.0	207.7	192.2	144.0	96.1	69.0	49.6	377.2	579.6	309.4	171.0	1423.5
1920	55.8	66.7	102.3	132.0	179.8	186.0	217.0	204.6	144.0	102.3	60.0	55.8	414.0	607.2	309.4	182.0	1500.6
1921	55.8	67.2	93.0	120.0	158.1	180.0	213.9	189.1	150.0	105.4	63.0	46.5	368.0	579.6	318.5	162.0	1460.0
1922	49.6	67.2	108.5	144.0	173.6	192.0	213.9	207.7	138.0	111.6	57.0	49.6	423.2	616.4	309.4	162.0	1496.5
1923	43.4	64.4	89.9	126.0	167.4	168.0	217.0	204.6	141.0	114.7	72.0	46.5	386.4	588.8	327.6	153.0	1460.0
1924	49.6	60.9	96.1	135.0	182.9	195.0	217.0	189.1	159.0	102.3	66.0	52.7	414.0	598.0	327.6	191.1	1500.6
1925	62.0	72.8	89.9	129.0	155.0	195.0	210.8	201.5	144.0	99.2	63.0	58.9	377.2	607.2	309.4	198.0	1496.5
1926	58.9	78.4	105.4	135.0	161.2	186.0	207.7	189.1	153.0	120.9	72.0	49.6	404.8	579.6	345.8	171.0	1533.0
1927	52.7	64.4	99.2	135.0	173.6	201.0	213.9	204.6	150.0	96.1	69.0	52.7	404.8	625.6	318.5	171.0	1496.5
1928	49.6	63.8	93.0	132.0	155.0	201.0	217.0	204.6	150.0	105.4	63.0	46.5	377.2	625.6	318.5	145.6	1464.0
1929	46.5	53.2	86.8	126.0	158.1	192.0	213.9	189.1	144.0	99.2	63.0	55.8	368.0	598.0	309.4	171.0	1423.5
1930	55.8	58.8	105.4	123.0	161.2	195.0	213.9	195.3	147.0	102.3	72.0	52.7	386.4	598.0	318.5	162.0	1460.0
1931	52.7	56.0	111.6	126.0	167.4	213.0	220.1	207.7	138.0	102.3	69.0	46.5	404.8	644.0	309.4	162.0	1496.5
1932	55.8	60.9	99.2	129.0	167.4	180.0	198.4	195.3	159.0	108.5	69.0	65.1	395.6	570.4	336.7	191.1	1464.0
1933	52.7	67.2	93.0	135.0	167.4	174.0	207.7	195.3	153.0	120.9	63.0	52.7	395.6	579.6	336.7	162.0	1496.5
1934	49.6	61.6	93.0	132.0	164.3	192.0	217.0	189.1	141.0	99.2	63.0	58.9	386.4	598.0	300.3	171.0	1460.0
1935	46.5	67.2	93.0	132.0	155.0	198.0	220.1	198.4	150.0	105.4	69.0	58.9	377.2	616.4	327.6	198.0	1496.5
1936	68.2	78.3	105.4	132.0	155.0	180.0	213.9	189.1	150.0	93.0	63.0	52.7	386.4	579.6	309.4	191.1	1464.0
1937	62.0	75.6	102.3	129.0	164.3	198.0	213.9	198.4	147.0	105.4	75.0	49.6	395.6	607.2	327.6	171.0	1533.0
1938	55.8	61.6	96.1	120.0	158.1	198.0	217.0	198.4	147.0	108.5	72.0	55.8	368.0	616.4	327.6	189.0	1496.5
1939	62.0	72.8	93.0	126.0	148.8	183.0	217.0	195.3	147.0	111.6	69.0	58.9	368.0	598.0	327.6	198.0	1496.5
1940	58.9	78.3	108.5	129.0	167.4	177.0	210.8	189.1	150.0	108.5	66.0	49.6	404.8	579.6	318.5	191.1	1500.6
1941	58.9	75.6	105.4	129.0	155.0	189.0	217.0	201.5	141.0	99.2	66.0	52.7	386.4	607.2	309.4	162.0	1496.5
1942	49.6	61.6	108.5	138.0	179.8	195.0	217.0	195.3	153.0	117.8	72.0	62.0	423.2	607.2	336.7	198.0	1533.0
1943	62.0	70.0	105.4	138.0	176.7	198.0	226.3	198.4	162.0	108.5	66.0	58.9	423.2	616.4	336.7	180.0	1569.5
1944	55.8	66.7	89.9	132.0	179.8	195.0	220.1	204.6	153.0	105.4	69.0	55.8	404.8	616.4	327.6	172.9	1537.2
1945	49.6	67.2	99.2	138.0	179.8	201.0	223.2	207.7	150.0	102.3	69.0	58.9	414.0	634.8	318.5	189.0	1533.0
1946	58.9	67.2	99.2	138.0	170.5	195.0	213.9	204.6	156.0	114.7	72.0	52.7	404.8	616.4	345.8	189.0	1533.0
1947	55.8	78.4	124.0	129.0	167.4	198.0	217.0	201.5	150.0	102.3	69.0	52.7	423.2	616.4	318.5	198.0	1533.0
