Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ukraine              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	9.3	19.6	40.3	72.0	117.8	156.0	151.9	136.4	72.0	40.3	15.0	15.5	230.0	441.6	127.4	54.0	839.5
1902	21.7	16.8	34.1	60.0	102.3	135.0	133.3	127.1	75.0	31.0	3.0	0.0	193.2	395.6	109.2	36.0	730.0
1903	12.4	25.2	43.4	78.0	117.8	135.0	145.7	130.2	87.0	40.3	18.0	3.1	239.2	414.0	145.6	36.0	839.5
1904	3.1	26.1	24.8	66.0	102.3	126.0	139.5	124.0	72.0	43.4	12.0	12.4	193.2	386.4	127.4	36.4	768.6
1905	9.3	14.0	24.8	60.0	120.9	138.0	148.8	136.4	84.0	43.4	21.0	3.1	202.4	423.2	145.6	36.0	803.0
1906	15.5	14.0	46.5	84.0	133.3	144.0	145.7	117.8	69.0	31.0	15.0	9.3	266.8	404.8	118.3	27.0	803.0
1907	6.2	8.4	24.8	48.0	127.1	129.0	139.5	120.9	84.0	46.5	3.0	3.1	202.4	386.4	136.5	36.0	730.0
1908	12.4	17.4	24.8	57.0	111.6	132.0	139.5	120.9	78.0	34.1	3.0	0.0	193.2	386.4	118.3	9.1	732.0
1909	3.1	8.4	24.8	57.0	111.6	126.0	145.7	133.3	99.0	55.8	21.0	12.4	193.2	404.8	172.9	45.0	803.0
1910	15.5	19.6	40.3	78.0	120.9	135.0	139.5	117.8	78.0	34.1	21.0	9.3	239.2	395.6	136.5	18.0	803.0
1911	6.2	2.8	21.7	69.0	127.1	123.0	136.4	124.0	75.0	40.3	21.0	3.1	220.8	386.4	136.5	27.0	730.0
1912	9.3	14.5	37.2	60.0	96.1	135.0	124.0	117.8	72.0	21.7	12.0	12.4	193.2	377.2	109.2	36.4	695.4
1913	9.3	14.0	49.6	87.0	102.3	117.0	130.2	127.1	81.0	40.3	21.0	15.5	239.2	368.0	145.6	54.0	803.0
1914	12.4	25.2	49.6	75.0	120.9	132.0	142.6	111.6	63.0	31.0	3.0	6.2	239.2	386.4	100.1	45.0	766.5
1915	21.7	16.8	27.9	75.0	108.5	132.0	145.7	108.5	66.0	34.1	15.0	12.4	211.6	386.4	118.3	45.0	766.5
1916	12.4	17.4	34.1	75.0	102.3	126.0	133.3	111.6	69.0	40.3	12.0	6.2	211.6	377.2	118.3	18.2	732.0
1917	9.3	5.6	24.8	75.0	102.3	138.0	130.2	127.1	81.0	46.5	27.0	3.1	202.4	395.6	154.7	36.0	766.5
1918	18.6	16.8	34.1	78.0	102.3	126.0	136.4	117.8	90.0	62.0	12.0	6.2	211.6	377.2	163.8	27.0	803.0
1919	9.3	14.0	31.0	78.0	86.8	117.0	136.4	114.7	96.0	46.5	9.0	6.2	193.2	368.0	145.6	27.0	730.0
1920	9.3	5.8	37.2	93.0	130.2	123.0	155.0	142.6	78.0	21.7	3.0	0.0	257.6	423.2	100.1	27.3	805.2
1921	18.6	5.6	46.5	81.0	136.4	132.0	139.5	133.3	72.0	40.3	3.0	0.0	266.8	404.8	118.3	18.0	803.0
1922	6.2	11.2	40.3	60.0	117.8	129.0	148.8	120.9	66.0	27.9	18.0	9.3	220.8	395.6	109.2	27.0	766.5
1923	12.4	5.6	31.0	60.0	127.1	123.0	136.4	111.6	93.0	52.7	33.0	9.3	220.8	377.2	172.9	18.0	803.0
1924	3.1	5.8	21.7	54.0	130.2	153.0	133.3	127.1	96.0	43.4	9.0	3.1	202.4	414.0	154.7	45.5	768.6
1925	15.5	28.0	40.3	75.0	124.0	111.0	139.5	114.7	75.0	37.2	21.0	9.3	239.2	368.0	136.5	27.0	803.0
1926	9.3	8.4	24.8	72.0	111.6	126.0	142.6	108.5	69.0	40.3	27.0	9.3	211.6	377.2	136.5	18.0	730.0
1927	3.1	5.6	34.1	66.0	108.5	138.0	142.6	130.2	93.0	49.6	18.0	0.0	211.6	414.0	163.8	9.0	766.5
1928	6.2	5.8	18.6	66.0	108.5	114.0	145.7	111.6	78.0	34.1	21.0	6.2	193.2	368.0	136.5	9.1	732.0
1929	6.2	0.0	18.6	42.0	120.9	120.0	139.5	148.8	75.0	52.7	18.0	6.2	184.0	404.8	145.6	36.0	730.0
1930	12.4	16.8	43.4	78.0	114.7	126.0	139.5	130.2	75.0	46.5	24.0	3.1	239.2	395.6	145.6	18.0	803.0
1931	6.2	5.6	31.0	54.0	124.0	135.0	155.0	124.0	72.0	40.3	9.0	6.2	211.6	414.0	118.3	27.0	766.5
1932	12.4	5.8	21.7	66.0	117.8	129.0	145.7	127.1	93.0	49.6	15.0	9.3	202.4	395.6	154.7	27.3	805.2
1933	3.1	11.2	31.0	54.0	102.3	111.0	139.5	114.7	69.0	40.3	18.0	0.0	184.0	358.8	127.4	27.0	693.5
1934	6.2	16.8	46.5	84.0	139.5	132.0	139.5	127.1	90.0	52.7	21.0	0.0	266.8	404.8	163.8	27.0	839.5
1935	3.1	19.6	34.1	72.0	108.5	141.0	130.2	124.0	87.0	58.9	6.0	12.4	211.6	395.6	154.7	36.0	803.0
1936	9.3	11.6	40.3	66.0	133.3	129.0	167.4	124.0	72.0	31.0	9.0	6.2	239.2	423.2	109.2	18.2	805.2
1937	3.1	11.2	31.0	66.0	127.1	141.0	148.8	108.5	87.0	37.2	12.0	6.2	220.8	395.6	136.5	27.0	766.5
1938	6.2	14.0	40.3	63.0	108.5	135.0	161.2	145.7	87.0	43.4	15.0	3.1	211.6	441.6	145.6	27.0	839.5
1939	9.3	16.8	31.0	78.0	111.6	141.0	158.1	142.6	84.0	31.0	15.0	3.1	220.8	441.6	127.4	9.0	803.0
1940	0.0	5.8	24.8	60.0	108.5	138.0	139.5	111.6	75.0	31.0	15.0	6.2	193.2	395.6	118.3	27.3	732.0
1941	6.2	11.2	27.9	60.0	89.9	117.0	130.2	108.5	63.0	31.0	6.0	6.2	174.8	358.8	100.1	18.0	657.0
1942	3.1	8.4	24.8	57.0	108.5	117.0	136.4	130.2	93.0	49.6	9.0	6.2	184.0	386.4	154.7	27.0	730.0
