Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Uruguay              : parameter = Potential Evapotranspiration   : Units = mm/month              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
1901	142.6	120.4	111.6	63.0	55.8	54.0	40.3	49.6	84.0	114.7	123.0	155.0	230.0	147.2	318.5	450.0	1131.5
1902	155.0	134.4	111.6	84.0	62.0	48.0	40.3	34.1	75.0	96.1	126.0	155.0	257.6	119.6	300.3	423.0	1131.5
1903	148.8	126.0	120.9	69.0	49.6	39.0	40.3	52.7	87.0	93.0	123.0	145.7	239.2	128.8	309.4	405.0	1095.0
1904	145.7	116.0	108.5	84.0	49.6	39.0	49.6	49.6	84.0	99.2	117.0	136.4	239.2	138.0	300.3	400.4	1098.0
1905	142.6	114.8	117.8	69.0	40.3	39.0	31.0	55.8	78.0	102.3	117.0	145.7	230.0	128.8	300.3	432.0	1058.5
1906	158.1	131.6	127.1	81.0	62.0	24.0	43.4	58.9	72.0	108.5	123.0	142.6	266.8	128.8	300.3	432.0	1131.5
1907	161.2	128.8	111.6	72.0	40.3	30.0	37.2	46.5	60.0	93.0	123.0	158.1	220.8	110.4	273.0	432.0	1058.5
1908	155.0	127.6	120.9	69.0	46.5	45.0	43.4	46.5	72.0	102.3	123.0	155.0	239.2	128.8	300.3	436.8	1098.0
1909	161.2	117.6	108.5	81.0	37.2	27.0	40.3	71.3	81.0	96.1	108.0	142.6	230.0	138.0	282.1	414.0	1058.5
1910	158.1	114.8	99.2	69.0	43.4	42.0	37.2	62.0	72.0	105.4	132.0	161.2	211.6	138.0	309.4	441.0	1095.0
1911	161.2	117.6	105.4	69.0	49.6	24.0	40.3	46.5	54.0	89.9	123.0	145.7	220.8	110.4	263.9	432.0	1022.0
1912	161.2	130.5	117.8	72.0	46.5	39.0	31.0	46.5	75.0	108.5	120.0	164.3	230.0	119.6	309.4	473.2	1098.0
1913	155.0	142.8	105.4	87.0	58.9	39.0	58.9	62.0	78.0	102.3	132.0	151.9	257.6	156.4	309.4	441.0	1168.0
1914	167.4	126.0	105.4	75.0	55.8	54.0	58.9	58.9	72.0	102.3	114.0	139.5	239.2	174.8	282.1	423.0	1131.5
1915	151.9	128.8	99.2	81.0	55.8	18.0	43.4	65.1	69.0	105.4	135.0	158.1	230.0	128.8	309.4	450.0	1131.5
1916	161.2	130.5	105.4	84.0	55.8	15.0	24.8	58.9	87.0	114.7	138.0	148.8	248.4	101.2	336.7	445.9	1134.6
1917	170.5	123.2	105.4	72.0	37.2	39.0	34.1	46.5	75.0	96.1	129.0	173.6	211.6	119.6	300.3	450.0	1095.0
1918	161.2	120.4	111.6	78.0	43.4	30.0	40.3	58.9	66.0	99.2	132.0	155.0	230.0	128.8	300.3	441.0	1095.0
1919	170.5	120.4	114.7	81.0	71.3	36.0	46.5	52.7	66.0	99.2	117.0	158.1	266.8	138.0	282.1	441.0	1131.5
1920	164.3	127.6	117.8	84.0	58.9	30.0	31.0	55.8	81.0	99.2	126.0	155.0	266.8	119.6	309.4	427.7	1134.6
1921	148.8	123.2	102.3	75.0	65.1	21.0	31.0	52.7	75.0	102.3	117.0	167.4	239.2	101.2	291.2	432.0	1095.0
1922	151.9	114.8	108.5	66.0	52.7	27.0	58.9	55.8	78.0	83.7	132.0	151.9	230.0	138.0	291.2	441.0	1095.0
1923	161.2	131.6	127.1	75.0	40.3	42.0	27.9	55.8	75.0	83.7	123.0	139.5	239.2	128.8	282.1	414.0	1095.0
1924	145.7	127.6	111.6	66.0	40.3	36.0	34.1	43.4	66.0	96.1	111.0	167.4	211.6	119.6	273.0	473.2	1061.4
1925	161.2	140.0	127.1	72.0	40.3	27.0	31.0	68.2	75.0	96.1	129.0	158.1	239.2	128.8	300.3	477.0	1131.5
1926	173.6	142.8	127.1	72.0	43.4	42.0	37.2	68.2	81.0	105.4	132.0	158.1	239.2	147.2	318.5	459.0	1168.0
1927	158.1	145.6	124.0	78.0	52.7	33.0	46.5	65.1	72.0	99.2	129.0	145.7	257.6	147.2	300.3	405.0	1168.0
1928	148.8	113.1	108.5	81.0	49.6	30.0	43.4	52.7	69.0	108.5	138.0	158.1	239.2	128.8	318.5	455.0	1098.0
1929	170.5	128.8	114.7	87.0	46.5	33.0	46.5	58.9	81.0	99.2	135.0	164.3	248.4	138.0	318.5	459.0	1168.0
1930	161.2	128.8	114.7	84.0	55.8	60.0	34.1	46.5	78.0	93.0	123.0	158.1	257.6	138.0	300.3	459.0	1131.5
1931	161.2	137.2	117.8	72.0	40.3	33.0	40.3	58.9	72.0	114.7	120.0	158.1	230.0	128.8	309.4	459.0	1131.5
