Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Afghanistan          : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     7.0     1.9     8.3     7.3     8.9     3.0     1.4     0.5     1.9     4.3     2.5     2.8    24.6     4.9     8.6    12.1    49.9
 1902     4.6     4.7     7.9     7.9     4.4     2.6     1.6     0.8     1.2     6.3     6.9     3.6    20.3     4.9    14.4    17.4    52.5
 1903     7.0     6.8    10.1     7.7    12.0     2.4     2.4     2.9     2.5     0.5     2.8     4.5    29.7     7.8     5.7    17.1    61.5
 1904     8.0     4.7    10.2     6.9     6.5     0.3     2.3     1.4     2.6     4.8     4.1     4.1    23.5     4.0    11.5    17.2    55.7
 1905     7.5     5.6     9.8     7.6     5.2     1.4     1.4     0.8     2.3     0.5     1.5     7.1    22.6     3.6     4.2    21.5    50.5
 1906     4.6     9.7     9.5     8.8     5.3     2.7     2.5     2.7     1.6     1.7     2.2     6.4    23.7     7.8     5.5    21.0    57.8
 1907     7.1     7.4     8.0     9.3     6.7     2.5     2.7     1.6     0.1     4.0     2.1     1.5    24.0     6.7     6.2    16.4    53.0
 1908     9.0     5.9     9.1    11.8     5.0     1.9     1.9     2.3     3.9     1.5     0.8     7.4    25.9     6.1     6.2    21.5    60.4
 1909     6.1     8.0     8.8    11.1     5.4     3.3     4.6     1.2     1.2     2.8     0.9     6.3    25.4     9.1     4.9    21.7    59.9
 1910     9.0     6.3     9.3     7.2     5.4     3.6     4.4     4.2     0.7     0.9     0.6     4.8    21.9    12.2     2.2    20.0    56.5
 1911     8.5     6.7    12.0     7.4     8.4     1.5     0.7     0.1     0.7     2.0     3.6     5.0    27.8     2.3     6.4    18.2    56.7
 1912     7.7     5.5     8.0     9.3     7.6     2.4     2.6     1.9     1.0     2.1     2.6     6.1    24.9     6.9     5.6    19.8    56.8
 1913     6.0     7.8     6.4     6.1     4.7     1.8     1.2     2.1     1.7     6.2     4.5     7.9    17.2     5.1    12.4    22.6    56.4
 1914     6.2     8.6     9.7    11.3     5.0     3.7     3.7     1.2     2.2     7.4     6.8     4.1    26.1     8.7    16.4    11.2    70.0
 1915     0.7     6.3     9.1    15.0     3.4     2.3     3.1     0.2     1.4     1.3     0.7     4.3    27.5     5.6     3.4    17.7    47.8
 1916     7.5     5.8     9.0    12.3     7.5     2.0     1.2     4.4     1.8     1.0     0.3     1.9    28.8     7.7     3.1    11.8    54.8
 1917     5.5     4.5     8.4     2.1     4.3     1.5     1.2     2.8     2.7     2.4     0.4     4.5    14.8     5.5     5.5    15.8    40.2
 1918     5.0     6.3    12.4     8.6     3.9     2.3     1.3     1.1     1.5     2.6     2.7     8.1    24.8     4.8     6.8    22.5    55.7
 1919     7.0     7.4     8.7     8.5     7.0     1.9     2.0     4.0     1.6     0.9     1.4     9.6    24.2     7.9     3.9    26.1    60.1
 1920     8.3     8.1    10.3     7.2     6.8     2.4     1.7     0.9     1.4     2.1     2.6     4.3    24.4     5.0     6.1    14.0    56.2
 1921     4.7     5.0     8.0     7.9     2.3     1.2     2.5     3.4     0.3     3.1     3.6     8.9    18.2     7.1     7.1    25.2    51.0
 1922     6.8     9.5     9.4     5.0     8.2     3.6     2.6     2.5     2.3     3.4     1.9     5.9    22.7     8.7     7.6    22.5    61.1
 1923     8.0     8.7    10.6    10.3     7.3     2.6     1.0     3.9     1.6     6.9     1.3     3.0    28.1     7.5     9.8    20.2    65.0
 1924     6.9    10.2     8.5    12.9     9.3     0.6     2.7     1.2     3.2     2.1     3.2     9.3    30.7     4.5     8.5    20.8    70.3
 1925     5.8     5.6     6.8     5.7     6.7     0.3     3.6     2.0     2.2     6.4     4.5     0.7    19.3     5.8    13.1    14.9    50.3
 1926     6.5     7.7    11.4    10.9     5.4     1.8     1.9     2.3     2.7     0.6     2.4     6.1    27.7     6.0     5.7    18.1    59.8
 1927     5.3     6.7     7.3     7.7     4.1     0.2     2.1     1.0     1.9     0.4     2.4     9.2    19.1     3.2     4.7    23.9    48.2
 1928     6.7     8.0     8.4     7.0     4.9     1.0     1.5     2.0     1.0     0.3     4.5     7.6    20.3     4.5     5.8    24.3    52.8
 1929     6.9     9.9     6.3     6.3     4.4     1.8     4.2     2.7     0.4     1.9     2.6     6.0    16.9     8.7     4.9    20.2    53.2
 1930     7.3     6.9     8.2    11.8     6.1     2.4     3.0     1.1     2.5     3.2     2.2     5.0    26.1     6.6     8.0    23.2    59.9
 1931     9.2     9.0     7.3     9.2     9.2     4.4     2.7     2.0     1.4     2.1     5.6     6.7    25.7     9.1     9.1    20.5    68.7
 1932     8.8     5.0    10.8     7.1     6.4     3.1     3.6     3.5     0.7     3.2     1.7     5.7    24.3    10.2     5.6    20.1    59.7
 1933     7.1     7.3    12.1     9.7     7.1     4.1     2.3     3.6     2.0     1.2     3.2     7.1    28.9    10.1     6.4    19.6    66.9
 1934     6.4     6.1     8.8    12.5     9.7     2.4     0.8     1.3     1.2     1.6     2.7     6.7    31.0     4.5     5.5    23.8    60.1
 1935     7.6     9.6     7.7    10.0     5.4     5.1     2.6     1.9     1.1     4.1     5.0     3.3    23.2     9.6    10.2    15.8    63.3
 1936     4.1     8.4     9.9     8.7     9.3     1.6     1.0     1.7     1.5     2.3     2.6     6.7    27.9     4.4     6.3    21.1    57.7
 1937     6.1     8.3    10.0     9.9     5.6     0.2     2.8     0.0     1.5     4.6     1.6     5.6    25.4     3.1     7.7    20.8    56.1
 1938     8.0     7.2     9.7     6.9     1.7     2.7     2.3     1.9     1.5     0.7     3.3     6.3    18.3     6.8     5.5    23.6    52.1
 1939     7.2    10.1    12.6     9.2     4.9     0.6     1.2     0.8     0.1     4.1     2.2     4.7    26.7     2.6     6.4    20.7    57.8
 1940     8.0     7.9     8.2     5.7     6.8     3.0     1.0     1.0     1.3     4.5     3.1     4.9    20.8     4.9     8.9    17.2    55.5
 1941     5.9     6.4     9.0    10.6     4.1     0.1     0.9     1.5     1.1     0.7     1.9     8.2    23.7     2.5     3.7    25.5    50.4
 1942     8.9     8.4     9.3     6.5     7.4     5.2     3.0     1.0     1.4     3.1     4.0     4.4    23.3     9.1     8.6    18.6    62.7
 1943     7.9     6.3    12.4    11.3     9.0     1.2     1.6     1.2     0.6     2.8     3.2     4.9    32.7     4.0     6.7    20.2    62.5
 1944     6.9     8.4     7.2     7.7     2.8     1.0     2.4     3.3     2.4     3.2     3.2     5.5    17.7     6.7     8.8    18.8    54.0
 1945     7.7     5.6     9.0     8.2     5.3     4.1     1.8     2.5     1.1     1.4     6.1     4.8    22.4     8.5     8.6    18.3    57.6
 1946     6.5     7.0     7.9     3.9     2.0     1.4     1.6     1.9     0.5     2.1     1.7     5.1    13.8     4.9     4.3    20.9    41.7
 1947     7.8     8.0     6.9     2.8     4.5     1.4     2.0     1.6     0.7     1.0     3.6     3.7    14.2     5.0     5.3    12.8    43.9
 1948     3.4     5.8     6.9    10.4     2.8     1.6     2.1     1.5     1.4     1.3     1.7     8.9    20.1     5.3     4.3    21.1    47.8
 1949     6.3     6.0    12.4     9.0     3.5     4.7     0.9     3.7     0.4     0.4     1.2     4.8    24.9     9.3     2.0    18.9    53.3
 1950     9.2     4.9     7.1     7.8     5.7     1.4     1.9     1.9     0.9     0.7     1.8     1.4    20.6     5.2     3.4    15.7    44.7
 1951     6.7     7.7     8.9     7.6    10.3     1.3     1.9     1.4     0.4     5.5     2.7     4.8    26.8     4.5     8.6    19.7    59.0
 1952     6.6     8.4     7.9     7.5     5.9     1.3     1.8     1.1     0.6     0.4     2.1     4.2    21.3     4.2     3.1    16.2    47.7
 1953     5.2     6.8     7.9     8.7     6.4     4.5     1.8     1.8     1.2     3.2     4.5     8.1    23.0     8.1     8.9    26.6    60.1
 1954     8.2    10.4     9.4     9.0     2.8     2.6     2.6     1.0     1.1     2.6     4.8     3.8    21.2     6.2     8.5    10.2    58.2
 1955     3.8     2.5    11.1     3.8     8.0     2.4     2.1     2.8     1.0     0.8     1.6     6.8    22.9     7.3     3.4    19.1    46.7
 1956     4.8     7.5    13.2     8.3     1.0     3.1     3.3     1.7     1.5     5.7     0.2     5.5    22.5     8.1     7.4    21.0    55.7
 1957     9.5     6.0    10.1    10.9     8.6     2.4     2.1     2.2     0.5     4.0     8.1     8.8    29.6     6.7    12.6    20.7    73.3
 1958     8.6     3.3     8.0     7.9     4.8     2.5     1.8     1.5     3.2     1.5     2.7     8.6    20.6     5.8     7.4    24.2    54.4
 1959     6.8     8.8     9.5     6.7     7.8     2.4     2.1     2.0     1.7     1.6     7.0     6.9    24.0     6.6    10.2    17.1    63.2
 1960     5.2     5.0     9.9    11.6     7.0     1.0     1.7     1.5     1.1     0.6     5.7     3.7    28.5     4.2     7.4    15.0    54.1
 1961     6.1     5.2     9.5    11.9     4.4     2.0     2.7     1.1     1.3     1.9     5.3     4.8    25.8     5.9     8.4    13.7    56.2
 1962     3.8     5.1     8.1    10.0     6.9     3.0     1.5     1.5     1.3     2.3     2.8     5.1    25.1     6.0     6.4    13.4    51.4
 1963     0.9     7.3     9.5    11.2    10.9     2.3     2.3     0.8     0.6     2.8     6.0     5.0    31.5     5.4     9.4    21.5    59.6
 1964     6.9     9.6     9.8    10.3     4.2     1.2     4.6     1.7     0.4     0.2     2.6     3.6    24.3     7.5     3.2    18.5    55.1
 1965     8.0     7.0     6.3    11.6     7.8     0.8     4.6     2.0     1.4     1.6     5.6     3.7    25.6     7.4     8.7    15.7    60.4
 1966     2.7     9.3     9.4    10.1     3.6     0.6     3.1     5.7     4.3     8.3     0.9     2.7    23.1     9.5    13.5    15.3    60.8
