Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Belarus              : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    15.6    15.6    16.3    14.8    10.7    15.9    12.7    12.7    11.7    11.7    18.6    22.8    41.8    41.3    42.0    59.8   179.1
 1902    22.1    14.8    16.3    14.2    15.9    15.0    16.7    15.0    12.1    14.3     8.6    15.5    46.4    46.6    35.0    51.7   180.5
 1903    18.5    17.8    12.7    15.3    15.3    17.6    19.2    13.9     8.9    17.0    17.4    13.6    43.3    50.6    43.3    45.5   187.1
 1904    13.8    18.2     9.7    10.6    12.7    12.7    12.1    14.3    11.7    14.9    19.2    24.4    33.0    39.2    45.7    55.5   174.3
 1905    19.2    11.8    12.4    15.3    15.2    11.0    15.9    11.8    16.0    18.9    20.5    18.2    42.9    38.6    55.4    52.6   186.2
 1906    19.8    14.6    18.1    13.4    14.5    15.2    17.6    13.7    14.1    14.1    20.0    24.7    46.0    46.6    48.3    57.3   199.9
 1907    18.9    13.7    12.2    14.2    11.7    14.1    17.8    13.1     8.4     8.6    14.2    24.9    38.2    45.0    31.2    67.2   171.9
 1908    21.8    20.5    14.3    14.1    14.7    14.2    12.3    17.0    14.9    11.6    13.3    14.8    43.0    43.4    39.8    45.5   183.4
 1909    16.1    14.5    15.3    13.6    12.8    14.6    17.1     8.8    12.8    13.0    20.0    18.9    41.8    40.5    45.8    57.8   177.7
 1910    23.9    15.0    12.7    13.5    11.7    11.4    16.0    17.4    12.9     9.2    22.5    20.3    37.8    44.9    44.7    57.9   186.5
 1911    19.8    17.8    11.1    12.6    10.7    14.4    13.0    12.0    12.0    14.2    14.3    14.6    34.3    39.4    40.5    52.1   166.4
 1912    20.1    17.3    20.0    15.0    14.7    13.7    13.3    13.7    18.7    16.0    14.8    23.7    49.8    40.6    49.5    52.7   201.1
 1913    14.4    14.5    12.8    15.9    11.6    13.8    18.9    12.7    11.0    11.1    18.8    25.3    40.3    45.4    41.0    59.0   181.0
 1914    20.8    12.8    19.0    12.1    11.8    11.2    14.7    10.1    15.7    15.9    12.6    14.9    42.9    36.0    44.2    56.6   171.7
 1915    26.4    15.3    18.3    12.2    12.1     9.8    14.4    13.3    14.7     7.2    19.9    27.1    42.6    37.5    41.7    68.1   190.6
 1916    23.8    17.2    14.9    13.3    11.5    16.6    17.1    15.0    14.2    18.1    17.3    22.5    39.6    48.6    49.6    56.8   201.3
 1917    18.3    16.0    15.1    16.2     8.3    11.6    18.2    14.3    14.7    15.9    20.1    17.6    39.7    44.1    50.7    55.0   186.4
 1918    22.6    14.8     7.8     5.6     7.4    14.3    18.2    13.6    14.8    10.7    13.5    20.4    20.8    46.0    39.0    50.1   163.6
 1919    15.0    14.7    15.1    11.2     9.8    16.8    15.2    13.8    12.0    12.3    16.3    20.5    36.0    45.8    40.6    53.1   172.6
 1920    19.6    13.0    12.2    10.2    12.3    13.2    11.6    11.8    12.3     8.3    11.0    14.7    34.7    36.6    31.6    48.5   150.1
 1921    23.7    10.1    10.8    12.6    12.9    15.7    13.8    10.9    12.7    13.8    15.5    19.7    36.3    40.4    42.0    60.0   172.1
 1922    21.0    19.2    18.5    13.6    14.3    14.4    15.6    14.8    13.9    15.6    16.9    21.4    46.4    44.8    46.5    52.7   199.2
 1923    18.8    12.6    11.0    12.0    14.6    14.0    13.9    15.6    14.4    18.0    23.0    18.2    37.7    43.5    55.4    52.6   186.1
 1924    15.6    18.7    14.8    15.3    13.2    14.7    16.1    14.2     8.9    10.0    14.0    12.8    43.3    45.0    32.8    44.9   168.3
 1925    16.9    15.3    15.7    11.0    10.8    16.9    14.1    17.2    15.3    15.2    16.7    22.3    37.6    48.2    47.1    58.2   187.4
 1926    17.6    18.2    14.7    10.9    11.7    14.7    13.5    13.2    14.7    18.5    14.3    22.1    37.3    41.3    47.6    48.4   184.2
 1927    14.5    11.8    15.3    14.5    16.7    15.5    14.5    14.5    16.7    15.0    21.0    13.8    46.5    44.6    52.7    45.0   184.0
 1928    16.6    14.6     7.7    13.2    16.7    15.9    12.4    13.9    14.3    14.2    19.5    21.7    37.7    42.1    48.0    49.1   180.7
 1929    15.6    11.8    12.5    13.2    13.3    13.2    14.3    11.6    14.2    15.0    16.0    19.7    39.0    39.2    45.2    44.3   170.5
 1930    12.2    12.5    15.8    13.1    12.2    11.2    17.0    16.8    13.4    17.9    21.9    20.6    41.1    44.9    53.1    56.2   184.4
 1931    20.5    15.0    14.1    12.1    11.1    13.5    13.4    16.0    16.9    16.5    16.9    21.8    37.2    43.0    50.3    48.9   187.8
 1932    13.0    14.1    10.7    12.7    16.4    16.0    12.8    14.0    14.4    20.9    13.5    18.8    39.8    42.8    48.8    48.4   177.2
 1933    12.0    17.6    11.5    13.7    15.8    17.4    15.1    16.5    16.9    17.2    18.4    16.0    41.0    49.0    52.4    44.7   188.0
 1934    13.3    15.4    14.2    11.6    11.9    12.4    19.0    12.2     9.1    13.6    19.3    10.5    37.7    43.6    41.9    48.7   162.4
 1935    19.5    18.8    12.4    14.7    13.5    14.4    17.8    11.9    15.1    16.5    10.6    21.8    40.6    44.1    42.1    61.1   186.8
 1936    23.8    15.6    12.4    16.4     8.5    12.9    12.8    14.2    15.3    17.1    15.9    16.8    37.4    40.0    48.3    48.1   181.8
 1937    13.4    17.9    16.3    14.8    10.1    11.0    16.4    14.4     9.9    11.9    19.2    24.8    41.2    41.7    41.0    53.9   180.1
 1938    18.5    10.6    15.1    15.4    12.7    12.5    15.8     9.9    10.5    17.2    16.6    16.4    43.2    38.2    44.3    53.0   171.3
 1939    20.7    15.8    14.1    13.6    14.4    12.6    11.7     6.2    13.3    17.2    16.2    17.7    42.1    30.5    46.6    50.2   173.5
 1940    16.5    16.1    16.8     9.4    11.7     9.4    14.5    16.1    17.4    10.6    17.2    14.4    38.0    39.9    45.2    45.5   170.1
 1941    15.8    15.4    15.0    13.8    13.8    12.3    13.9    14.8    10.4    12.9     9.1    20.6    42.7    41.0    32.4    49.1   167.8
 1942    15.3    13.2     8.0    11.5    14.2    14.3    15.5     9.0    11.0    12.9    11.7    17.6    33.7    38.8    35.6    50.4   154.2
 1943    18.0    14.8    10.1    12.6    14.9    13.4    21.6    12.0    13.8     7.5    17.4    14.8    37.6    47.0    38.7    47.8   171.0
 1944    16.7    16.3    13.2     9.6    15.5    12.6    12.6    11.0     9.3     6.3    17.3     8.4    38.3    36.2    33.0    38.5   148.8
 1945    15.4    14.7    14.5    12.9    13.5    13.7    20.2    18.1    19.3    17.8    12.3    13.5    40.8    52.1    49.4    38.9   185.9
 1946     7.9    17.5    13.1     9.6     7.8    16.1    13.6    13.1    19.7    14.0     7.7     8.5    30.5    42.9    41.4    37.2   148.6
 1947    16.8    11.9    16.0    16.3     6.4    14.0    13.7    17.4     9.9     9.8    20.2    21.5    38.7    45.2    39.9    50.3   174.0
 1948    19.0     9.8     8.9     9.2    12.9    17.1    12.5    13.7    14.4    15.9    17.9     8.6    31.0    43.3    48.2    38.1   159.9
 1949    15.9    13.7    11.1    12.9     9.6    16.8    19.0    12.7     5.4     7.0    16.8    18.5    33.6    48.5    29.2    47.0   159.4
 1950    13.3    15.1     7.8    15.3     9.9    16.7    13.7    14.9    16.3    16.2    17.9    16.3    33.0    45.3    50.3    42.7   173.3
 1951    15.7    10.6    17.8    10.7    14.5    10.4    13.4     6.9     9.5     6.4    15.7    16.0    43.0    30.7    31.6    49.8   147.7
 1952    16.0    17.8    10.3     7.1    14.8    16.3    10.4    14.7    20.5    20.8    18.1    17.0    32.2    41.3    59.5    50.2   183.7
 1953    17.8    15.3     7.3    11.9    14.1    13.2    15.2    14.3    15.3     7.2     9.7    11.3    33.3    42.7    32.2    37.7   152.7
 1954    17.4     9.1    10.0    14.5    11.6     9.4    17.7    14.1    14.6    16.9    13.0    20.5    36.1    41.2    44.6    54.1   168.8
 1955    17.3    16.4    12.5    13.2    15.9     9.7    14.0     6.9    14.2    10.4    14.6    21.7    41.6    30.6    39.2    52.9   166.8
