Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bolivia              : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    16.0    15.3    12.1     5.9     3.8     3.0     2.1     1.9     4.6     8.4    10.0    12.3    21.8     7.0    23.0    39.9    95.4
 1902    12.8    14.9    13.5     8.5     6.0     2.9     2.8     2.0     3.9     8.7    10.6    14.7    27.9     7.7    23.3    48.4   101.2
 1903    17.0    16.7    13.5     8.8     6.4     5.1     3.2     3.1     7.2     7.4    11.1    12.6    28.7    11.4    25.7    43.2   112.1
 1904    16.3    14.4    12.1     7.6     3.6     2.6     2.4     3.1     4.2     8.5    10.2    12.2    23.3     8.1    22.9    41.6    97.1
 1905    13.8    15.6    14.4     7.0     5.4     2.2     2.8     5.7     6.3     7.5     9.9    13.2    26.8    10.7    23.7    43.3   103.9
 1906    17.4    12.7    11.7    10.2     5.2     3.2     3.7     2.2     3.6     8.3     8.7    12.4    27.1     9.1    20.6    41.0    99.4
 1907    15.2    13.4    11.9     8.4     5.4     2.8     3.1     3.3     5.1     7.1     9.0    15.0    25.7     9.2    21.2    44.4    99.7
 1908    15.7    13.8     9.5     7.7     5.2     3.2     3.6     2.1     4.2     8.3    10.7    12.2    22.5     9.0    23.2    40.8    96.3
 1909    15.4    13.1    13.2     7.1     5.6     4.4     2.9     2.8     4.3     7.3     9.8    13.0    25.9    10.0    21.3    40.3    98.8
 1910    14.7    12.6    13.4     7.8     6.5     3.8     2.8     3.0     3.7     8.0     9.6    12.9    27.8     9.6    21.3    42.7    98.8
 1911    15.7    14.2    13.8     7.2     4.3     3.6     3.3     3.7     4.8     6.9    11.8    12.9    25.2    10.7    23.5    43.5   102.2
 1912    16.1    14.5    14.4     8.8     5.6     2.6     2.8     4.5     3.7     7.4     9.7    14.3    28.9     9.9    20.8    46.4   104.5
